,Planet Name,Eclipse Flux Ratio 3.9-4.03um,Eclipse Flux Ratio 4.03-4.16um,Eclipse Flux Ratio 4.16-4.29um,Eclipse Flux Ratio 4.29-4.42um,Eclipse Flux Ratio 4.42-4.55um,Eclipse Flux Ratio 4.55-4.68um,Eclipse Flux Ratio 4.68-4.81um,Eclipse Flux Ratio 4.81-4.94um,Eclipse Flux Ratio 4.94-5.07um,Eclipse Flux Ratio 5.07-5.2um,Eclipse Flux Ratio 5.2-5.33um,Eclipse Flux Ratio 5.33-5.46um,Eclipse Flux Ratio 5.46-5.59um,Eclipse Flux Ratio 5.59-5.72um,Eclipse Flux Ratio 5.72-5.85um,Eclipse Flux Ratio 5.85-5.98um,Eclipse Flux Ratio 5.98-6.11um,Eclipse Flux Ratio 6.11-6.24um,Eclipse Flux Ratio 6.24-6.37um,Eclipse Flux Ratio 6.37-6.5um,Eclipse Flux Ratio 6.5-6.63um,Eclipse Flux Ratio 6.63-6.76um,Eclipse Flux Ratio 6.76-6.89um,Eclipse Flux Ratio 6.89-7.02um,Eclipse Flux Ratio 7.02-7.15um,Eclipse Flux Ratio 7.15-7.28um,Eclipse Flux Ratio 7.28-7.41um,Eclipse Flux Ratio 7.41-7.54um,Eclipse Flux Ratio 7.54-7.67um,Eclipse Flux Ratio 7.67-7.8um
0,TOI-5704b,4.344961309778552e-05,4.688173368380279e-05,5.03201131560422e-05,5.375495298731058e-05,5.7177703121493325e-05,6.058095536261045e-05,6.395833725373073e-05,6.730440934094748e-05,7.061456770156842e-05,7.388495286236331e-05,7.711236568576488e-05,8.029419041205745e-05,8.342832477571452e-05,8.651311693402961e-05,8.954730883253286e-05,9.252998556630418e-05,9.546053026541895e-05,9.8338584026013e-05,0.00010116401041810306,0.00010393686412164552,0.00010665736326920917,0.00010932586510410329,0.0001119428445947332,0.00011450887567791535,0.00011702461483489599,0.00011949078673327759,0.00012190817169559426,0.0001242775947807144,0.00012659991628752656,0.00012887602351150643
1,TOI-672b,6.608148885615588e-05,7.440159352296745e-05,8.309799825987249e-05,9.213654269638155e-05,0.00010148337903279891,0.00011110539582664982,0.00012097054594728392,0.00013104809170831773,0.0001413087796852682,0.00015172495680833466,0.00016227063818108177,0.00017292153584945713,0.0001836550565221501,0.00019445027507968308,0.00020528788963893496,0.00021615016297839854,0.0002270208542824957,0.0002378851444284546,0.0002487295574098967,0.0002595418799582022,0.00027031108097562927,0.0002810272320226075,0.00029168142979547635,0.0003022657212808562,0.00031277303207027934,0.00032319709815617183,0.00033353240140111053,0.00034377410877082344,0.00035391801534273494,0.00036396049104185483
2,TOI-199b,4.019468138578511e-07,5.304448583067201e-07,6.875538237481121e-07,8.76751615389673e-07,1.1014788515387274e-06,1.3650891711615985e-06,1.6708044947089744e-06,2.021675983835893e-06,2.4205511065371075e-06,2.870046927872826e-06,3.372529515372542e-06,3.930099170575844e-06,4.5445810694458005e-06,5.217520808481154e-06,5.95018430353274e-06,6.743561467863723e-06,7.598373098556796e-06,8.51508042028083e-06,9.493896767765466e-06,1.0534800928963132e-05,1.163755171643499e-05,1.2801703382311504e-05,1.4026621540194542e-05,1.53114993040664e-05,1.665537339856768e-05,1.805714003618525e-05,1.9515570394518238e-05,2.1029325560659816e-05,2.2596970839805966e-05,2.4216989351565855e-05
3,WASP-176b,0.0007760531546879862,0.0008019171297472331,0.0008267713739561334,0.0008506585866457886,0.0008736212093495549,0.0008957009469660646,0.0009169384265671651,0.0009373729618834851,0.000957042398545111,0.0009759830206797399,0.0009942295037947031,0.0010118149022487755,0.0010287706622585085,0.0010451266534429132,0.001060911213516249,0.0010761512019905428,0.0010908720597249033,0.0011050978719181477,0.0011188514327321133,0.001132154310192098,0.001145026910366987,0.0011574885401072859,0.0011695574678320159,0.001181250982019041,0.0011925854471785554,0.0012035763571846647,0.0012142383859117735,0.0012245854351760276,0.0012346306800214495,0.0012443866114187454
4,TOI-1801b,1.3593650697858057e-06,1.6279216603028028e-06,1.926378170818168e-06,2.254948889895715e-06,2.613604929795237e-06,3.002095831216047e-06,3.41997283975412e-06,3.866612867765858e-06,4.341242357582828e-06,4.8429604452811205e-06,5.3707609843640965e-06,5.9235531245177295e-06,6.50018025267684e-06,7.099437193779999e-06,7.720085639189697e-06,8.360867824454121e-06,9.020518517532154e-06,9.697775406283812e-06,1.039138799219946e-05,1.1100125107981136e-05,1.1822781181392029e-05,1.2558181368179112e-05,1.330518567401828e-05,1.4062692180283138e-05,1.4829639481750529e-05,1.5605008436723925e-05,1.6387823321932167e-05,1.7177152476291692e-05,1.7972108509455595e-05,1.877184814319252e-05
5,TOI-836c,6.655785479519461e-06,7.5570112736072374e-06,8.506820918218143e-06,9.501673433583022e-06,1.0537960065923717e-05,1.1612063465198181e-05,1.2720406164928596e-05,1.3859489411235927e-05,1.5025923465094857e-05,1.621645050353518e-05,1.7427961197593142e-05,1.865750596645841e-05,1.990230181246721e-05,2.11597355402416e-05,2.2427364062087172e-05,2.37029123950744e-05,2.498426986564765e-05,2.6269484956489e-05,2.755675915822002e-05,2.8844440125283e-05,3.0131014380574036e-05,3.1415099766463425e-05,3.2695437799980816e-05,3.3970886056383424e-05,3.524041067728839e-05,3.6503079076308096e-05,3.775805289600225e-05,3.900458125434885e-05,4.024199430629615e-05,4.14696971358158e-05
6,TOI-3807b,0.0014989096617334988,0.0015521325138399167,0.001603376323962386,0.001652714269964858,0.001700220977163059,0.001745971271259355,0.0017900392468951276,0.001832497583087052,0.001873417051142057,0.0019128661720736026,0.0019509109896252718,0.0019876149322103267,0.0020230387427776623,0.0020572404601230405,0.0020902754387265563,0.00212219639701004,0.002153053486128165,0.002182894373158582,0.0022117643339377826,0.00223970635187807,0.002266761219958532,0.0022929676437575637,0.0023183623439245763,0.002342980156904335,0.002366854133052686,0.0023900156315362765,0.0024124944116061258,0.0024343187199874065,0.002455515374245036,0.00247610984207396
7,TOI-4087b,0.0008974449450701731,0.0009366914042467139,0.0009747639668088536,0.0010116774348438943,0.0010474524245109155,0.001082113913466497,0.0011156900665727785,0.0011482112906721733,0.0011797094772874595,0.0012102173990674123,0.0012397682317130839,0.0012683951780931237,0.0012961311754061584,0.0013230086696909506,0.0013490594448294173,0.0013743144955301763,0.0013988039357053065,0.0014225569352321488,0.0014456016793859094,0.00146796534628809,0.0014896740985824472,0.0015107530862590013,0.0015312264581261055,0.0015511173799043442,0.0015704480573031532,0.0015892397627574285,0.0016075128647598089,0.0016252868589353466,0.0016425804001775537,0.0016594113353053058
8,TOI-2818b,0.0009301533350100908,0.0009738064377695881,0.0010162752294329818,0.0010575602379478445,0.0010976702275995473,0.0011366204213523593,0.0011744310368949,0.00121112608565613,0.0012467323912664584,0.0012812787904813157,0.0013147954853696257,0.001347313520593036,0.0013788643639076256,0.00140947957167562,0.0014391905242568943,0.0014680282187347889,0.0014960231085898825,0.0015232049817333825,0.0015496028698058224,0.001575244982886093,0.0016001586647825764,0.001624370364928104,0.0016479056236034819,0.0016707890677956994,0.001693044415477401,0.001714694486491336,0.0017357612185515629,0.0017562656871442307,0.0017762281283346375,0.001795667963672083
9,TOI-3235b,0.00041523590485553145,0.00047572795355399586,0.0005400682185951335,0.0006080420090069117,0.000679421471370958,0.0007539703983554376,0.0008314483714313046,0.0009116142652772718,0.0009942291577728613,0.0010790586989838382,0.0011658749969383432,0.001254458078727446,0.0013445969836905576,0.0014360905420501455,0.0015287478880068892,0.0016223887514811202,0.0017168435677335414,0.0018119534392518023,0.0019075699797014318,0.0020035550655002248,0.0020997805167305133,0.00219612772566928,0.0022924872481854775,0.0023887583706081487,0.002484848662379834,0.0025806735228458364,0.0026761557288572293,0.00277122498845119,0.0028658175046843847,0.00295987555270419
