,Planet Name,ESM Estimate 3.9-4.03um,ESM Estimate 4.03-4.16um,ESM Estimate 4.16-4.29um,ESM Estimate 4.29-4.42um,ESM Estimate 4.42-4.55um,ESM Estimate 4.55-4.68um,ESM Estimate 4.68-4.81um,ESM Estimate 4.81-4.94um,ESM Estimate 4.94-5.07um,ESM Estimate 5.07-5.2um,ESM Estimate 5.2-5.33um,ESM Estimate 5.33-5.46um,ESM Estimate 5.46-5.59um,ESM Estimate 5.59-5.72um,ESM Estimate 5.72-5.85um,ESM Estimate 5.85-5.98um,ESM Estimate 5.98-6.11um,ESM Estimate 6.11-6.24um,ESM Estimate 6.24-6.37um,ESM Estimate 6.37-6.5um,ESM Estimate 6.5-6.63um,ESM Estimate 6.63-6.76um,ESM Estimate 6.76-6.89um,ESM Estimate 6.89-7.02um,ESM Estimate 7.02-7.15um,ESM Estimate 7.15-7.28um,ESM Estimate 7.28-7.41um,ESM Estimate 7.41-7.54um,ESM Estimate 7.54-7.67um,ESM Estimate 7.67-7.8um
0,TOI-5704b,0.3763287663938926,0.38961858097787055,0.4016890188670435,0.41258735592743473,0.42236707146724695,0.4310856081232028,0.4388025885137244,0.4455784166183055,0.4514731990035888,0.4565459289587398,0.4608538845274072,0.46445219887321454,0.46739356815574157,0.4697280680327279,0.47150305503612383,0.4727631334392729,0.4735501719102431,0.47390335731251754,0.47385927555052665,0.47345201144186105,0.4727132613003289,0.4716724532972891,0.470356871787028,0.46879178268157673,0.4670005576805748,0.46500479573557035,0.4628244405826026,0.4604778935346178,0.4579821210053165,0.4553527564527725
1,TOI-672b,0.46957159261356973,0.5081877273600249,0.5460827518881506,0.583063284052425,0.618969198062807,0.6536710223441535,0.6870670904514881,0.7190806077083631,0.7496567513777521,0.7787598861375585,0.8063709483965205,0.8324850313840108,0.8571091868198494,0.8802604472538262,0.9019640649270569,0.9222519574613931,0.9411613471810463,0.9587335788895286,0.9750131000513343,0.9900465872403328,1.0038822031673187,1.0165689694020337,1.0281562409213831,1.0386932697442037,1.048228846081671,1.056811006591519,1.0644868004395938,1.071302104922631,1.0773014833803172,1.0825280790150436
2,TOI-199b,0.003622967066724243,0.004583138481990369,0.005700893243781968,0.006983753153668208,0.008437327144847385,0.010065275198030242,0.011869329517554835,0.013849363666532234,0.016003500042946563,0.018328246357406992,0.020818652462223874,0.02346847982445259,0.026270377008116005,0.029216055639062266,0.032296462402834805,0.03550194362699999,0.03882239989797127,0.04224742894544279,0.04576645569197762,0.04936884891484058,0.05304402440990635,0.056781534894131215,0.060571147145502616,0.06440290706964698,0.06826719351200466,0.07215476171449095,0.07605677735552033,0.07996484212070645,0.08387101173587592,0.08776780736033551
3,WASP-176b,4.042981259792365,4.001599934239457,3.956327399240336,3.90793531609441,3.8570833600033203,3.8043344347347836,3.7501679878098315,3.6949916011846304,3.6391510410864294,3.582938946694306,3.5266023263073025,3.470349015073713,3.4143532324821124,3.358760361978255,3.3036910600353617,3.24924478816903,3.1955028489227315,3.1425309957825682,3.0903816772579518,3.0390959668934663,2.9887052236342964,2.939232520632809,2.8906938751356184,2.8430993074145325,2.796453752698899,2.7507578466394635,2.7060086019024894,2.6621999909863137,2.6193234482122243,2.5773683020091553
4,TOI-1801b,0.02188769293352183,0.025188794370022204,0.028670741815162187,0.032311287381376695,0.036087620083088814,0.03997686883551493,0.043956521961854636,0.04800476648740228,0.052100753162184446,0.05622479471388611,0.060358505560122,0.06448489133419655,0.0685883962895823,0.07265491609344638,0.07667178281101635,0.0806277281028606,0.08451282986455119,0.08831844677190105,0.09203714447982207,0.0956626165730063,0.09918960278837907,0.10261380652375657,0.10593181321186212,0.10914101076912154,0.11223951301854912,0.11522608672916176,0.11810008270412779,0.12086137117999257,0.12351028166407627,0.1260475472309775
5,TOI-836c,0.1435911854815349,0.15644497205791388,0.16916785426790104,0.18168733171792667,0.19394132485107993,0.205877640248997,0.21745328708600575,0.22863370639666467,0.23939196046838263,0.24970791757849758,0.259567457385649,0.2689617143583487,0.2778863704224174,0.28634100326360823,0.2943284931741217,0.30185448874916704,0.30892692992050835,0.3155556255877416,0.3217518823346661,0.32752818028438674,0.3328978919620142,0.33787504002755026,0.3424740898588994,0.34670977316414736,0.3505969390519427,0.35415042926601303,0.3573849745775916,0.3603151096159936,0.3629551036950332,0.3653189054555152
6,TOI-3807b,4.621097823862714,4.584231164522949,4.54197739603155,4.4952856021652865,4.444975316947252,4.39175290179148,4.336226133303206,4.278917095684305,4.2202735085005285,4.160678636411978,4.10045993022011,4.039896543491029,3.9792258595266117,3.9186491518125575,3.8583364886877565,3.798430980721641,3.7390524576608475,3.680300651080162,3.6222579491613165,3.5649917813522225,3.508556682988774,3.452996083228893,3.398343853771229,3.3446256507204954,3.291860077532002,3.240059693138708,3.1892318860579048,3.1393796324231085,3.090502153432482,3.0425954855885404
7,TOI-4087b,3.9070090725896485,3.905508247875225,3.8970581996653872,3.8825899381794144,3.862931363545564,3.8388165592488814,3.810894871374095,3.7797395404409286,3.7458557534424104,3.7096880523724756,3.671627081309277,3.6320156837381457,3.591154380118331,3.5493062662200137,3.5067013779744487,3.4635405702602493,3.419998956438156,3.3762289534110677,3.3323629741242375,3.2885158061422817,3.2447867115120874,3.201261279723652,3.1580130623237124,3.11510501468301,3.0725907676010786,3.0305157488656853,2.9889181725650773,2.947829911869911,2.907277269147002,2.867281655615667
8,TOI-2818b,4.703064355319725,4.717265450682768,4.72196264440394,4.718312206778843,4.707355427152822,4.690026536617309,4.667161154506484,4.639504813830402,4.6077212731113475,4.572400430940661,4.534065736377327,4.493181041687057,4.450156880301832,4.40535617703555,4.359099413025713,4.311669277151635,4.263314840675105,4.21425529390729,4.164683283796218,4.1147678901475455,4.06465727622087,4.014481047030183,3.9643523460547656,3.9143697183930097,3.8646187657715867,3.8151736163225713,3.7660982296981595,3.717447555926048,3.6692685644292635,3.6216011578335565
9,TOI-3235b,1.1496028875633755,1.2674180462295948,1.3857687761814492,1.503891469852891,1.6211012569889527,1.7367928497412068,1.8504391095243882,1.9615879444854387,2.069858045073944,2.1749338699275444,2.2765602087908845,2.3745365750446092,2.4687116178367243,2.558977692168742,2.645265683532221,2.7275401505639514,2.8057948234045957,2.8800484757791467,2.9503411741564194,3.0167308967163358,3.0792905074197687,3.138105065539891,3.193269447998593,3.244886260287384,3.2930640112632954,3.3379155273999785,3.379556582907531,3.4181047233310613,3.453678261663584,3.4863954275539646
