,Planet Name,RSM Estimate 3.9-4.03um,RSM Estimate 4.03-4.16um,RSM Estimate 4.16-4.29um,RSM Estimate 4.29-4.42um,RSM Estimate 4.42-4.55um,RSM Estimate 4.55-4.68um,RSM Estimate 4.68-4.81um,RSM Estimate 4.81-4.94um,RSM Estimate 4.94-5.07um,RSM Estimate 5.07-5.2um,RSM Estimate 5.2-5.33um,RSM Estimate 5.33-5.46um,RSM Estimate 5.46-5.59um,RSM Estimate 5.59-5.72um,RSM Estimate 5.72-5.85um,RSM Estimate 5.85-5.98um,RSM Estimate 5.98-6.11um,RSM Estimate 6.11-6.24um,RSM Estimate 6.24-6.37um,RSM Estimate 6.37-6.5um,RSM Estimate 6.5-6.63um,RSM Estimate 6.63-6.76um,RSM Estimate 6.76-6.89um,RSM Estimate 6.89-7.02um,RSM Estimate 7.02-7.15um,RSM Estimate 7.15-7.28um,RSM Estimate 7.28-7.41um,RSM Estimate 7.41-7.54um,RSM Estimate 7.54-7.67um,RSM Estimate 7.67-7.8um
0,TOI-5704b,0.019206123916293692,0.0184286796251126,0.017701357515962125,0.017019846991319497,0.01638028939674287,0.015779223567260983,0.015213538553412308,0.014680432546907535,0.014177377151424198,0.013702086259029128,0.013252488895336036,0.012826705486550946,0.012423027079695854,0.012039897114613885,0.011675895404050562,0.011329724027396937,0.011000194885715369,0.010686218701475531,0.010386795276917543,0.010101004850935916,0.009828000416509091,0.009567000879580166,0.009317284956418783,0.009078185720278648,0.00884908571996841,0.008629412603077483,0.00841863518529228,0.008216259914715704,0.008021827686552956,0.00783491096908612
1,TOI-672b,0.04710310587558102,0.04527614931096133,0.04356075970675329,0.04194800688255057,0.04042980684274262,0.03899883466597591,0.03764844596914481,0.03637260645182008,0.035165828900783,0.03402311698744083,0.03293991519189892,0.03191206421618129,0.030935761292647735,0.030007524843998462,0.02912416300336695,0.028282745553918978,0.027480578895423477,0.026715183689572704,0.025984274876064993,0.025285743787628014,0.024617642124381372,0.023978167576508093,0.02336565090943412,0.02277854434792207,0.022215411114999067,0.02167491599876806,0.021155816835168734,0.020656956807911363,0.020177257478355637,0.019715712468209814
2,TOI-199b,0.0014926738598160748,0.001430842618503509,0.0013731100261280785,0.0013191112898318699,0.001268521571956705,0.0012210508874925413,0.0011764397321654234,0.0011344553277103013,0.0010948883893149314,0.0010575503356797678,0.0010222708750445599,0.000988895911282792,0.000957285723110714,0.0009273133769019195,0.0008988633397960625,0.000871830264956058,0.0008461179251401619,0.000821638274360552,0.0007983106204199047,0.0007760608936528741,0.0007548209993315517,0.0007345282429916795,0.0007151248194553273,0.0006965573576118021,0.0006787765141100263,0.0006617366100441886,0.0006453953055059623,0.0006297133075526447,0.000614654107719935,0.0006001837457045865
3,WASP-176b,0.18830842907674153,0.18036973926738586,0.17296821087748965,0.1660548548295717,0.1595862084903082,0.15352360353520603,0.14783254371490068,0.14248217433573596,0.13744482850783168,0.13269563784729488,0.1282121974617189,0.12397427679417727,0.11996356932686224,0.11616347531293826,0.11255891266334159,0.1091361519038545,0.10588267176867999,0.10278703253547612,0.09983876465398195,0.09702827059269466,0.09434673813882821,0.09178606364699382,0.08933878395051204,0.0869980158331594,0.0847574021143826,0.08261106353240498,0.08055355572112673,0.07857983067152494,0.07668520214916744,0.0748653146085329
4,TOI-1801b,0.004144904882452581,0.003983130788199506,0.0038313168457896965,0.0036886567779500575,0.0035544220057139807,0.0034279534156950557,0.0033086539909397963,0.0031959822391431315,0.003089446345991025,0.002988598981146154,0.0028930326874511297,0.002802375788738107,0.0027162887572369787,0.0026344609873814296,0.0025566079284741806,0.002482468533998684,0.002411802990259651,0.002344390691462734,0.0022800284323050693,0.0022185287926670956,0.0021597186921013087,0.0021034380945452033,0.0020495388460816636,0.0019978836306669707,0.0019483450305800372,0.0019008046799488933,0.0018551525011098401,0.0018112860147766318,0.0017691097160662597,0.0017285345093607987
5,TOI-836c,0.009348113206325196,0.008970301449807148,0.008616800703998475,0.008285525245203934,0.007974607329181944,0.007682371044011531,0.007407309587202157,0.007148065505103202,0.006903413490293366,0.006672245385977651,0.006453557094376779,0.006246437128405839,0.006050056582807448,0.005863660332769802,0.005686559295442965,0.005518123613214252,0.0053577766376366786,0.005204989609996346,0.005059276949078472,0.004920192069123594,0.004787323661568086,0.004660292383217182,0.004538747901237488,0.004422366251976859,0.004310847476292591,0.004203913498937978,0.004101306223740986,0.004002785819908965,0.003908129177900518,0.003817128515984861
6,TOI-3807b,0.21630545144234228,0.20722181555922356,0.1987500579243247,0.19083466817180944,0.18342635891109307,0.17648124758166328,0.16996015995410513,0.16382803539400284,0.1580534174889353,0.15260801648554176,0.14746633231067477,0.14260532885489569,0.13800415175722566,0.13364388321178897,0.12950732837188056,0.12557882879735888,0.12184409911125384,0.1182900836286072,0.11490483021710128,0.11167737906316552,0.10859766436343547,0.10565642725171412,0.10284513851561296,0.10015592986270538,0.09758153266981563,0.09511522329632621,0.09275077416744483,0.09048240993982394,0.08830476815285283,0.08621286384663569
7,TOI-4087b,0.1349012333489399,0.12919935356698758,0.12388443409745682,0.11892106166177346,0.11427783435358285,0.10992682758431112,0.10584314068768666,0.10200451073060901,0.09839098249973713,0.09498462559469266,0.09176929114993503,0.08873040200082837,0.08585477116339195,0.08313044435842136,0.08054656301625726,0.07809324477829352,0.07576147898920911,0.07354303506894501,0.07143038198096141,0.06941661728571687,0.06749540449545721,0.06566091763642103,0.06390779208397253,0.06223108087024536,0.06062621577697285,0.059088972621841755,0.05761544022781713,0.05620199263382476,0.05484526416397972,0.05354212702272703
8,TOI-2818b,0.17652991499071818,0.16912570204659352,0.16221953226461308,0.15576629806154216,0.1497259385027972,0.14406277743921206,0.1387449597482862,0.13374396970975083,0.1290342183274902,0.12459268868776222,0.12039863030865822,0.11643329496397326,0.11267970771862443,0.10912246794367404,0.10574757592826094,0.1025422814070102,0.09949495090201946,0.09659495126029552,0.09383254716838159,0.09119881076042621,0.08868554171571918,0.08628519647640931,0.0839908254135063,0.08179601693567755,0.07969484767602962,0.07768183801130642,0.07575191226923118,0.07390036306597095,0.07212281928939394,0.07041521730677304
9,TOI-3235b,0.17822593732679856,0.17150594396467164,0.16518100773514371,0.15922119220044167,0.15359915827321569,0.14828993945558877,0.14327072960489504,0.13852068545319574,0.13402074472755426,0.12975345984898232,0.12570284665918885,0.12185424732091486,0.11819420638221613,0.11471035893549185,0.11139132980309525,0.10822664271948919,0.10520663853943008,0.10232240157215805,0.09956569321627376,0.09692889214470504,0.09440494036112027,0.0919872945169189,0.08966988194071107,0.08744706088964967,0.08531358458412967,0.08326456863443069,0.08129546151011802,0.07940201774078592,0.07758027357049652,0.07582652481826506
