,Planet Name,TSM Estimate 3.9-4.03um,TSM Estimate 4.03-4.16um,TSM Estimate 4.16-4.29um,TSM Estimate 4.29-4.42um,TSM Estimate 4.42-4.55um,TSM Estimate 4.55-4.68um,TSM Estimate 4.68-4.81um,TSM Estimate 4.81-4.94um,TSM Estimate 4.94-5.07um,TSM Estimate 5.07-5.2um,TSM Estimate 5.2-5.33um,TSM Estimate 5.33-5.46um,TSM Estimate 5.46-5.59um,TSM Estimate 5.59-5.72um,TSM Estimate 5.72-5.85um,TSM Estimate 5.85-5.98um,TSM Estimate 5.98-6.11um,TSM Estimate 6.11-6.24um,TSM Estimate 6.24-6.37um,TSM Estimate 6.37-6.5um,TSM Estimate 6.5-6.63um,TSM Estimate 6.63-6.76um,TSM Estimate 6.76-6.89um,TSM Estimate 6.89-7.02um,TSM Estimate 7.02-7.15um,TSM Estimate 7.15-7.28um,TSM Estimate 7.28-7.41um,TSM Estimate 7.41-7.54um,TSM Estimate 7.54-7.67um,TSM Estimate 7.67-7.8um
0,TOI-5704b,1.3683722361027688,1.3129819247726264,1.2611626516489696,1.212607301043236,1.1670409567031956,1.1242170221749312,1.0839138526908871,1.0459318287603903,1.0100908105829998,0.9762279205974691,0.9441956087898429,0.9138599617996435,0.8850992224301506,0.8578024909645984,0.8318685838004253,0.8072050284255463,0.7837271767554708,0.7613574214012009,0.7400245016101143,0.7196628874727883,0.7002122325654916,0.6816168865432661,0.6638254603473267,0.6467904376726068,0.6304678271822252,0.6148168506769299,0.5997996630469979,0.5853811003667978,0.5715284529517828,0.5582112605937716
1,TOI-672b,3.5542124290651125,3.4163575762134735,3.2869211210448985,3.165229227777139,3.0506719103563795,2.94269645944355,2.840801516400435,2.7445317569933647,2.653473138006706,2.5672486564200887,2.485514570878682,2.4079570373527197,2.334289114169029,2.2642480953959794,2.197593135495299,2.134103131996175,2.0735748365725737,2.0158211682482956,1.9606697054903144,1.9079613366797943,1.8575490508814327,1.8092968529876146,1.7630787892175894,1.7187780706275315,1.676286283759775,1.6355026788520333,1.5963335271605201,1.5586915399436838,1.5224953425246714,1.487668997613015
2,TOI-199b,2.563546208259154,2.4573560695517496,2.3582050277459783,2.2654665807150987,2.1785828461451375,2.0970557983166396,2.020439759700552,1.9483349525190228,1.8803819470926586,1.8162568703448183,1.7556672599982157,1.6983484684620598,1.644060535771342,1.5925854637246908,1.5437248340111518,1.4972977219880215,1.453138865177443,1.411097051741178,1.371033699379332,1.3328215994531956,1.2963438047941798,1.261492642748228,1.2281688376137354,1.1962807288397057,1.1657435732253887,1.1364789209573705,1.108414056679423,1.0814814979514844,1.055618544449159,1.0307668721078513
3,WASP-176b,1.6683469146380812,1.5980128955256934,1.5324379389853402,1.471188018900042,1.4138780715179355,1.360165508988978,1.3097447065916632,1.2623423025162417,1.2177131777810755,1.1756370071901903,1.1359152912218036,1.0983687942070965,1.0628353267918698,1.0291678210166448,0.9972326548397578,0.9669081899146778,0.9380834921995127,0.9106572097496519,0.8845365860062888,0.8596365901922595,0.8358791491799573,0.8131924675014471,0.7915104241064704,0.7707720361032602,0.7509209810923683,0.7319051708677939,0.7136763702473452,0.6961898556341035,0.6794041086276735,0.6632805406159169
4,TOI-1801b,1.6284517118561825,1.5648938478782464,1.5052491319168497,1.449200793468727,1.396462588169039,1.3467755633149259,1.2999051626722922,1.2556386445507604,1.2137827847668272,1.1741618360176629,1.1366157163896224,1.100998401617024,1.0671764979081797,1.0350279744371667,1.0044410368243226,0.9753131250209124,0.947550020936607,0.9210650528880656,0.8957783855032613,0.8716163850986253,0.8485110517660731,0.826399510480161,0.8052235544769736,0.7849292349801693,0.7654664920699408,0.7467888221201974,0.7288529777790766,0.7116186969479661,0.6950484576342902,0.6791072559198302
5,TOI-836c,2.2377053463347676,2.1472666269045706,2.0626473576070867,1.983348268165972,1.908922267154034,1.8389681830211662,1.7731253248006968,1.7110687519164531,1.6525051563064732,1.5971692728493347,1.5448207455588252,1.4952413871411019,1.4482327783338915,1.4036141610749806,1.36122058610206,1.3209012811987233,1.2825182110968587,1.245944804137042,1.2110648242771522,1.1777713700153047,1.1459659843311891,1.1155578619172222,1.086463141823394,1.0586042752245648,1.031909459376962,1.0063121299961677,0.9817505052903612,0.958167175744373,0.9355087344938884,0.913725443770485
6,TOI-3807b,1.762314801782039,1.6883073005190126,1.61928498149035,1.5547955826808622,1.4944375427919807,1.437853335531995,1.3847237949996947,1.3347632701651182,1.2877154748327442,1.2433499226659868,1.2014588558110586,1.161854591172742,1.1243672211098297,1.0888426157606388,1.0551406828035914,1.023133847549051,0.9927057221246111,0.9637499373810156,0.9361691151913804,0.9098739621904601,0.8847824688212016,0.8608191999207928,0.8379146650665945,0.8160047585778872,0.7950302604852901,0.7749363909794966,0.7556724118698485,0.7371912694505842,0.7194492739134017,0.7024058110779737
7,TOI-4087b,1.9330437504026974,1.8513396561966753,1.7751804424562412,1.704058660767993,1.6375243429787663,1.5751773485554816,1.5166608677335267,1.4616558876867982,1.4098764636579406,1.3610656650946298,1.3149920896380114,1.2714468563438688,1.23024100461979,1.1912032377019657,1.154177959605858,1.1190235627933542,1.0856109306468904,1.0538221245016344,1.023549229679893,0.9946933388752842,0.9671636544890863,0.9408766942440068,0.9157555866847742,0.8917294450961222,0.86873280998927,0.84670515167877,0.825590425633846,0.805336674276204,0.7858956697388798,0.7672225928197062
8,TOI-2818b,2.855830541061576,2.736048137838494,2.6243228782065877,2.519925029679203,2.422206502438287,2.3305901419750334,2.2445606088256964,2.1636565870436377,2.087464108057999,2.0156108134204733,1.9477610101128007,1.8836113968107286,1.8228873597863524,1.7653397538085414,1.7107420971399343,1.6588881210738016,1.609589623845619,1.5626745865481826,1.517985515164128,1.4753779782413339,1.4347193142627306,1.3958874865587785,1.3587700668041105,1.3232633308319453,1.2892714527757088,1.256705785476368,1.225484216732684,1.1955305923669393,1.1667741982708482,1.1391492946152695
9,TOI-3235b,3.359069812295279,3.2324163791299645,3.1132086887569126,3.000882521478813,2.8949226105259127,2.7948584059289145,2.7002600744855747,2.61073477779553,2.5259232443266164,2.445496635096379,2.3691536925864374,2.2966181567900326,2.22763642936388,2.1619754657327803,2.099420875015049,2.039775208355376,1.9828564173735612,1.9284964657661539,1.8765400785060113,1.826843614493068,1.779274049865767,1.733708060459932,1.6900311930851253,1.6481371163713423,1.6079269429217908,1.5693086153944957,1.5321963499315514,1.4965101310666742,1.4621752528781902,1.4291219017199386
