,Planet Name,ESM Estimate 1.95-2.015um,ESM Estimate 2.015-2.08um,ESM Estimate 2.08-2.145um,ESM Estimate 2.145-2.21um,ESM Estimate 2.21-2.275um,ESM Estimate 2.275-2.34um,ESM Estimate 2.34-2.405um,ESM Estimate 2.405-2.47um,ESM Estimate 2.47-2.535um,ESM Estimate 2.535-2.6um,ESM Estimate 2.6-2.665um,ESM Estimate 2.665-2.73um,ESM Estimate 2.73-2.795um,ESM Estimate 2.795-2.86um,ESM Estimate 2.86-2.925um,ESM Estimate 2.925-2.99um,ESM Estimate 2.99-3.055um,ESM Estimate 3.055-3.12um,ESM Estimate 3.12-3.185um,ESM Estimate 3.185-3.25um,ESM Estimate 3.25-3.315um,ESM Estimate 3.315-3.38um,ESM Estimate 3.38-3.445um,ESM Estimate 3.445-3.51um,ESM Estimate 3.51-3.575um,ESM Estimate 3.575-3.64um,ESM Estimate 3.64-3.705um,ESM Estimate 3.705-3.77um,ESM Estimate 3.77-3.835um,ESM Estimate 3.835-3.9um
159,WASP-129b,0.19907099110271734,0.2240848383085642,0.24983270330903862,0.27613646098192884,0.3028257019358885,0.3297399119213043,0.35672998436099007,0.3836591669532364,0.41040354047497174,0.43685212082653685,0.4629066659117219,0.48848125849035035,0.5135017255950659,0.5379049450586206,0.5616380804987743,0.5846577779283307,0.606929350053566,0.6284259682734615,0.6491278773262472,0.6690216433551988,0.6880994427765225,0.7063583966226292,0.7237999529022405,0.7404293178708734,0.7562549358576204,0.7712880163738388,0.7855421065729841,0.7990327066848513,0.811776925767992,0.8237931749725033
160,WASP-145Ab,1.184350087756034,1.3001739251740947,1.415955407761796,1.530974352573032,1.6445934658844874,1.7562573692091996,1.8654896694277847,1.971888657340838,2.0751221103933317,2.174921577153496,2.2710764356281374,2.3634279451738425,2.4518634520503695,2.5363108604018705,2.616733442214503,2.6931250300959544,2.7655056141257117,2.833917347232549,2.8984209514257087,2.9590925087648667,3.016020615380534,3.069303873481782,3.1190486945669607,3.1653673865494514,3.208376497881295,3.248195392736238,3.2849450326930443,3.318746941983381,3.349722335123328,3.3779913875420164
161,WASP-167b,6.959445532465677,7.035131518820679,7.093401867499291,7.135973488720117,7.16444236361125,7.180282011439197,7.1848454589892174,7.179369571993849,7.164980900662808,7.142702416743914,7.113460691741464,7.078093196331879,7.037355498940819,6.99192821433521,6.9424236068149145,6.889391791762752,6.83332650749444,6.774670449282186,6.713820171206681,6.651130570727015,6.586918976749025,6.521468865440293,6.455033229769398,6.387837629248052,6.320082946009603,6.251947872448365,6.1835911543742075,6.115153612154036,6.0467599607296485,5.978520447783419
162,K2-232b,0.3582279323896188,0.40974087227394407,0.46372104423820537,0.5198110829916216,0.5776518523208403,0.6368895000572612,0.6971811499248484,0.7581993302782813,0.8196352686121924,0.8812011941885908,0.9426317935221304,1.003684958304239,1.0641419553901141,1.1238071357938468,1.182507285745544,1.2400907088147186,1.296426114597476,1.3514013769339484,1.4049222133048256,1.4569108270519657,1.5073045453805463,1.556054478673284,1.60312422038616,1.6484886015858404,1.692132509910114,1.734049779264499,1.7742421537950106,1.812718327493335,1.8494930591029046,1.8845863607152742
163,TOI-157b,2.0628292317850567,2.1699061273637215,2.270599819644748,2.3648308254905968,2.4526058174298697,2.534001118726484,2.6091482887631496,2.678221710388307,2.741428032998991,2.7989972951452646,2.8511755394986285,2.8982187345882893,2.940387827048149,2.9779447619005825,3.0111493243332363,3.0402566729714198,3.0655154508312608,3.087166375363902,3.105441222945047,3.1205621356885764,3.1327411895403054,3.1421801722929614,3.1490705285500713,3.1535934358709428,3.155919982477148,3.1562114221189668,3.1546194861052745,3.1512867362022643,3.146346945207391,3.139925494587727
164,WASP-76b,20.679966606456365,21.026595895831267,21.31569746161619,21.552083770885904,21.74035303188666,21.88485355809445,21.98966380317997,22.058583999487254,22.095136222141775,22.102570421722668,22.0838745449713,22.041787319263417,21.97881263437107,21.897234733398545,21.799133639698955,21.686400411311467,21.56075193977714,21.423745104738746,21.27679016639933,21.12116333017442,20.958018455977278,20.788397911893256,20.613242591129243,20.433401124077697,20.24963832567402,20.06264292315329,19.87303461173521,19.681370486380704,19.488150897121447,19.293824773925618
165,Qatar-2b,2.5779925542477082,2.795858420839628,3.010336498778551,3.22028645189686,3.4247501493279136,3.6229393829711394,3.8142217490566503,3.9981056472552803,4.174225107798399,4.342324957590988,4.5022466766501905,4.653915171367001,4.797326595674716,4.932537280010822,5.059653776256229,5.178823990524721,5.29022935129911,5.39407794511802,5.49059854350811,5.580035441309495,5.662644026522155,5.738687004213167,5.808431201032148,5.872144881859594,5.930095515601919,5.982547932820451,6.029762823505656,6.071995528726135,6.109495085000983,6.142503484993918
166,LP791-18d,6.099474531495312e-06,9.284644181118564e-06,1.3742386194667308e-05,1.9828698331374634e-05,2.7953956730523647e-05,3.858159025735804e-05,5.2225126220367826e-05,6.94437279804162e-05,9.083640839351318e-05,0.00011703514837914867,0.0001486971772271196,0.00018649668196794275,0.00023111620955380873,0.0002832380105210106,0.00034353554915453175,0.0004126653757535881,0.0004912595239180841,0.0005799185619713709,0.0006792053944150716,0.0007896398779714953,0.0009116942882169149,0.0010457896476177848,0.0011922929042433672,0.0013515149326100604,0.0015237093139121101,0.0017090718420867783,0.0019077406944431037,0.0021197972005997136,0.0023452671408575646,0.0025841225045024614
167,HATS-22b,0.07201788502362863,0.08523837750204596,0.0996128652736399,0.11508114170847489,0.13157169969197471,0.14900416759165655,0.16729162554922541,0.1863427442246344,0.2060637096773603,0.22635991552643206,0.24713741710366963,0.2683041524224262,0.2897709419341418,0.31145228376157474,0.3332669638768753,0.3551385019789242,0.37699545399914147,0.39877159154491715,0.420405977430659,0.44184295494952586,0.46303206685766757,0.4839279182920922,0.504489996105511,0.5246824554335187,0.5444738827482661,0.5638370432205395,0.5827486189191832,0.6011889432255735,0.6191417358287108,0.6365938417853894
168,HAT-P-51b,0.5152328264402972,0.5679799126454609,0.6209694686744057,0.6738601062507545,0.7263454699403165,0.7781546439814353,0.8290515420781934,0.8788335501048907,0.9273296471056973,0.9743981879822472,1.0199244935009757,1.0638183604406077,1.10601157695097,1.1464555052543974,1.1851187752357553,1.2219851176931287,1.2570513544977817,1.2903255541015761,1.321825354244093,1.3515764489215347,1.3796112333148243,1.4059675981267516,1.430687863391317,1.453817841083787,1.4754060156100481,1.4955028313559746,1.5141600768267978,1.531430355421748,1.5473666335103755,1.562021857154556
