,Planet Name,Noise Estimate 1.1-1.1566667um,Full Phase Curve Noise Estimate 1.1-1.1566667um,Noise Estimate 1.1566667-1.2133333um,Full Phase Curve Noise Estimate 1.1566667-1.2133333um,Noise Estimate 1.2133333-1.27um,Full Phase Curve Noise Estimate 1.2133333-1.27um,Noise Estimate 1.27-1.3266667um,Full Phase Curve Noise Estimate 1.27-1.3266667um,Noise Estimate 1.3266667-1.3833333um,Full Phase Curve Noise Estimate 1.3266667-1.3833333um,Noise Estimate 1.3833333-1.44um,Full Phase Curve Noise Estimate 1.3833333-1.44um,Noise Estimate 1.44-1.4966667um,Full Phase Curve Noise Estimate 1.44-1.4966667um,Noise Estimate 1.4966667-1.5533333um,Full Phase Curve Noise Estimate 1.4966667-1.5533333um,Noise Estimate 1.5533333-1.61um,Full Phase Curve Noise Estimate 1.5533333-1.61um,Noise Estimate 1.61-1.6666667um,Full Phase Curve Noise Estimate 1.61-1.6666667um,Noise Estimate 1.6666667-1.7233333um,Full Phase Curve Noise Estimate 1.6666667-1.7233333um,Noise Estimate 1.7233333-1.78um,Full Phase Curve Noise Estimate 1.7233333-1.78um,Noise Estimate 1.78-1.8366667um,Full Phase Curve Noise Estimate 1.78-1.8366667um,Noise Estimate 1.8366667-1.8933333um,Full Phase Curve Noise Estimate 1.8366667-1.8933333um,Noise Estimate 1.8933333-1.95um,Full Phase Curve Noise Estimate 1.8933333-1.95um
554,HATS-38b,8.077876929138596e-05,2.343320454747221e-05,8.390331989752896e-05,2.433960896678892e-05,8.716121892773972e-05,2.528469658126538e-05,9.05408156212939e-05,2.6265087608545625e-05,9.4032476604773e-05,2.7277987492438992e-05,9.762802778029111e-05,2.8321024999644548e-05,0.00010132111606979797,2.9392357158565133e-05,0.00010510617713980504,3.049036980540559e-05,0.00010897819278954919,3.1613607204630784e-05,0.00011293336445279752,3.276096742586589e-05,0.00011696815323772631,3.3931423867979145e-05,0.00012107915169889736,3.512398806126945e-05,0.00012526393736331405,3.633795726780529e-05,0.00012952008268972867,3.7572627279400486e-05,0.00013384507345060877,3.882726874094648e-05
555,K2-36c,7.445762662307845e-05,1.30475839736457e-05,7.677130518499304e-05,1.3453021491516401e-05,7.922841012310177e-05,1.3883592333833528e-05,8.181319236116084e-05,1.4336536710846618e-05,8.45129057715513e-05,1.4809621054578963e-05,8.73169987351694e-05,1.5300996351805747e-05,9.021721965088406e-05,1.580921663300635e-05,9.320653129419525e-05,1.6333048729978004e-05,9.627878062277351e-05,1.687141441420164e-05,9.942920837656026e-05,1.74234796966276e-05,0.00010265353205858494,1.798849413379732e-05,0.00010594778497746166,1.8565762622451357e-05,0.0001093090260247748,1.9154769777386507e-05,0.00011273444038333433,1.9755022344045467e-05,0.00011622124644316748,2.036603288693844e-05
556,TOI-4600b,5.151114697855216e-05,5.468426877656724e-06,5.324854923994659e-05,5.6528696202628394e-06,5.507967034440598e-05,5.847261561642817e-06,5.699492681693774e-05,6.0505853194376026e-06,5.898651089186877e-05,6.2620120207106415e-06,6.104790961805383e-05,6.480850250124002e-06,6.317403790026354e-05,6.706560173621194e-06,6.536052334497979e-05,6.938677617608028e-06,6.760350604103762e-05,7.176792813651878e-06,6.990001965889652e-05,7.420590856006346e-06,7.224736617007014e-05,7.669785321783244e-06,7.464301579028913e-05,7.924107648911938e-06,7.70851171755514e-05,8.18336129858686e-06,7.957187273928022e-05,8.447355438894377e-06,8.210147899930733e-05,8.715898612044466e-06
557,TOI-1181b,3.775313809767962e-05,1.664039731707495e-05,3.928622596882625e-05,1.731613429109451e-05,4.0879572299136886e-05,1.8018431300987362e-05,4.252827301622849e-05,1.874512678570091e-05,4.4228245343537794e-05,1.949442118558016e-05,4.5975997511038e-05,2.0264775438085858e-05,4.7768822200155846e-05,2.1054996242237128e-05,4.9604327864094016e-05,2.1864029479332454e-05,5.148033657768546e-05,2.2690915188374348e-05,5.339521141520485e-05,2.353493186392457e-05,5.534741057453395e-05,2.439539992804273e-05,5.7335431970763303e-05,2.527165730888641e-05,5.9358221460227425e-05,2.6163239373042157e-05,6.141470774446932e-05,2.7069673925803314e-05,6.350376607946991e-05,2.7990465215338347e-05
558,HAT-P-58b,7.143050638986336e-05,2.416515951556594e-05,7.4375155339328e-05,2.5161343291623483e-05,7.743266231941071e-05,2.6195707285774588e-05,8.059405951159968e-05,2.7265217657496523e-05,8.385186343593635e-05,2.836734272255422e-05,8.719965661559694e-05,2.9499911428844425e-05,9.063246757484963e-05,3.066124191087075e-05,9.414589187160284e-05,3.184984413235738e-05,9.773590524072172e-05,3.3064356672059645e-05,0.00010139949036695441,3.430375876296839e-05,0.00010513379473544217,3.556708539055321e-05,0.00010893602838205901,3.685339270138849e-05,0.00011280424181164873,3.8162021175280365e-05,0.00011673644446681562,3.949229740055327e-05,0.00012073053711520697,4.084351120046023e-05
559,K2-329b,7.702459240335781e-05,1.4423592601772957e-05,7.970577717426754e-05,1.4925670128170796e-05,8.252400067894846e-05,1.5453409469904546e-05,8.546568391251925e-05,1.600426782826233e-05,8.851973142122508e-05,1.6576167473266e-05,9.167685644928199e-05,1.7167369370954572e-05,9.492981406964452e-05,1.7776516839353203e-05,9.827235202244521e-05,1.840243908292303e-05,0.00010169892733985728,1.904409812785279e-05,0.00010520529278759723,1.9700698638846595e-05,0.00010878756680759607,2.0371513756981854e-05,0.00011244209032823085,2.1055858286053785e-05,0.00011616620105386897,2.175323368570804e-05,0.00011995729752411338,2.2463152807570743e-05,0.00012381275260243098,2.3185123695165668e-05
560,TOI-5678b,3.271387760193094e-05,4.376959550898042e-06,3.39126282464109e-05,4.537346624125707e-06,3.516749156853284e-05,4.7052413038597e-06,3.647321538456603e-05,4.87994087316677e-06,3.7825485175929866e-05,5.060868070202912e-06,3.922066745204401e-05,5.247536751396518e-06,4.0655932129792524e-05,5.439568265232321e-06,4.212882059752686e-05,5.6366336612915415e-06,4.3637136264968285e-05,5.838439046355011e-06,4.51792051539138e-05,6.044760450186833e-06,4.675348408435676e-05,6.25539140272097e-06,4.835850424036558e-05,6.470135383447119e-06,4.999320808999236e-05,6.688850899674747e-06,5.1656550364803544e-05,6.911398099512578e-06,5.3347463142236384e-05,7.137634100055766e-06
561,TOI-620b,4.566835690778479e-05,8.203199106219956e-06,4.625534409172119e-05,8.308636942583385e-06,4.697767266146702e-05,8.438385536116122e-06,4.7814865479266264e-05,8.58876667175829e-06,4.8750877553621464e-05,8.75689826071092e-06,4.977289601602927e-05,8.940478785718485e-06,5.087088829255981e-05,9.13770614118606e-06,5.203661348062994e-05,9.347100051288503e-06,5.3263175794710225e-05,9.567421857455154e-06,5.4545114316285076e-05,9.797690639746711e-06,5.587774676854772e-05,1.0037065342090277e-05,5.725697505035622e-05,1.0284809841228938e-05,5.867958766058564e-05,1.0540347269831758e-05,6.0142705785668944e-05,1.0803160519719705e-05,6.164368579779538e-05,1.107277472806077e-05
562,TOI-5344b,0.0001582089685784696,3.753818808704192e-05,0.00016043960154725316,3.806744961176908e-05,0.00016312523021293687,3.8704667810523624e-05,0.00016619805722876954,3.943375642993435e-05,0.00016960486581802726,4.0242088743514136e-05,0.00017330307897946482,4.111956252067969e-05,0.00017725934924674343,4.2058265419451306e-05,0.0001814462324933236,4.305168578127268e-05,0.00018584071401088907,4.409436291414068e-05,0.00019042458251248027,4.518197583220135e-05,0.00019518218685190425,4.631081099332842e-05,0.00020009979053437136,4.7477609144081936e-05,0.00020516665426425536,4.8679822175446586e-05,0.0002103731210936655,4.991515878668558e-05,0.00021571029050546396,5.118150715512922e-05
563,HD73583b,2.024641497395627e-05,4.00093543250729e-06,2.079474884635567e-05,4.109292809442847e-06,2.1385769056198976e-05,4.226085520741696e-06,2.2014334051955364e-05,4.350297533900099e-06,2.2676318783470376e-05,4.481113689328315e-06,2.3368342186148646e-05,4.617865847943126e-06,2.4087756117315845e-05,4.760030704859706e-06,2.4832325953353673e-05,4.907166671538838e-06,2.5600122047669496e-05,5.058892426574501e-06,2.6389640011185e-05,5.214910684567013e-06,2.7199544839618085e-05,5.374957632592375e-06,2.8028619673309163e-05,5.5387928045268434e-06,2.8875947000349988e-05,5.7062348889674785e-06,2.974066508227499e-05,5.877113596015309e-06,3.0621939490261625e-05,6.051264032485723e-06
