,Planet Name,Eclipse Flux Ratio 1.1-1.1566667um,Eclipse Flux Ratio 1.1566667-1.2133333um,Eclipse Flux Ratio 1.2133333-1.27um,Eclipse Flux Ratio 1.27-1.3266667um,Eclipse Flux Ratio 1.3266667-1.3833333um,Eclipse Flux Ratio 1.3833333-1.44um,Eclipse Flux Ratio 1.44-1.4966667um,Eclipse Flux Ratio 1.4966667-1.5533333um,Eclipse Flux Ratio 1.5533333-1.61um,Eclipse Flux Ratio 1.61-1.6666667um,Eclipse Flux Ratio 1.6666667-1.7233333um,Eclipse Flux Ratio 1.7233333-1.78um,Eclipse Flux Ratio 1.78-1.8366667um,Eclipse Flux Ratio 1.8366667-1.8933333um,Eclipse Flux Ratio 1.8933333-1.95um
10,TOI-4463Ab,1.3955451021321322e-05,1.899762365419147e-05,2.510880551805835e-05,3.2345119063458e-05,4.074301214679112e-05,5.032013492108454e-05,6.107681693922755e-05,7.29979446503017e-05,8.605514539726262e-05,0.00010020895261468836,0.00011541090609712385,0.00013160563947997345,0.00014873268076416468,0.0001667280360275807,0.000185525698443681
11,TOI-3785b,1.7011591254507208e-10,3.9372545630635607e-10,8.438594623720124e-10,1.6915243848207884e-09,3.1975378056769838e-09,5.7400291653522974e-09,9.843397811216629e-09,1.620702397854824e-08,2.573203646749064e-08,3.954444905094911e-08,5.901327950693074e-08,8.576279747421824e-08,1.216780655966839e-07,1.689035387532409e-07,2.2983525985793856e-07
12,WASP-124b,1.3641959266122057e-05,1.8699622923610204e-05,2.486890124677618e-05,3.2216240216981585e-05,4.07876197513706e-05,5.060913281803642e-05,6.168826963949715e-05,7.401569443849225e-05,8.756740827123516e-05,0.00010230695044267117,0.0001181875773877434,0.00013515446298839243,0.00015314662501948512,0.00017209864162046306,0.000191942301085348
13,WASP-25b,5.322728127958384e-06,7.71308095375923e-06,1.0789876667164135e-05,1.4638759914005786e-05,1.9335875017650175e-05,2.4946070001225002e-05,3.152179542753786e-05,3.9102633224664306e-05,4.771541618727209e-05,5.737472004184316e-05,6.808365385882356e-05,7.983494237350979e-05,9.261206172992598e-05,0.00010639041928394505,0.00012113864086470866
14,LHS1140c,4.413832982518366e-15,1.5917999386230818e-14,5.1107974936934415e-14,1.4828108175723445e-13,3.936361804274869e-13,9.662394806497177e-13,2.21275629255272e-12,4.763810980288904e-12,9.705004729349795e-12,1.8815596061516214e-11,3.4886505669642295e-11,6.212678503067386e-11,1.0666358756459934e-10,1.771359744065713e-10,2.853783874578351e-10
15,TOI-1199b,7.878334354895499e-06,1.045907193503864e-05,1.3511775554326214e-05,1.7047088750037272e-05,2.1067189537375066e-05,2.5566728760658806e-05,3.053388601143391e-05,3.595146778654785e-05,4.17980250589972e-05,4.804886409433557e-05,5.467695431623909e-05,6.165377488306096e-05,6.894999611433454e-05,7.653604249122447e-05,8.438260789135827e-05
16,TOI-1273b,2.3498639371541127e-06,3.42246586905712e-06,4.8098926363334424e-06,6.553305048530432e-06,8.689750181641744e-06,1.1251244064672543e-05,1.4264175488406587e-05,1.7749006839278512e-05,2.172025768212917e-05,2.6186672911936357e-05,3.115154156172189e-05,3.661316314812915e-05,4.256535029743483e-05,4.8997961688830545e-05,5.589749362471039e-05
17,TOI-5803b,1.646625832747443e-10,3.48345787843231e-10,6.876194114437934e-10,1.277923975477277e-09,2.252879114556368e-09,3.791312143887137e-09,6.1232959408439466e-09,9.534732901587245e-09,1.4370183976433983e-08,2.1033725295591963e-08,2.998779131722228e-08,4.175017242032e-08,5.6889257232650754e-08,7.601779466922374e-08,9.978565152110855e-08
18,TOI-3819b,2.2022779903243996e-05,2.825232820942999e-05,3.5379327445686066e-05,4.338541315243908e-05,5.223874600010478e-05,6.189688599212456e-05,7.230944962229473e-05,8.342049437200943e-05,9.517067232910928e-05,0.00010749897137213661,0.00012034412557175021,0.00013364582727796355,0.0001473455774766474,0.00016138730088366746,0.00017571787759394786
19,TOI-4791b,9.416388232262882e-06,1.260441089417752e-05,1.6404737500590123e-05,2.083677715639925e-05,2.590873324349775e-05,3.1618628810455665e-05,3.7955546849617196e-05,4.490097858842449e-05,5.243024005058065e-05,6.051378514963478e-05,6.911840991233225e-05,7.82083942501618e-05,8.774644048403726e-05,9.769446340770555e-05,0.00010801432078482934
20,TOI-4377b,2.2675158027797566e-05,2.7353615768144313e-05,3.2399016444506346e-05,3.7770534856795795e-05,4.3426660333517704e-05,4.932649228942873e-05,5.543065565423348e-05,6.170192776916797e-05,6.810568243290688e-05,7.461010333298211e-05,8.118625637690827e-05,8.780811101220806e-05,9.445243672154277e-05,0.00010109864911968492,0.00010772867742855471
21,Wolf327b,2.881294224512284e-07,4.1724918110867655e-07,5.837072318714596e-07,7.923758190055079e-07,1.047678517278929e-06,1.3534837378190601e-06,1.713032457415512e-06,2.1288981470036878e-06,2.602978162665036e-06,3.1365058266516725e-06,3.730079971566494e-06,4.383712240150276e-06,5.096879337723092e-06,5.868579834580351e-06,6.697399107956501e-06
22,HD118203b,2.3592077420991695e-06,3.2578767574484633e-06,4.362051020162314e-06,5.685857538485288e-06,7.2396931446971115e-06,9.03024747096441e-06,1.1060672028462564e-05,1.333085678390796e-05,1.5837793876107926e-05,1.857596286541575e-05,2.153772373518207e-05,2.4713723700437768e-05,2.809326075427032e-05,3.166461360353002e-05,3.5415363349004115e-05
23,TOI-1470b,1.7321021944804342e-09,3.326632868937444e-09,6.016208363916993e-09,1.0325323521707423e-08,1.6926539895522935e-08,2.6649701637863072e-08,4.0484676749488234e-08,5.957745606158792e-08,8.52201399493063e-08,1.1883536809029908e-07,1.619562343391233e-07,2.162032336672877e-07,2.832589143927339e-07,3.6484146656026904e-07,4.626789771947948e-07
