,Star Name,Star RA,Star Dec,Planet Name,Transit Mid Time,Transit Duration [hrs],Planet Period [days],Priority,Immediate Followup,Transit Observations,Phase Curve Observations,Known,Observe Transit,Observe Phase Curve
869,TOI-4492,308.6508,29.238102,TOI-4492.01,2459819.412,3.856,4.4331839,51,0,1,1,0,1,0
870,TOI-4494,293.328194,33.482606,TOI-4494.01,2459407.233,3.417,32.5350178,21,0,1,1,0,1,0
871,TOI-4495,286.362495,37.02599,TOI-4495.01,2459765.915,2.783,5.1830043,10,0,2,5,0,1,0
872,TOI-450,79.005088,-31.412694,TOI-450.01,2459182.487,2.1121584,10.7148661,10,0,1,12,0,1,0
873,TOI-4500,306.244087,30.348186,TOI-4500.01,2459446.222,3.291,1.773346,13,0,6,1,0,0,1
874,TOI-4505,95.241796,-60.955781,TOI-4505.01,2459068.265,7.7309404,19.4723789,23,0,1,1,0,1,0
875,TOI-4527,19.472257,5.4712,TOI-4527.01,2459474.2,0.8028796,0.3994445,10,0,1,15,0,1,0
876,TOI-4529,16.968846,12.880955,TOI-4529.01,2460224.617,1.925,5.8795935,10,0,3,165,0,1,0
877,TOI-4537,340.59158,-6.87105,TOI-4537.01,2460223.744,1.174,6.6629947,10,0,2,3,0,1,0
878,TOI-4543,55.140851,13.552772,TOI-4543.01,2459519.314,4.551,5.7740318,195,0,1,1,0,1,0
879,TOI-4546,51.440653,23.188666,TOI-4546.01,2460232.739,0.671,0.745637,15,0,2,1,0,0,1
880,TOI-4548,36.34112,25.530678,TOI-4548.01,2460229.837,1.402,4.6003967,12,0,2,2,0,1,0
881,TOI-4552,264.714256,-47.637046,TOI-4552.01,2459361.882,0.6404841,0.3011506,10,0,2,19,0,1,0
882,TOI-4556,182.925066,-32.53258,TOI-4556.01,2458570.935,1.2308429,3.7924221,10,0,4,1554,0,1,0
883,TOI-4576,275.226841,16.452703,TOI-4576.01,2459010.845,3.2981777,10.4834062,10,0,2,64,0,1,0
884,TOI-4596,98.707848,27.388017,TOI-4596.01,2460283.324,2.057,4.1194175,10,0,3,10,0,1,0
885,TOI-4597,73.705654,22.146384,TOI-4597.01,2459523.197,2.526,4.6663795,110,0,1,1,0,1,0
886,TOI-4598,50.787196,24.690039,TOI-4598.01,2460218.724,1.975,8.2003982,10,0,2,1,0,1,0
887,TOI-4602,60.600332,31.329835,TOI-4602.01,2460225.221,3.055,3.9813077,10,0,1,3,0,1,0
888,TOI-4609,70.374204,21.257733,TOI-4609.01,2460229.447,3.246,2.6921752,76,0,1,1,0,1,0
889,TOI-4615,96.679195,25.205001,TOI-4615.01,2459550.58,6.6913995,5.3193755,32,0,1,1,0,1,0
890,TOI-4617,71.022672,22.567602,TOI-4617.01,2460259.196,2.64,3.4878795,44,0,1,1,0,1,0
891,TOI-4625,65.653481,25.699878,TOI-4625.01,2459523.854,1.8340936,2.1914277,10,0,3,13,0,1,0
892,TOI-4626,205.513548,-48.466443,TOI-4626.01,2459338.399,2.895,17.4756122,10,0,2,56,0,1,0
893,TOI-4641,42.558202,25.333533,TOI-4641.01,2460239.909,5.4095076,22.0933922,28,0,1,1,0,1,0
894,TOI-4641,42.5582023,25.3335334,TOI-4641b,2459510.828,5.438,22.09341,18,0,1,1,1,1,0
895,TOI-4642,30.884661,6.81587,TOI-4642.01,2459449.13,1.032552,3.6022377,10,0,3,1092,0,1,0
896,TOI-4646,72.799607,50.097926,TOI-4646.01,2459915.972,3.2002668,8.9299483,11,0,2,1,0,1,0
897,TOI-4660,51.999785,12.523415,TOI-4660.01,2459523.063,1.796,1.5090806,38,0,1,1,0,0,1
