,Star Name,Star RA,Star Dec,Planet Name,Transit Mid Time,Transit Duration [hrs],Planet Period [days],Priority,Immediate Followup,Transit Observations,Phase Curve Observations,Known,Observe Transit,Observe Phase Curve
1035,TOI-5462,91.098778,29.073274,TOI-5462.01,2459547.44,1.856,3.5533716,10,0,3,5,0,1,0
1036,TOI-5466,92.319121,20.273745,TOI-5466.01,2459548.181,2.483,2.8066134,29,0,1,1,0,1,0
1037,TOI-5470,91.162383,31.73644,TOI-5470.01,2459550.285,1.286,1.450491,10,0,7,1,0,0,1
1038,TOI-5477,84.979951,14.303023,TOI-5477.01,2459544.877,2.217,5.8936518,11,0,3,4,0,1,0
1039,TOI-5483,142.586792,12.70639,TOI-5483.01,2459574.246,2.343,3.7702854,25,0,3,1,0,1,0
1040,TOI-5484,124.01708,8.823241,TOI-5484.01,2459577.989,1.411,1.1282471,16,0,4,1,0,0,1
1041,TOI-5486,190.549504,3.788601,TOI-5486.01,2459691.063,1.34,2.0247088,10,0,2,12,0,1,0
1042,TOI-5494,110.662796,16.865756,TOI-5494.01,2459576.893,2.043,2.0760349,10,0,2,4,0,1,0
1043,TOI-5507,148.60167,6.646246,TOI-5507.01,2459577.455,0.735,1.507126,10,0,3,174,0,1,0
1044,TOI-5510,112.477813,26.019184,TOI-5510.01,2459574.245,5.045,5.7380349,29,0,1,1,0,1,0
1045,TOI-5511,141.997153,4.213192,TOI-5511.01,2459575.042,1.205,4.7174703,10,0,2,17,0,1,0
1046,TOI-5543,66.142172,23.270782,TOI-5543.01,2459474.857,2.250944,3.5424519,10,0,2,8,0,1,0
1047,TOI-5546,71.4759,24.113784,TOI-5546.01,2459478.725,1.8182865,9.8479326,20,0,4,1,0,1,0
1048,TOI-5554,104.74387,28.715768,TOI-5554.01,2459515.172,3.7831301,26.694279,10,0,2,676,0,1,0
1049,TOI-5595,110.460165,35.221983,TOI-5595.01,2459598.869,2.104,5.9900508,10,0,3,24,0,1,0
1050,TOI-561,148.1851516,6.216103,TOI-561c,2459238.463,3.75,10.778829,11,0,1,36,1,1,0
1051,TOI-5620,159.708601,27.415505,TOI-5620.01,2459630.841,2.384,3.2856588,24,0,2,1,0,1,0
1052,TOI-5624,180.844348,49.251226,TOI-5624.01,2459641.471,3.375,13.7287006,10,0,2,38,0,1,0
1053,TOI-5629,217.512291,20.953627,TOI-5629.01,2459689.358,1.022,2.2853731,10,0,4,5,0,1,0
1054,TOI-5633,209.753998,-2.513436,TOI-5633.01,2459673.539,3.8104834,17.2837172,10,0,2,12,0,1,0
1055,TOI-5636,199.730786,34.254077,TOI-5636.01,2459658.577,1.958,4.2744435,10,0,4,13,0,1,0
1056,TOI-5644,210.119238,55.31559,TOI-5644.01,2459660.036,1.257,6.640285,10,0,3,6,0,1,0
1057,TOI-565,130.581439,-17.189424,TOI-565.01,2459966.215,3.922972,3.7271641,43,0,1,1,0,1,0
1058,TOI-5654,230.922864,37.486639,TOI-5654.01,2459713.012,1.67,4.2528141,10,0,3,5,0,1,0
1059,TOI-5656,209.661841,14.12958,TOI-5656.01,2459685.802,1.626,3.2487833,10,0,4,9,0,1,0
1060,TOI-5679,293.389753,-45.891635,TOI-5679.01,2459058.717,3.415,1.6622263,80,0,1,1,0,0,1
1061,TOI-5681,244.780658,55.925243,TOI-5681.01,2459743.02,1.18,1.1041295,20,0,6,1,0,0,1
1062,TOI-5684,233.688677,-9.344444,TOI-5684.01,2459716.553,1.561,1.1000285,60,0,1,1,0,0,1
1063,TOI-5686,247.460912,37.69456,TOI-5686.01,2459738.846,3.559,4.2366102,29,0,1,1,0,1,0
1064,TOI-5687,228.974876,10.461265,TOI-5687.01,2459716.985,1.448,2.924439,14,0,1,1,0,1,0
1065,TOI-5691,244.846831,32.16612,TOI-5691.01,2459742.605,2.372,3.3894889,10,0,3,6,0,1,0
1066,TOI-5692,232.046386,-10.555269,TOI-5692.01,2459717.173,1.546,1.6929628,29,0,4,1,0,0,1
1067,TOI-5693,236.518383,4.691983,TOI-5693.01,2459712.634,0.506,2.8900249,104,0,1,1,0,1,0
1068,TOI-5706,226.735266,57.495691,TOI-5706.01,2459637.74,0.3884988,0.3576493,13,0,5,2,0,0,1
1069,TOI-5720,170.313577,25.273294,TOI-5720.01,2458900.645,0.9348877,1.4344602,10,0,5,186,0,1,0
1070,TOI-5734,111.255818,37.231122,TOI-5734.01,2458848.685,2.5898497,6.1841688,10,0,1,14,0,1,0
1071,TOI-5735,147.125026,77.389748,TOI-5735.01,2458683.545,0.8427764,2.1208156,10,0,2,2571,0,1,0
1072,TOI-5743,267.904353,24.427455,TOI-5743.01,2459759.175,2.047,7.6601547,12,0,1,1,0,1,0
1073,TOI-5747,148.37832,35.570548,TOI-5747.01,2458870.475,0.9004508,0.5734766,10,0,2,24,0,1,0
1074,TOI-5751,359.079391,73.907596,TOI-5751.01,2459742.829,1.453,1.7465205,11,0,7,1,0,0,1
1075,TOI-5766,253.97902,14.966082,TOI-5766.01,2459742.701,1.127,0.5721596,18,0,7,1,0,0,1
1076,TOI-5769,270.736094,20.069409,TOI-5769.01,2459767.984,1.314,1.7548863,11,0,2,2,0,1,0
1077,TOI-577,133.258916,-22.198143,TOI-577.01,2459277.162,2.862,3.329754,52,0,1,1,0,1,0
1078,TOI-5783,289.755762,9.478414,TOI-5783.01,2459793.278,2.437,5.4459647,10,0,2,10,0,1,0
1079,TOI-5786,293.322326,30.704247,TOI-5786.01,2459782.801,4.633,12.7792686,10,0,1,3,0,1,0
1080,TOI-5789,302.773447,16.189714,TOI-5789.01,2459776.256,1.691,12.9256051,10,0,1,6,0,1,0
1081,TOI-579,104.121254,-50.157911,TOI-579.01,2460012.884,1.567,1.6843068,20,0,15,1,0,0,1
1082,TOI-5790,291.847279,-15.312077,TOI-5790.01,2459793.866,1.747,2.1981511,160,0,1,1,0,1,0
1083,TOI-5791,297.923094,2.519482,TOI-5791.01,2459793.645,1.949,2.2906144,10,0,2,2,0,1,0
1084,TOI-5795,304.868782,-7.54766,TOI-5795.01,2459770.674,3.3861325,6.1406882,11,0,1,3,0,1,0
1085,TOI-5799,301.630179,15.989142,TOI-5799.01,2459772.334,1.5725422,4.1645448,10,0,2,148,0,1,0
1086,TOI-5800,305.065546,-7.411924,TOI-5800.01,2459771.713,1.2408211,2.6282606,10,0,2,6,0,1,0
1087,TOI-5810,324.598984,23.118991,TOI-5810.01,2459820.456,6.105,5.6852804,42,0,1,1,0,1,0
1088,TOI-5826,298.181417,-14.356986,TOI-5826.01,2459788.108,3.191,2.8140207,38,0,1,1,0,1,0
1089,TOI-5827,291.908234,23.273823,TOI-5827.01,2459788.905,3.885,5.0493049,23,0,2,1,0,1,0
1090,TOI-5828,293.193881,25.086499,TOI-5828.01,2459796.072,2.4,1.1951761,10,0,2,3,0,1,0
1091,TOI-5829,304.706801,23.314311,TOI-5829.01,2459793.849,2.178,1.3502386,11,0,16,1,0,0,1
1092,TOI-5834,294.34447,6.680285,TOI-5834.01,2459792.713,1.79,3.5242025,21,0,2,1,0,1,0
1093,TOI-5837,287.099114,17.113422,TOI-5837.01,2459795.483,3.346,2.9665122,27,0,2,1,0,1,0
1094,TOI-5838,284.84062,9.130169,TOI-5838.01,2459791.743,1.614,3.5982966,18,0,3,1,0,1,0
1095,TOI-5839,286.031721,17.003203,TOI-5839.01,2459794.235,3.491,2.5411063,35,0,1,1,0,1,0
1096,TOI-5842,276.085381,34.552392,TOI-5842.01,2459791.806,1.927,2.8091879,10,0,4,6,0,1,0
1097,TOI-5845,298.101717,16.668394,TOI-5845.01,2459794.325,2.094,1.9081122,29,0,3,1,0,0,1
1098,TOI-5847,295.850508,3.031456,TOI-5847.01,2459795.999,4.469,2.5641981,12,0,1,2,0,1,0
1099,TOI-5849,303.563498,-10.497985,TOI-5849.01,2459781.134,1.722,3.9964264,29,0,3,1,0,1,0
1100,TOI-585,134.373008,-39.778423,TOI-585.01,2460009.617,4.835,5.547255,109,0,1,1,0,1,0
1101,TOI-5850,304.882706,-8.298523,TOI-5850.01,2459786.271,0.384,3.9997367,10,0,2,3,0,1,0
1102,TOI-5853,286.234694,18.113615,TOI-5853.01,2459793.844,2.306,3.7219898,25,0,2,1,0,1,0
1103,TOI-5854,280.048586,20.236342,TOI-5854.01,2459795.759,2.449,4.449914,18,0,3,1,0,1,0
1104,TOI-5856,290.236828,-7.830216,TOI-5856.01,2459795.608,1.588,0.5498864,13,0,2,2,0,0,1
1105,TOI-5861,297.980126,24.038241,TOI-5861.01,2459771.876,4.769,14.3033451,14,0,1,1,0,1,0
1106,TOI-5863,300.67684,0.22858,TOI-5863.01,2459788.352,1.846,2.8492565,25,0,2,1,0,1,0
1107,TOI-587,130.395919,-22.194298,TOI-587.01,2459968.123,5.3289306,8.044239,101,0,1,1,0,1,0
1108,TOI-5871,320.850391,39.813037,TOI-5871.01,2459822.282,2.275,1.343636,54,0,1,1,0,0,1
1109,TOI-5872,320.134358,46.817074,TOI-5872.01,2459820.867,2.062,2.2425137,11,0,3,4,0,1,0
1110,TOI-5878,313.931272,29.818541,TOI-5878.01,2459820.872,2.861,3.4363074,22,0,1,1,0,1,0
1111,TOI-588,104.74986,-47.023366,TOI-588.01,2459981.726,6.186,39.4718663,82,0,1,1,0,1,0
1112,TOI-5883,315.879749,18.696523,TOI-5883.01,2459823.643,0.685,0.5223032,21,0,39,1,0,0,1
1113,TOI-5884,320.450532,23.926451,TOI-5884.01,2459822.297,3.283,5.8311038,34,0,2,1,0,1,0
1114,TOI-5886,306.988834,37.146334,TOI-5886.01,2459823.16,1.224,0.9655766,20,0,24,1,0,0,1
1115,TOI-5889,311.21156,8.849353,TOI-5889.01,2459823.072,1.988,2.4013188,20,0,3,1,0,1,0
1116,TOI-5907,315.219892,17.116416,TOI-5907.01,2459823.85,0.796,0.6583175,11,0,3,1,0,0,1
1117,TOI-5913,314.865755,20.099913,TOI-5913.01,2459819.818,6.614,10.1522322,25,0,1,1,0,1,0
1118,TOI-5918,307.122227,14.563891,TOI-5918.01,2459821.637,2.032,2.0353259,17,0,9,1,0,0,1
1119,TOI-5926,308.078444,15.503079,TOI-5926.01,2459823.759,1.997,3.8116176,10,0,2,2,0,1,0
1120,TOI-5936,314.240317,3.997017,TOI-5936.01,2459823.973,0.473,0.3781425,12,0,3,1,0,0,1
1121,TOI-5938,303.908842,28.659226,TOI-5938.01,2459820.183,2.098,2.260431,10,0,2,5,0,1,0
1122,TOI-5955,355.467833,14.106803,TOI-5955.01,2459825.845,1.045052,0.5902387,10,0,4,20,0,1,0
1123,TOI-5964,339.474237,44.965228,TOI-5964.01,2459853.689,3.247,3.9816471,21,0,2,1,0,1,0
1124,TOI-5966,336.147609,16.878856,TOI-5966.01,2459826.813,2.441937,3.5381039,35,0,2,1,0,1,0
1125,TOI-5971,322.75454,30.003448,TOI-5971.01,2459828.685,4.2579634,3.9914012,48,0,1,1,0,1,0
1126,TOI-5974,349.765951,7.915601,TOI-5974.01,2459826.051,0.9267405,1.7267217,10,0,3,123,0,1,0
1127,TOI-6008,310.448734,49.646899,TOI-6008.01,2458711.373,0.5478598,0.8573727,10,0,2,117,0,1,0
1128,TOI-6011,336.690787,57.434161,TOI-6011.01,2459880.709,1.496,2.3179699,28,0,3,1,0,1,0
1129,TOI-6012,355.02941,32.015761,TOI-6012.01,2459861.659,5.3495584,16.2117629,10,0,1,4,0,1,0
1130,TOI-6016,4.52396,59.766198,TOI-6016.01,2459877.793,3.71,4.0236805,37,0,1,1,0,1,0
1131,TOI-6025,1.074045,42.5736,TOI-6025.01,2459880.796,2.071,1.0222806,26,0,3,1,0,0,1
1132,TOI-6032,36.784679,32.876956,TOI-6032.01,2459887.395,7.8217079,7.3723906,13,0,1,2,0,1,0
1133,TOI-6038,51.657269,40.81727,TOI-6038.01,2459900.54,4.598,5.8267724,11,0,1,3,0,1,0
1134,TOI-6040,34.445951,53.807582,TOI-6040.01,2459905.802,4.378,3.4925674,61,0,1,1,0,1,0
1135,TOI-6042,32.085966,56.409783,TOI-6042.01,2459904.389,1.461,7.7966237,35,0,4,1,0,1,0
1136,TOI-6048,53.357584,59.988799,TOI-6048.01,2459915.469,3.4008546,5.4928246,10,0,2,3,0,1,0
1137,TOI-6050,84.398599,64.981529,TOI-6050.01,2459912.8,4.955098,5.4823596,30,0,1,1,0,1,0
1138,TOI-6051,62.377542,47.556648,TOI-6051.01,2459913.022,4.1169544,3.9200919,37,0,1,1,0,1,0
1139,TOI-6053,70.979903,61.859336,TOI-6053.01,2459912.417,2.5738654,2.2118281,33,0,3,1,0,1,0
1140,TOI-6062,77.169833,36.416746,TOI-6062.01,2459925.234,3.166,8.2125432,10,0,2,14,0,1,0
1141,TOI-6064,57.248111,49.111008,TOI-6064.01,2459919.689,3.463,15.3058859,21,0,2,1,0,1,0
1142,TOI-608,132.838846,-34.431856,TOI-608.01,2460011.845,1.834,1.1908287,27,0,4,1,0,0,1
1143,TOI-6086,265.370424,30.303776,TOI-6086.01,2458984.76,0.8267002,1.3888584,10,0,3,493,0,1,0
1144,TOI-609,122.339812,-39.164589,TOI-609.01,2460007.604,1.363,4.9699991,56,0,1,1,0,1,0
1145,TOI-6097,119.496736,-21.013365,TOI-6097.01,2459986.784,1.773,1.1256838,36,0,6,1,0,0,1
1146,TOI-6103,128.717977,-49.932522,TOI-6103.01,2459965.819,3.1662519,3.2422424,49,0,1,1,0,1,0
1147,TOI-6105,123.656967,-41.156136,TOI-6105.01,2459966.48,2.4670483,3.1122402,52,0,1,1,0,1,0
1148,TOI-6106,127.019217,-24.166962,TOI-6106.01,2459964.625,4.0307342,6.4240944,25,0,1,1,0,1,0
1149,TOI-6107,119.888415,-32.706065,TOI-6107.01,2459966.34,3.9779406,3.7899018,53,0,1,1,0,1,0
1150,TOI-6109,50.131921,42.606956,TOI-6109.01,2459908.091,2.337,8.5386633,10,0,2,12,0,1,0
1151,TOI-6109,50.131921,42.606956,TOI-6109.02,2459900.82,1.107,5.6952223,10,0,5,10,0,1,0
1152,TOI-611,122.034347,-28.066189,TOI-611.01,2459983.665,3.402,3.1471655,10,0,2,10,0,1,0
1153,TOI-6110,212.929098,-29.97494,TOI-6110.01,2459360.305,1.105,1.2541235,15,0,1,1,0,0,1
1154,TOI-6112,332.453393,22.566069,TOI-6112.01,2459852.026,1.373,1.8859353,11,0,4,1,0,0,1
1155,TOI-6113,318.523748,35.079027,TOI-6113.01,2459845.198,6.715,4.9218915,30,0,1,1,0,1,0
1156,TOI-6119,309.204322,49.609904,TOI-6119.01,2459846.468,2.712,4.2070367,25,0,2,1,0,1,0
1157,TOI-6120,343.883119,22.563967,TOI-6120.01,2459852.217,1.997,2.1350899,27,0,2,1,0,0,1
1158,TOI-6121,316.927293,40.450561,TOI-6121.01,2459845.747,3.088,4.2916798,26,0,2,1,0,1,0
1159,TOI-6124,315.220171,39.39179,TOI-6124.01,2459850.466,2.303,2.8474853,24,0,2,1,0,1,0
1160,TOI-6125,334.899052,12.356411,TOI-6125.01,2459849.022,1.963,2.3107907,20,0,4,1,0,1,0
1161,TOI-6130,339.205083,16.827194,TOI-6130.01,2459849.64,1.806,2.3927114,59,0,1,1,0,1,0
1162,TOI-6133,341.854293,37.691036,TOI-6133.01,2459850.634,3.519,3.6534344,72,0,1,1,0,1,0
1163,TOI-6141,347.050009,12.432919,TOI-6141.01,2459848.305,1.538,2.6607389,34,0,2,1,0,1,0
1164,TOI-6143,329.69363,22.952813,TOI-6143.01,2459845.511,4.537,4.0938735,42,0,1,1,0,1,0
1165,TOI-6154,356.545953,17.020672,TOI-6154.01,2459850.434,1.614,2.301919,21,0,4,1,0,1,0
1166,TOI-6155,334.550873,38.578982,TOI-6155.01,2459851.727,0.955,1.6029811,23,0,20,1,0,0,1
1167,TOI-615,133.4086892,-40.543701,TOI-615b,2459259.494,4.241,4.6615983,54,0,1,1,1,1,0
1168,TOI-6162,336.085732,34.158724,TOI-6162.01,2459852.117,2.809,1.8478843,73,0,1,1,0,0,1
1169,TOI-6163,351.133548,4.604684,TOI-6163.01,2459843.242,3.465,9.9754699,13,0,1,1,0,1,0
1170,TOI-6164,341.795489,26.939935,TOI-6164.01,2459850.907,1.203,3.6948038,11,0,6,1,0,1,0
1171,TOI-6166,325.981963,46.57116,TOI-6166.01,2459850.643,2.407,1.8021196,37,0,2,1,0,0,1
1172,TOI-6175,332.479847,19.828871,TOI-6175.01,2459845.063,1.891,4.1877227,22,0,3,1,0,1,0
1173,TOI-618,112.570665,-39.33963,TOI-618.01,2459972.604,4.156,7.7614672,13,0,1,1,0,1,0
1174,TOI-6184,342.638433,9.443405,TOI-6184.01,2459847.822,2.714,3.6153701,27,0,2,1,0,1,0
1175,TOI-6190,6.756339,29.487271,TOI-6190.01,2459878.296,1.027,3.5595352,10,0,4,5,0,1,0
1176,TOI-6192,1.612331,37.855275,TOI-6192.01,2459880.976,1.66,3.563037,10,0,3,7,0,1,0
1177,TOI-6195,359.665284,33.820508,TOI-6195.01,2459881.258,0.785,3.1989808,14,0,4,2,0,1,0
1178,TOI-6199,9.199556,16.097112,TOI-6199.01,2459877.909,1.892,3.8311803,10,0,4,16,0,1,0
1179,TOI-6201,356.713162,36.026661,TOI-6201.01,2459880.994,1.243,2.9172231,10,0,3,2,0,1,0
1180,TOI-6209,339.463592,45.159958,TOI-6209.01,2459881.945,0.684,0.747693,11,0,5,3,0,1,0
1181,TOI-620,142.1734459,-12.1671652,TOI-620b,2458992.197,1.36,5.0988179,10,0,1,11,1,1,0
1182,TOI-621,134.718341,-43.452796,TOI-621.01,2458520.11,2.437419,3.112361,146,0,1,1,0,1,0
1183,TOI-6210,331.562453,52.26862,TOI-6210.01,2459876.707,6.999,7.8580085,35,0,1,1,0,1,0
1184,TOI-6217,315.223413,54.962464,TOI-6217.01,2459881.16,3.089,3.0365848,33,0,1,1,0,1,0
1185,TOI-6218,5.111293,48.767772,TOI-6218.01,2459878.346,2.42,5.1570194,18,0,3,1,0,1,0
1186,TOI-6223,355.950598,33.067236,TOI-6223.01,2459879.618,1.895,3.8553342,10,0,2,15,0,1,0
1187,TOI-6225,0.485039,35.997774,TOI-6225.01,2459867.416,1.865,8.555965,10,0,2,124,0,1,0
1188,TOI-622,125.3050544,-46.4842959,TOI-622b,2458520.692,3.907,6.402513,31,0,1,1,1,1,0
1189,TOI-6233,358.489622,52.533524,TOI-6233.01,2459876.5,2.38,3.7069545,33,0,2,1,0,1,0
1190,TOI-6236,359.188611,28.610076,TOI-6236.01,2459882.031,1.322,3.3045926,26,0,6,1,0,1,0
1191,TOI-6241,17.082679,25.652576,TOI-6241.01,2459879.124,2.13,3.7812464,10,0,3,8,0,1,0
1192,TOI-6244,343.553201,52.383764,TOI-6244.01,2459879.166,2.332,2.5553078,65,0,1,1,0,1,0
1193,TOI-6245,88.699253,80.094614,TOI-6245.01,2458818.755,0.7022664,3.2149937,10,0,4,3112,0,1,0
1194,TOI-6251,3.957914,13.557617,TOI-6251.01,2459497.185,1.0444992,25.5229527,10,0,3,210578,0,1,0
1195,TOI-6255,331.503161,39.298828,TOI-6255.01,2458738.712,0.4763536,0.2381823,10,0,1,20,0,1,0
1196,TOI-6258,13.085379,20.938876,TOI-6258.01,2458764.784,0.9916975,0.5570869,10,0,4,63,0,1,0
1197,TOI-6259,140.115658,-51.660455,TOI-6259.01,2460009.296,2.038,3.2376482,11,0,3,2,0,1,0
1198,TOI-6260,140.595793,-6.060635,TOI-6260.01,2460009.508,2.766,2.3898191,11,0,2,2,0,1,0
1199,TOI-6274,164.76388,-60.082938,TOI-6274.01,2460014.408,1.9180372,1.1109053,29,0,11,1,0,0,1
1200,TOI-6276,175.256304,-44.404149,TOI-6276.01,2460017.108,1.5587404,6.207472,10,0,1,82,0,1,0
1201,TOI-6276,175.256304,-44.404149,TOI-6276.02,2460014.847,1.5691486,4.4653471,10,0,1,73,0,1,0
1202,TOI-6276,175.256304,-44.404149,TOI-6276.03,2460018.572,1.6355898,7.8708661,10,0,1,179,0,1,0
1203,TOI-6277,150.46383,-55.660373,TOI-6277.01,2460016.246,2.876864,3.3733506,29,0,2,1,0,1,0
1204,TOI-6284,150.350107,-38.841039,TOI-6284.01,2460035.842,1.731,3.4475935,10,0,2,828,0,1,0
1205,TOI-6292,44.089561,43.092213,TOI-6292.01,2459908.736,1.71,0.8236066,11,0,4,2,0,0,1
1206,TOI-6299,28.003018,50.920939,TOI-6299.01,2459905.45,0.942,4.7089027,10,0,3,8,0,1,0
1207,TOI-6300,354.657826,60.267245,TOI-6300.01,2459909.014,1.973,2.8976822,31,0,2,1,0,1,0
1208,TOI-6314,355.682379,62.468362,TOI-6314.01,2459904.681,3.922,3.1777383,37,0,1,1,0,1,0
1209,TOI-6316,25.177088,61.00972,TOI-6316.01,2459905.111,3.594,3.0057526,39,0,1,1,0,1,0
1210,TOI-6319,34.500986,62.763401,TOI-6319.01,2459906.835,3.959,3.2964006,40,0,1,1,0,1,0
1211,TOI-6324,330.844543,67.498677,TOI-6324.01,2459909.915,0.409,0.2792211,10,0,1,28,0,1,0
1212,TOI-6326,14.976875,49.034174,TOI-6326.01,2459907.562,3.351,2.3556749,35,0,1,1,0,1,0
1213,TOI-6332,54.977131,34.459515,TOI-6332.01,2459906.799,3.133,1.6630135,22,0,4,1,0,0,1
1214,TOI-6349,66.202403,53.128211,TOI-6349.01,2459931.666,2.8,2.7934699,11,0,2,3,0,1,0
1215,TOI-6352,61.460788,64.254302,TOI-6352.01,2459936.484,1.682,7.4562671,10,0,2,7,0,1,0
1216,TOI-6355,79.724105,47.54723,TOI-6355.01,2459934.889,1.067,1.0617107,10,0,3,2,0,0,1
1217,TOI-6356,67.605011,56.394465,TOI-6356.01,2459930.555,3.493,3.7799201,33,0,1,1,0,1,0
1218,TOI-6360,59.368818,64.321242,TOI-6360.01,2459936.551,1.347,1.9765848,14,0,2,1,0,0,1
1219,TOI-6366,53.29481,61.342927,TOI-6366.01,2459932.031,3.457,18.893475,123,0,1,1,0,1,0
1220,TOI-6370,46.542182,57.075669,TOI-6370.01,2459934.386,4.175,2.9124991,41,0,1,1,0,1,0
1221,TOI-6371,52.613744,61.635772,TOI-6371.01,2459934.367,1.156,1.8597817,19,0,14,1,0,0,1
1222,TOI-6380,48.459307,65.26786,TOI-6380.01,2459933.99,1.988,5.1404883,10,0,3,10,0,1,0
1223,TOI-6381,85.719553,44.670005,TOI-6381.01,2459929.634,2.409,8.9270275,10,0,2,16,0,1,0
1224,TOI-6404,117.137486,-22.469651,TOI-6404.01,2459985.463,1.378,3.7442969,12,0,4,3,0,1,0
1225,TOI-6405,119.257496,-20.463623,TOI-6405.01,2459980.171,0.839,6.7392054,10,0,5,14,0,1,0
1226,TOI-6409,106.450137,-35.256137,TOI-6409.01,2459987.356,2.951,1.5304279,43,0,1,1,0,0,1
1227,TOI-640,99.7345935,-36.64613,TOI-640b,2458459.739,3.6048,5.0037904,64,0,1,1,1,1,0
1228,TOI-641,101.0717,-23.819187,TOI-641.01,2459202.816,1.2481319,1.8934942,10,0,3,5,0,1,0
1229,TOI-6434,117.328732,-11.242347,TOI-6434.01,2459987.239,1.9,2.7775786,10,0,2,11,0,1,0
1230,TOI-6437,112.07656,-23.270042,TOI-6437.01,2459987.838,7.754,8.31001,26,0,1,1,0,1,0
1231,TOI-6439,118.154066,-4.335076,TOI-6439.01,2459982.473,2.168,2.9896663,38,0,1,1,0,1,0
1232,TOI-6442,107.833335,-35.850518,TOI-6442.01,2459986.409,2.237,2.8279716,70,0,1,1,0,1,0
1233,TOI-6450,134.608621,-6.313801,TOI-6450.01,2459984.169,2.376,3.6092665,10,0,2,5,0,1,0
1234,TOI-6474,140.422164,-29.108079,TOI-6474.01,2460012.37,2.609,1.6069363,22,0,4,1,0,0,1
1235,TOI-6481,155.555983,-14.052149,TOI-6481.01,2460007.898,2.26,6.2796518,10,0,3,9,0,1,0
1236,TOI-6486,141.722816,-7.579251,TOI-6486.01,2460011.848,3.436,10.6332248,11,0,1,1,0,1,0
1237,TOI-649,102.22267,-13.527269,TOI-649.01,2459202.578,1.6300841,0.9358498,37,0,8,1,0,0,1
1238,TOI-6493,112.981285,-49.134121,TOI-6493.01,2460007.949,1.486,3.0667073,10,0,4,35,0,1,0
1239,TOI-6494,142.372527,-54.433148,TOI-6494.01,2460037.919,2.093,3.5327892,53,0,1,1,0,1,0
1240,TOI-6500,152.56752,-40.64736,TOI-6500.01,2460038.186,1.091,4.4156851,10,0,5,5,0,1,0
1241,TOI-651,92.105662,-11.147333,TOI-651.01,2459226.896,1.979,1.0697877,371,0,1,1,0,0,1
1242,TOI-6514,143.52393,-54.905421,TOI-6514.01,2460034.691,5.03,4.0236761,40,0,1,1,0,1,0
1243,TOI-6517,143.595647,-41.525772,TOI-6517.01,2460038.99,1.096,2.6185048,11,0,4,4,0,1,0
1244,TOI-6518,151.834712,-53.343307,TOI-6518.01,2460035.739,1.619,2.1978944,12,0,23,1,0,0,1
1245,TOI-6522,156.403066,-32.592827,TOI-6522.01,2460034.345,1.935,4.7383479,10,0,4,17,0,1,0
1246,TOI-6532,151.681083,-39.710775,TOI-6532.01,2460037.03,2.699,5.4736892,26,0,1,1,0,1,0
1247,TOI-654,164.724551,-5.547545,TOI-654.01,2459576.068,1.12,1.5275657,10,0,4,37,0,1,0
1248,TOI-6544,190.158097,-48.140748,TOI-6544.01,2460067.409,2.294,3.6249482,11,0,2,3,0,1,0
1249,TOI-6549,84.858988,-52.933311,TOI-6549.01,2460042.872,5.1999868,6.1079067,29,0,1,1,0,1,0
1250,TOI-6550,121.454664,-41.135631,TOI-6550.01,2460002.897,6.156,6.9153868,38,0,1,1,0,1,0
1251,TOI-6556,213.667189,-41.559703,TOI-6556.01,2460085.168,3.564,12.9623248,11,0,1,3,0,1,0
1252,TOI-6560,220.409244,-26.790781,TOI-6560.01,2460086.741,1.464,17.2051468,13,0,3,2,0,1,0
1253,TOI-6562,220.299751,-32.363352,TOI-6562.01,2460071.647,5.1910541,4.0947485,30,0,1,1,0,1,0
1254,TOI-6563,212.200442,-55.712303,TOI-6563.01,2460069.195,3.3515613,2.4053036,67,0,1,1,0,1,0
1255,TOI-6564,205.817879,-56.156449,TOI-6564.01,2460071.37,4.5181131,3.9854465,90,0,1,1,0,1,0
1256,TOI-6568,194.684003,-58.476742,TOI-6568.01,2460068.759,4.3786259,17.4368079,25,0,1,1,0,1,0
1257,TOI-658,150.152654,-34.681865,TOI-658.01,2460030.273,1.301,4.7192734,11,0,2,1,0,1,0
1258,TOI-6581,176.397049,-50.56653,TOI-6581.01,2460058.281,2.561,4.9156665,10,0,3,5,0,1,0
1259,TOI-659,150.153861,-34.681446,TOI-659.01,2460030.273,1.594,4.7192771,13,0,2,1,0,1,0
1260,TOI-6599,205.923928,-40.041874,TOI-6599.01,2460041.771,0.9395169,2.2059167,10,0,1,541,0,1,0
1261,TOI-6600,187.441996,-69.651839,TOI-6600.01,2460091.633,2.537,3.8030207,10,0,2,5,0,1,0
1262,TOI-6610,224.571478,-49.275979,TOI-6610.01,2460089.142,3.416,3.1651539,41,0,1,1,0,1,0
1263,TOI-6612,229.294897,-33.969293,TOI-6612.01,2460092.287,1.797,2.3207203,46,0,2,1,0,1,0
1264,TOI-6619,163.506946,-70.892253,TOI-6619.01,2460092.28,2.759,1.6930171,38,0,1,1,0,0,1
1265,TOI-6623,207.421621,-57.150013,TOI-6623.01,2460094.306,2.844,3.1791661,22,0,2,1,0,1,0
1266,TOI-663,160.065852,-8.511083,TOI-663.01,2459989.37,1.8846125,2.6005302,10,0,3,47,0,1,0
1267,TOI-663,160.065852,-8.511083,TOI-663.02,2459989.643,2.5200473,4.6991466,10,0,3,123,0,1,0
