,Planet Name,Eclipse Flux Ratio 1.95-2.015um,Eclipse Flux Ratio 2.015-2.08um,Eclipse Flux Ratio 2.08-2.145um,Eclipse Flux Ratio 2.145-2.21um,Eclipse Flux Ratio 2.21-2.275um,Eclipse Flux Ratio 2.275-2.34um,Eclipse Flux Ratio 2.34-2.405um,Eclipse Flux Ratio 2.405-2.47um,Eclipse Flux Ratio 2.47-2.535um,Eclipse Flux Ratio 2.535-2.6um,Eclipse Flux Ratio 2.6-2.665um,Eclipse Flux Ratio 2.665-2.73um,Eclipse Flux Ratio 2.73-2.795um,Eclipse Flux Ratio 2.795-2.86um,Eclipse Flux Ratio 2.86-2.925um,Eclipse Flux Ratio 2.925-2.99um,Eclipse Flux Ratio 2.99-3.055um,Eclipse Flux Ratio 3.055-3.12um,Eclipse Flux Ratio 3.12-3.185um,Eclipse Flux Ratio 3.185-3.25um,Eclipse Flux Ratio 3.25-3.315um,Eclipse Flux Ratio 3.315-3.38um,Eclipse Flux Ratio 3.38-3.445um,Eclipse Flux Ratio 3.445-3.51um,Eclipse Flux Ratio 3.51-3.575um,Eclipse Flux Ratio 3.575-3.64um,Eclipse Flux Ratio 3.64-3.705um,Eclipse Flux Ratio 3.705-3.77um,Eclipse Flux Ratio 3.77-3.835um,Eclipse Flux Ratio 3.835-3.9um
0,TOI-5704b,3.1639781421528134e-06,3.770100739327801e-06,4.440778582179215e-06,5.176173588101702e-06,5.975938281517196e-06,6.839265731875501e-06,7.764942044863638e-06,8.751399440266943e-06,9.796768381234717e-06,1.0898927603217443e-05,1.2055551220833335e-05,1.3264152366906732e-05,1.4522123042749691e-05,1.582677003720239e-05,1.7175346909708517e-05,1.856508213571993e-05,1.99932035867602e-05,2.1456959567835898e-05,2.2953636666298788e-05,2.448057468283072e-05,2.6035178920420675e-05,2.7614930103922853e-05,2.921739219338494e-05,3.084021834071912e-05,3.2481155222950897e-05,3.413804596739231e-05,3.5808831865529755e-05,3.749155305385539e-05,3.918434832178229e-05,4.088545418949749e-05
1,TOI-672b,1.214064702242249e-06,1.579266326148724e-06,2.01992504904873e-06,2.544141070080225e-06,3.1597800610600138e-06,3.87436476882498e-06,4.69498134883108e-06,5.628201313777841e-06,6.680019257103799e-06,7.855805936105323e-06,9.160275865855018e-06,1.0597468269009237e-05,1.2170740030483768e-05,1.3882769201180414e-05,1.573556756324739e-05,1.7730500793953257e-05,1.9868314831324375e-05,2.2149167139596228e-05,2.4572661685814953e-05,2.7137886562212184e-05,2.9843453315730462e-05,3.268753717138047e-05,3.5667917456394834e-05,3.87820176449703e-05,4.202694454719863e-05,4.539952625974889e-05,4.8896348579656555e-05,5.2513789656304555e-05,5.6248052720717556e-05,6.009519678620566e-05
2,TOI-199b,4.759171040509633e-11,8.531324606925518e-11,1.474356639021711e-10,2.464403864173688e-10,3.9957947419489567e-10,6.300779518487383e-10,9.684591589395414e-10,1.4539673435975243e-09,2.136055868409177e-09,3.075905150056528e-09,4.3479319764204665e-09,6.041251162503933e-09,8.261051520958929e-09,1.11298506400391e-08,1.4788596722352162e-08,1.9397590447232798e-08,2.5137205173564838e-08,3.220838950522909e-08,4.08329420313762e-08,5.125355369846219e-08,6.37336185826896e-08,7.8556818666295e-08,9.602649247762675e-08,1.1646480107091813e-07,1.402117077690461e-07,1.676237903722407e-07,1.990729061715508e-07,2.349447311394393e-07,2.756371951552143e-07,3.215588351221548e-07
3,WASP-176b,0.00024600817436877314,0.00026611248450802484,0.00028630707358031385,0.0003065302979982669,0.00032672775964725283,0.0003468517840237559,0.00036686087531660603,0.0003867191699182962,0.0004063959034295605,0.0004258649012790326,0.00044510409934133766,0.00046409509815718586,0.00048282275233176605,0.0005012747952430974,0.0005194414981928269,0.0005373153624688789,0.0005548908423766312,0.0005721640970660722,0.0005891327688854737,0.0006057957859883723,0.0006221531869806665,0.0006382059654964579,0.0006539559327187166,0.000669405596002189,0.0006845580519027943,0.0006994168920642404,0.000713986120554736,0.0007282700813819392,0.0007422733950411075,0.0007560009030689839
4,TOI-1801b,3.5018981539197437e-09,5.1610279098116885e-09,7.421787895517731e-09,1.0437003912534272e-08,1.4380813354362571e-08,1.9448315210121866e-08,2.585474470019677e-08,3.383421023338411e-08,4.3638044041814e-08,5.553282721551222e-08,6.979815518828933e-08,8.672421149198644e-08,1.0660921638276144e-07,1.297568133782729e-07,1.564734514430409e-07,1.8706581408648874e-07,2.2183833948895558e-07,2.61090868358813e-07,3.0511644887941867e-07,3.5419932107986526e-07,4.0861309643909374e-07,4.6861914262836465e-07,5.344651780803297e-07,6.063840765712608e-07,6.845928782113531e-07,7.692920001284021e-07,8.606646376574439e-07,9.588763449579354e-07,1.0640747826091765e-06,1.1763896188202545e-06
5,TOI-836c,9.256518016168946e-08,1.2263112263691563e-07,1.5955262226384256e-07,2.0420437719744503e-07,2.574601013881384e-07,3.2018002340501005e-07,3.9319937063007006e-07,4.773180651030339e-07,5.732917759422693e-07,6.818244020348881e-07,8.035619989539816e-07,9.390881160719899e-07,1.0889204730635693e-06,1.253508878403174e-06,1.4332342747676907e-06,1.628408786055167e-06,1.8392766366429428e-06,2.066015814235566e-06,2.3087403520309983e-06,2.5675031129517163e-06,2.8422989674927157e-06,3.1330682666314952e-06,3.4397005216657026e-06,3.7620382133581524e-06,4.099880663048483e-06,4.452987908200313e-06,4.82108453402986e-06,5.203863421306092e-06,5.600989378069229e-06,6.0121026298666e-06
6,TOI-3807b,0.00044126732212104844,0.0004797161318121602,0.0005185313706138132,0.0005575836529465994,0.0005967568804443364,0.0006359475687371346,0.0006750640602635243,0.0007140256748991075,0.0007527618370543611,0.0007912112073849741,0.0008293208389834992,0.0008670453715037301,0.0009043462717666515,0.0009411911257106474,0.0009775529838262783,0.0010134097602478842,0.0010487436842898106,0.001083540802276862,0.001117790526917568,0.0011514852311190896,0.0011846198829772003,0.001217191718642082,0.001249199949821074,0.0012806455028030843,0.0013115307860535588,0.001341859483617107,0.0013716363717648419,0.0014008671565265546,0.001429558329947805,0.0014577170431047813
7,TOI-4087b,0.0002007488548859494,0.00022230075803362327,0.000244461109671583,0.00026714265788163995,0.0002902629318725846,0.0003137446358862517,0.00033751585631046425,0.0003615101218835118,0.0003856663509222649,0.00040992871392366264,0.0004342464348484926,0.000458573549968514,0.00048286863935054783,0.000507094542833065,0.0005312180696700852,0.0005552097088122388,0.000579043345002172,0.0006026959844198965,0.0006261474924670558,0.0006493803453772632,0.0006723793966390017,0.0006951316586806943,0.0007176260998628038,0.0007398534565228937,0.0007618060596045553,0.0007834776752521785,0.0008048633586560332,0.0008259593203743353,0.0008467628043313713,0.0008672719766858088
8,TOI-2818b,0.00018713805430764648,0.00020869233249640656,0.00023101297001968781,0.000254010879696525,0.00027760013879956166,0.00030169870103362653,0.0003262288889520879,0.000351117705286216,0.0003762969975768123,0.0004017035061445094,0.00042727882114297616,0.00045296927040757107,0.0004787257561503243,0.0005045035553085451,0.0005302620955366024,0.00055596471642106,0.0005815784234666565,0.0006070736407056208,0.0006324239663843994,0.0006576059350395943,0.0006825987883508762,0.000707384256418566,0.0007319463505269028,0.000756271167994344,0.0007803467093566624,0.0008041627078578808,0.0008277104710218949,0.0008509827339304219,0.0008739735237294941,0.0008966780348177735
9,TOI-3235b,4.401161027012976e-06,5.9266342698735305e-06,7.830925179233205e-06,1.016999057816459e-05,1.3001216956933301e-05,1.6382634566172168e-05,2.0372149512475538e-05,2.5026814276046005e-05,3.0402152654218606e-05,3.655155084681868e-05,4.352572244162473e-05,5.137225155602874e-05,6.0135215407766405e-05,6.985488513979464e-05,8.056750179498496e-05,9.230512288597289e-05,0.0001050955339818821,0.00011896221907806379,0.0001339243831676822,0.00014999702033739268,0.00016719102081044573,0.0001855133106120067,0.00020496701789220371,0.00022555166037768802,0.00024726334890351546,0.00027009500248076286,0.00029403657086313944,0.00031907526107395753,0.0003451957648328376,0.00037238048427208295
