,Planet Name,RSM Estimate 1.95-2.015um,RSM Estimate 2.015-2.08um,RSM Estimate 2.08-2.145um,RSM Estimate 2.145-2.21um,RSM Estimate 2.21-2.275um,RSM Estimate 2.275-2.34um,RSM Estimate 2.34-2.405um,RSM Estimate 2.405-2.47um,RSM Estimate 2.47-2.535um,RSM Estimate 2.535-2.6um,RSM Estimate 2.6-2.665um,RSM Estimate 2.665-2.73um,RSM Estimate 2.73-2.795um,RSM Estimate 2.795-2.86um,RSM Estimate 2.86-2.925um,RSM Estimate 2.925-2.99um,RSM Estimate 2.99-3.055um,RSM Estimate 3.055-3.12um,RSM Estimate 3.12-3.185um,RSM Estimate 3.185-3.25um,RSM Estimate 3.25-3.315um,RSM Estimate 3.315-3.38um,RSM Estimate 3.38-3.445um,RSM Estimate 3.445-3.51um,RSM Estimate 3.51-3.575um,RSM Estimate 3.575-3.64um,RSM Estimate 3.64-3.705um,RSM Estimate 3.705-3.77um,RSM Estimate 3.77-3.835um,RSM Estimate 3.835-3.9um
0,TOI-5704b,0.03034303060202772,0.029366438494271792,0.028434415381266617,0.027544955767362496,0.026696035631394652,0.02588564938146869,0.025111835654250222,0.02437269483904542,0.0236664004790765,0.022991206161011177,0.02234544909999689,0.02172755132540177,0.021136019145943274,0.020569441402636644,0.02002648688977301,0.019505901227418486,0.019006503395888025,0.01852718208744896,0.01806689198878134,0.01762465007620943,0.01719953198192872,0.016790668471545093,0.016397242059804768,0.01601848378135199,0.015653670125897592,0.015302120141701533,0.014963192707287,0.014636283968450558,0.01432082493565375,0.01401627923553495
1,TOI-672b,0.0700001050154705,0.06803175317322932,0.06612992680144443,0.064294582149099,0.06252501289592041,0.06082002440044322,0.059178069086182374,0.05759735147525351,0.056075909487501165,0.05461167716116238,0.05320253281931394,0.05184633582874633,0.050540954416064765,0.04928428647503272,0.048074274885069226,0.046908918537066066,0.04578628000906571,0.04470449063522524,0.04366175355485422,0.042656345204904036,0.041686615621831354,0.04075098784171319,0.03984795662649099,0.0389760866958486,0.038134010605841664,0.03732042638491276,0.0365340950136974,0.03577383781575526,0.03503853381107111,0.03432711707198762
2,TOI-199b,0.0024394831815282734,0.0023555196489593784,0.0022758632022557477,0.0022002563335597773,0.0021284539697872047,0.002060224255458509,0.0019953488063882132,0.0019336226011693637,0.001874853630382918,0.0018188623894867706,0.0017654812767331004,0.0017145539396172498,0.0016659346004095593,0.0016194873819249526,0.001575085647875276,0.0015326113672274855,0.0014919545084486636,0.001453012466985398,0.0014156895275293563,0.0013798963613659335,0.001345549558240867,0.001312571191605083,0.0012808884157315648,0.001250433092981085,0.001221141449383756,0.0011929537566693087,0.0011658140388970946,0.0011396698018899334,0.0011144717837530847,0.0010901737248494715
3,WASP-176b,0.3159251140323085,0.30450908121486814,0.293724615836781,0.2835282689442075,0.2738797158366269,0.26474160866644714,0.2560794047986626,0.24786118413683092,0.24005746421123222,0.23264101875846996,0.22558670339499837,0.21887129051914744,0.21247331457068327,0.20637292809632804,0.2005517686168751,0.19499283599834052,0.18968037984773523,0.18459979634926077,0.17973753390481306,0.1750810069266957,0.17061851713804127,0.16633918175930734,0.16223286799137182,0.15829013324299407,0.15450217058995716,0.15086075899317883,0.14735821784214892,0.14398736542741572,0.14074148098118608,0.13761426995789697
4,TOI-1801b,0.006214341109877837,0.006035941514499787,0.005863903044912603,0.005698166134408833,0.005538619602775065,0.0053851151562581325,0.005237478565346177,0.005095518261678671,0.004959031927777401,0.004827811524413221,0.004701647101160233,0.004580329659083096,0.0044636532752535965,0.0043514166528692295,0.004243424225068958,0.004139486912763519,0.00403942261512488,0.00394305649443355,0.003850221103706185,0.003760756395109025,0.003674509638971599,0.003591335276767504,0.003511094726347347,0.0034336561536983203,0.0033588942223378515,0.0032866898289474135,0.0032169298318755926,0.003149506777576764,0.003084318628820328,0.003021268497531263
5,TOI-836c,0.014735197936689716,0.014263160509008273,0.013812476704071186,0.01338221046234485,0.012971411382844742,0.012579133483210027,0.012204448411414826,0.011846454529437498,0.011504282932286222,0.011177101199904714,0.010864115480843341,0.01056457135776212,0.010277753833044601,0.010002986688642952,0.009739631410779962,0.009487085822150769,0.009244782527961048,0.00901218725464095,0.008788797139238911,0.00857413901172401,0.008367767700481622,0.00816926438226682,0.007978234991085341,0.007794308695371765,0.0076171364490286554,0.0074463896190736754,0.007281758690576274,0.007122952048071137,0.0069696948315830275,0.006821727864666893
6,TOI-3807b,0.36079143710921435,0.347891258798916,0.3356935447123893,0.32415127242422004,0.31322059388272727,0.3028607326263255,0.29303384145419176,0.2837048379342306,0.2748412296229997,0.2664129369990431,0.25839211938982876,0.2507530072651878,0.24347174293903856,0.23652623079883472,0.22989599754960904,0.22356206253244618,0.21750681789568274,0.2117139182181279,0.20616817907646995,0.20085548399209888,0.19576269916986513,0.19087759544187358,0.18618877684528604,0.18168561528856508,0.17735819079173934,0.1731972368203665,0.16919409026795612,0.1653406456763774,0.16162931331757976,0.1580529807919352
7,TOI-4087b,0.22720366358540628,0.2189360667990911,0.2111305892841069,0.20375488558957766,0.19677902442619022,0.1901753546267674,0.18391835878563734,0.17798450307361216,0.1723520887610873,0.16700110893896272,0.16191311252523263,0.15707107668987474,0.1524592881868161,0.14806323365504584,0.14386949867516627,0.1398656751965402,0.13604027685116266,0.13238266162050158,0.12888296130472016,0.1255320172487521,0.1223213217985797,0.11924296498841469,0.11628958599149812,0.11345432890129163,0.11073080244424142,0.10811304325895266,0.10559548240876364,0.10317291482493378,0.10084047140586108,0.09859359352364619
8,TOI-2818b,0.29390863129868866,0.28343504137029085,0.27352888540112874,0.26415252006301543,0.25527078799788927,0.24685095065184914,0.2388625859147988,0.23127746529984922,0.2240694207930403,0.2172142082568259,0.21068937198130847,0.2044741133659527,0.19854916558450125,0.19289667529814955,0.18750009193777267,0.18234406470496636,0.1774143471937399,0.17269770937392553,0.1681818565780395,0.16385535507717439,0.1597075638050737,0.15572857178354535,0.15190914081002319,0.14824065298449818,0.14471506267485587,0.14132485254450305,0.13806299329232125,0.13492290678129906,0.13189843225805778,0.12898379539014965
9,TOI-3235b,0.2546554545792187,0.2481641077438257,0.24183337002241395,0.23567272953348625,0.22968807068453498,0.22388245730535802,0.2182567573813063,0.21281014145066554,0.20754048014776785,0.20244466115210463,0.1975188416662392,0.19275864926734282,0.18815934137898147,0.18371593154882154,0.17942328908106084,0.17527621727062787,0.17126951444935842,0.16739802122712982,0.1636566566497814,0.1600404454664766,0.1565445382746855,0.1531642259700369,0.1498949496539902,0.14673230693118777,0.14367205534990898,0.140710113594854,0.13784256092477437,0.13506563525285642,0.1323757301911329,0.12976939131784868
