,Planet Name,Noise Estimate 1.95-2.6um,Noise Estimate 2.6-3.25um,Noise Estimate 3.25-3.9um
117,WASP-141b,6.459015343373229e-05,8.822764534316645e-05,0.0001145110817312448
118,K2-238b,6.324954534522936e-05,8.605307946389599e-05,0.00011142460601394064
119,TOI-257b,5.111272807062679e-06,7.0002170813942285e-06,9.099869104117558e-06
120,WASP-181b,8.534122522411384e-05,0.0001164721230093801,0.0001510920552757216
121,WASP-135b,8.103830219371079e-05,0.00011033167935443355,0.0001429202351361543
122,WASP-81b,5.6210242926879356e-05,7.67485820662727e-05,9.958732265685824e-05
123,WASP-19b,7.097575631150144e-05,9.654378885865517e-05,0.00012499215651497263
124,HAT-P-4b,3.205320173061734e-05,4.375872864871261e-05,5.677560134691453e-05
125,WASP-32b,5.0513186927171776e-05,6.918556482699581e-05,8.994063729518134e-05
126,WASP-73b,2.063881212950701e-05,2.8244220613157445e-05,3.669883777014214e-05
127,LTT1445Ac,2.0550536056763904e-05,2.6224665861090046e-05,3.269455794978147e-05
128,WASP-64b,7.888357044212668e-05,0.00010692287465463086,0.00013814025007731658
129,HD110113b,2.0181696105708485e-05,2.750053731515301e-05,3.564156330025862e-05
130,K2-30b,7.860399224515813e-05,0.000106861154809853,0.00013830448380977315
131,WASP-21b,3.430185242601803e-05,4.6870679342530435e-05,6.084578701879166e-05
132,HAT-P-21b,4.4738402722701335e-05,6.082803808361732e-05,7.873154379324538e-05
133,KOI-13b,4.379520780687714e-05,6.093571718794121e-05,7.996353224969453e-05
134,WASP-123b,2.924436653291712e-05,3.985451392664627e-05,5.165636757379684e-05
135,KELT-12b,1.9989261301531486e-05,2.744018686299317e-05,3.571995544045011e-05
136,HATS-60b,5.683150415228302e-05,7.739002507231249e-05,0.00010026042887200801
137,WASP-133b,7.002461007906303e-05,9.537300834576926e-05,0.0001235711174881758
138,HATS-65b,6.852894532025246e-05,9.407056704175131e-05,0.0001224535239880402
139,HATS-40b,7.771201884417331e-05,0.00010690756151535347,0.00013934341134202644
140,HATS-33b,4.534016029054622e-05,6.171440855075608e-05,7.993129465546487e-05
141,HATS-68b,5.866066412039307e-05,8.039351210543572e-05,0.00010454860350447304
142,HAT-P-57b,2.5689511988222927e-05,3.5286949776421316e-05,4.595127891512563e-05
143,WASP-54b,2.0541348476823588e-05,2.8134530468770024e-05,3.657464684561643e-05
144,HATS-25b,7.914213687351565e-05,0.00010781538081071004,0.00013971098747457696
145,TOI-776c,1.4553797858577276e-05,1.887895215432817e-05,2.376517120654873e-05
146,HAT-P-5b,4.889985140227794e-05,6.6850820669315e-05,8.680889663416026e-05
147,Qatar-8b,3.5616931943687835e-05,4.853766438256569e-05,6.290968850136053e-05
148,WASP-18b,1.9074919293802364e-05,2.6232691433078248e-05,3.418513942829918e-05
149,TrES-5b,8.328731935789397e-05,0.00011243070633098897,0.00014490372545066177
150,WASP-2b,4.781539919389096e-05,6.455754720356885e-05,8.321182305907521e-05
151,HAT-P-55b,9.731591682745224e-05,0.0001327556310980136,0.00017216988811956981
152,HAT-P-36b,6.063209059047486e-05,8.240105462801565e-05,0.00010662597372246432
153,WASP-65b,5.562872665083834e-05,7.564923822496118e-05,9.792606357608694e-05
154,WASP-159b,4.524811590427123e-05,6.199031047891436e-05,8.059930754146134e-05
155,WASP-93b,4.7839681315841486e-05,6.598673211990466e-05,8.614287910254857e-05
156,WASP-140b,3.934368602936629e-05,5.319766339532017e-05,6.862924169481287e-05
157,KELT-16b,6.438446363833405e-05,8.833681419234701e-05,0.00011495523844380446
158,Kepler-5b,8.57203421159183e-05,0.00011769806689997166,0.00015323213016741065
159,WASP-129b,6.643562969859047e-05,9.074849436936036e-05,0.00011778290370663404
160,WASP-145Ab,5.180966864237107e-05,6.956208817947381e-05,8.936709874625271e-05
161,WASP-167b,4.0683204155983877e-05,5.628563815327156e-05,7.361136616313517e-05
162,K2-232b,1.5427882561659832e-05,2.1070340558568884e-05,2.73445560376093e-05
163,TOI-157b,7.262131487936636e-05,9.844139225942465e-05,0.00012718764159353523
164,WASP-76b,1.8139848788643446e-05,2.4892554763670123e-05,3.239673721874482e-05
165,Qatar-2b,5.658607633156345e-05,7.554146379091882e-05,9.672047647080088e-05
166,LP791-18d,9.9459219952035e-05,0.00012419086983805433,0.00015285635413778026
167,HATS-22b,8.726613063107562e-05,0.00011692208542732101,0.00015002444266875632
168,HAT-P-51b,8.012620102481679e-05,0.00010869700160341194,0.00014050128032768225
169,TOI-837b,3.180965364001507e-05,4.353788439875657e-05,5.6575424607039036e-05
170,HAT-P-56b,4.4372231539577775e-05,6.111530146153712e-05,7.971446029408796e-05
171,WASP-57b,0.00010604407045125654,0.00014420882214802192,0.00018667474540728669
172,KELT-24b,9.256037383849459e-06,1.2740524378591706e-05,1.6611527957247816e-05
173,HATS-35b,6.28040528358501e-05,8.623605857981784e-05,0.00011227390233758544
174,WASP-94Ab,2.4738405877113087e-05,3.391352843638955e-05,4.4110905913470415e-05
175,HAT-P-24b,4.9993809115491086e-05,6.870632848821763e-05,8.949786252857928e-05
176,WASP-31b,5.276580311096875e-05,7.245256767077942e-05,9.432866762164552e-05
177,WASP-183b,9.353228166444186e-05,0.00012658730425303745,0.000163399503905723
178,HAT-P-66b,7.356599454068938e-05,0.000100629232201384,0.00013071611425070985
179,WASP-63b,2.95704568608256e-05,4.01808177572471e-05,5.198855335375763e-05
180,HAT-P-33b,3.7040246345422784e-05,5.0947657519004764e-05,6.63988532905092e-05
181,WASP-48b,5.153388107848731e-05,7.041292708647163e-05,9.140444380311326e-05
182,HD219134b,3.3913248922213866e-06,4.53311579578805e-06,5.808397581175356e-06
183,HATS-3b,4.7496323134176074e-05,6.525701579817126e-05,8.49915239311408e-05
184,HAT-P-8b,2.1416628464557182e-05,2.937086729112242e-05,3.8210935897594275e-05
185,WASP-96b,7.38284150465687e-05,0.00010030313643938494,0.0001297663332171897
186,WASP-24b,3.98197833815378e-05,5.452149133924811e-05,7.086368495016451e-05
187,TOI-216.01,3.363270039055096e-05,4.527396122556213e-05,5.825325196412674e-05
188,KELT-3b,2.4811675001895087e-05,3.407131152357148e-05,4.436061525232956e-05
189,WASP-132b,3.630457498352151e-05,4.854443965555747e-05,6.221401627068018e-05
190,KELT-17b,1.9924420408871572e-05,2.7678192410277725e-05,3.628631367544825e-05
