,Planet Name,Noise Estimate 1.1-1.95um
662,K2-129b,1.2334432211019511e-05
663,TOI-2136b,1.629727273728397e-05
664,HD15337c,6.115944635727476e-06
665,WASP-187b,7.651397226019898e-06
666,TOI-4406b,1.5611243057733472e-05
667,TOI-2338b,2.578283765895331e-05
668,K2-353b,2.2450837719252416e-05
669,TOI-1411b,5.845765720294398e-06
670,NGTS-13b,2.3591415434231322e-05
671,K2-280b,1.6850250166177744e-05
672,HD93963Ac,7.603081641433049e-06
673,HATS-37Ab,2.3156176786317295e-05
674,K2-33b,1.8312143579285326e-05
675,TOI-251b,1.1166708784955017e-05
676,TOI-1268b,9.82655074357852e-06
677,K2-139b,1.3241085198250482e-05
678,Gaia-1b,3.373980862067578e-05
679,HATS-12b,2.1333694293779035e-05
680,K2-52b,2.4918890133471544e-05
681,K2-406b,7.377721940529503e-06
682,K2-24b,9.099906734410104e-06
683,K2-32c,1.4600315832376624e-05
684,TOI-1601b,8.913158712152378e-06
685,WASP-185b,1.2740515170103193e-05
686,K2-287b,1.2481672795230755e-05
687,Kepler-470b,6.184596254993749e-06
688,K2-289b,2.1089844271141423e-05
689,HATS-9b,3.7065531998656525e-05
690,WASP-163b,2.7436666000136425e-05
691,TOI-540b,1.3201438144605354e-05
692,TOI-1693b,1.0509586466398467e-05
693,NGTS-8b,4.529169297523775e-05
694,K2-405b,2.5441405880408417e-05
695,TOI-532b,4.01810539352702e-05
696,GJ3929b,1.3529696712440097e-05
