,Planet Name,ESM Estimate 1.1-1.1425um,ESM Estimate 1.1425-1.185um,ESM Estimate 1.185-1.2275um,ESM Estimate 1.2275-1.27um,ESM Estimate 1.27-1.3125um,ESM Estimate 1.3125-1.355um,ESM Estimate 1.355-1.3975um,ESM Estimate 1.3975-1.44um,ESM Estimate 1.44-1.4825um,ESM Estimate 1.4825-1.525um,ESM Estimate 1.525-1.5675um,ESM Estimate 1.5675-1.61um,ESM Estimate 1.61-1.6525um,ESM Estimate 1.6525-1.695um,ESM Estimate 1.695-1.7375um,ESM Estimate 1.7375-1.78um,ESM Estimate 1.78-1.8225um,ESM Estimate 1.8225-1.865um,ESM Estimate 1.865-1.9075um,ESM Estimate 1.9075-1.95um
0,TOI-5704b,0.0008294446524975236,0.0011842946756985711,0.0016443401612684344,0.0022266656335171247,0.002948174388057483,0.0038251439782132786,0.004872823168014989,0.006105084579358287,0.007534141706823791,0.009170334041437458,0.011021979962836471,0.013095293907437607,0.01539436207289667,0.017921169485173787,0.020675670508006287,0.023655894677938355,0.026858079967285946,0.03027682609151678,0.03390526118311994,0.037735215966941335
1,TOI-672b,2.6785096831945083e-05,4.6026050297799545e-05,7.592438204202802e-05,0.00012074261506661253,0.00018579535543610667,0.0002775198496905899,0.00040351166777598057,0.0005725224705981634,0.0007944192468060221,0.001080106629477021,0.0014414157726108175,0.0018909646903862087,0.002441995909772363,0.003108197777356558,0.0039035158451609297,0.004841960508235043,0.005937416557505791,0.007203459622790447,0.008653183684601896,0.01029904299093783
2,TOI-199b,7.233077443309276e-13,2.3508661181715754e-12,7.01643773999385e-12,1.9397859026497678e-11,5.005128796191197e-11,1.2132906390822763e-10,2.7791793527213633e-10,6.046250361991617e-10,1.2549705971760575e-09,2.4951626298373174e-09,4.769049795907153e-09,8.790575324138425e-09,1.5670979584493125e-08,2.7088418079353933e-08,4.5507687777980805e-08,7.445732725982904e-08,1.1887044827841542e-07,1.8549427830942975e-07,2.833715915659256e-07,4.24395057389941e-07
3,WASP-176b,0.4846780708684718,0.5624543563226717,0.6439950202656889,0.7285811073003796,0.8155042644950777,0.9040823719946478,0.9936711899030557,1.0836725021382823,1.1735392861808345,1.2627784355662692,1.3509515284502205,1.4376740845077094,1.5226136935965495,1.6054873395492442,1.6860581852462753,1.764132033093254,1.8395536292779633,1.9122029410163108,1.9819915031938449,2.048858903866299
4,TOI-1801b,8.737719043350886e-09,1.931216088024692e-08,4.02631175600452e-08,7.965769416190004e-08,1.5033220860879745e-07,2.71865457580664e-07,4.730038435297612e-07,7.945260607750745e-07,1.2925033658488184e-06,2.0418805706796977e-06,3.1402756705691967e-06,4.711874772879969e-06,6.911285285572216e-06,9.92720488148222e-06,1.3985766508159334e-05,1.935342993404615e-05,2.633930678996388e-05,3.529682725938799e-05,4.6624680848121594e-05,6.0766989408138e-05
5,TOI-836c,4.616085237478077e-06,8.17511281513797e-06,1.3868660972498278e-05,2.2637439956929337e-05,3.569023131869544e-05,5.453360232211868e-05,8.099427077785874e-05,0.00011723254398861707,0.00016574583187302532,0.00022936183819906438,0.00031122160920172203,0.0004147531234535145,0.0005436365135641115,0.0007017623061218749,0.0008931842501164764,0.0011220683836815598,0.001392639978091438,0.001709129913516972,0.0020757219011427464,0.0024965017883583455
6,TOI-3807b,0.4472753839565096,0.524988043616619,0.6074867576266509,0.694081864320736,0.7840684204482565,0.8767453643432659,0.9714309039546567,1.067474365785322,1.1642648646031981,1.261237213717574,1.3578755105097746,1.4537148169526024,1.5483413216763358,1.6413913272588876,1.732549359799981,1.8215456514594444,1.9081532029753456,1.992184593625776,2.0734886712981453,2.1519472254188017
7,TOI-4087b,0.18633828112029463,0.22710276244094088,0.2721397448385734,0.321219348706459,0.3740559572614007,0.4303210865477482,0.48965561566267723,0.5516809742451174,0.6160090480259335,0.682250692168782,0.7500228385139632,0.8189542509169863,0.8886900276218679,0.9588949759632017,1.0292559971283395,1.099483621060206,1.1693128269702993,1.2385032758251757,1.3068390694434473,1.374128137875489
8,TOI-2818b,0.1646505514162165,0.2039269645825034,0.24805571123902104,0.2969109646772706,0.35029404019278393,0.40794497246501654,0.46955443884256975,0.5347754278841239,0.6032342195726245,0.6745403891354904,0.7482956665479404,0.8241015784185189,0.9015658700749093,0.9803077564044363,1.0599620838592825,1.140182506451563,1.220643788663164,1.3010433506752432,1.3811021684131364,1.4605651343915473
9,TOI-3235b,1.4842992588891588e-05,2.748482274929408e-05,4.860529219008327e-05,8.248096252482961e-05,0.0001348631107101986,0.00021323759702126285,0.0003270652982832206,0.00048798891464647403,0.0007099937496673758,0.001009512695143835,0.0014054688016117572,0.0019192521631337808,0.0025746311094519726,0.003397600657081669,0.004416173668152046,0.005660122112414203,0.0071606771926893825,0.008950197892787497,0.01106181778949124,0.013529079808624778
10,TOI-4463Ab,0.20477823736829906,0.25254858372477046,0.3059859531450512,0.36490457084915057,0.42903601774437067,0.49804369137478766,0.5715373640923649,0.6490871729685708,0.7302365783243703,0.814513999436562,0.9014429743461366,0.9905507970314475,1.0813756629661548,1.1734724076730791,1.2664169569079418,1.3598096258861783,1.4532774123119612,1.5464754270888157,1.6390876000841483,1.7308267882262431
