,Planet Name,RSM Estimate 1.1-1.1425um,RSM Estimate 1.1425-1.185um,RSM Estimate 1.185-1.2275um,RSM Estimate 1.2275-1.27um,RSM Estimate 1.27-1.3125um,RSM Estimate 1.3125-1.355um,RSM Estimate 1.355-1.3975um,RSM Estimate 1.3975-1.44um,RSM Estimate 1.44-1.4825um,RSM Estimate 1.4825-1.525um,RSM Estimate 1.525-1.5675um,RSM Estimate 1.5675-1.61um,RSM Estimate 1.61-1.6525um,RSM Estimate 1.6525-1.695um,RSM Estimate 1.695-1.7375um,RSM Estimate 1.7375-1.78um,RSM Estimate 1.78-1.8225um,RSM Estimate 1.8225-1.865um,RSM Estimate 1.865-1.9075um,RSM Estimate 1.9075-1.95um
0,TOI-5704b,0.04707105553992679,0.04614641565867558,0.04520312468694677,0.044250672672477835,0.0432966270582324,0.042346985157132214,0.04140646352159043,0.04047873510339192,0.03956662342746143,0.03867226148703508,0.03779722174439151,0.03694262249354377,0.03610921489535879,0.035297454210672714,0.0345075581104516,0.03373955441221009,0.03299332015911054,0.03226861360542449,0.031565100384866575,0.030882374904666825
1,TOI-672b,0.09716164665032764,0.09620605506885699,0.09510776633904525,0.0938959008367116,0.09259507292876708,0.09122603189992537,0.08980622403267748,0.08835028082356167,0.08687044009302616,0.08537690736556672,0.0838781648390886,0.08238123483127995,0.08089190397576589,0.07941491375758905,0.07795412229404215,0.07651264162088381,0.07509295415429572,0.0736970114729891,0.07232631810311052,0.07098200258781191
2,TOI-199b,0.004023678386721533,0.003922972509949001,0.0038233513858519667,0.003725321538036255,0.003629257121988308,0.0035354278934928824,0.0034440214359417578,0.0033551608262330805,0.00326891867831404,0.0031853283097357655,0.0031043926219708074,0.00302609116245264,0.002950385739088299,0.0028772248811739557,0.0028065473799728587,0.0027382850942989207,0.0026723651685809425,0.0026087117809265427,0.002547247514975597,0.002487894430509335
3,WASP-176b,0.5462361885207614,0.5303132863246853,0.5148357655850891,0.4998347616166505,0.485328212976827,0.4713240980190339,0.4578229329003537,0.44481969957127093,0.43230533327722803,0.4202678692084133,0.40869332503980405,0.39756637856630017,0.3868708861915531,0.3765902777048225,0.36670785483845136,0.3572070149773644,0.34807141666348157,0.3392850998772902,0.33083257123822757,0.32269886205655596
4,TOI-1801b,0.00876516780115901,0.008666535696832206,0.008556290037312135,0.00843696035810771,0.008310671061808855,0.008179201444293464,0.008044037752918575,0.007906417978714778,0.00776737017668411,0.007627745113500307,0.007488243999204206,0.007349441993014713,0.007211808097723529,0.007075721980828402,0.006941488188272005,0.006809348150728069,0.006679490323711646,0.006552058751463879,0.006427160300181913,0.006304870768122314
5,TOI-836c,0.02276457732570316,0.022325663900587937,0.021876753145134875,0.021422537840276965,0.020966771798056887,0.020512440481161458,0.020061901378877065,0.019616999284710696,0.01917916085498642,0.018749472123705365,0.0183287420287274,0.01791755447221447,0.01751631098962616,0.01712526572773036,0.016744554123105083,0.01637421641863906,0.01601421694755998,0.015664459944626417,0.015324802505529471,0.014995065202587489
6,TOI-3807b,0.6173372942216468,0.5999038985291051,0.5828977901544797,0.5663640603246797,0.5503315664205515,0.534816760451436,0.5198266652581108,0.505361188607015,0.49141492241252477,0.4779785411077266,0.46503988753408626,0.45258481492742014,0.44059783830039756,0.42906263671977257,0.4179624388463158,0.407280317030447,0.3969994097633932,0.3871030880102305,0.3775750776192599,0.3683995473990585
7,TOI-4087b,0.3955754784861022,0.3838046437786115,0.3723891139477988,0.3613471104524423,0.35068788676759116,0.3404139930278799,0.33052301492052766,0.32100890860428427,0.31186302479962075,0.3030748933798225,0.29463282317316836,0.2865243590164674,0.27873662842818875,0.27125660287301673,0.2640712929216785,0.25716789225692205,0.2505338821255194,0.24415710525061382,0.23802581621894156,0.23212871380736894
8,TOI-2818b,0.5012467578628185,0.48723559940220706,0.4735520619418021,0.46023524339170147,0.4473107352528826,0.4347937718103239,0.4226916835569327,0.4110058089923479,0.39973298442562294,0.38886670462023665,0.3783980263763266,0.3683162711001555,0.35860957000018995,0.34926528594296885,0.34027033855707806,0.3316114533948588,0.32327535146764685,0.31524889196900885,0.30751917826656516,0.30007363510404905
9,TOI-3235b,0.3291039665690262,0.32794600211389424,0.32610936771316223,0.32370509652840435,0.3208294880545824,0.31756578312225425,0.31398573146159425,0.3101510260667332,0.3061145950827117,0.30192175212557576,0.2976112119327881,0.29321598146596206,0.2887641380321118,0.28427950631630755,0.27978224587082845,0.2752893598766063,0.270815135071909,0.2663715217519964,0.2619684617561328,0.2576141714187164
10,TOI-4463Ab,0.6006572962208416,0.5841486217745382,0.5679949784921392,0.5522480185145805,0.5369425880018072,0.522100576729948,0.5077339274507909,0.49384698900657653,0.48043835654796074,0.46750231049009944,0.4550299411768581,0.4430100270699084,0.4314297194122933,0.42027507477156023,0.4095314678941595,0.3991839103185671,0.3892172947492253,0.3796165809402659,0.3703669355092445,0.36145383549081567
11,TOI-3785b,0.03894125642434553,0.038674511348731906,0.03833928172810386,0.03794802455453022,0.03751140294601217,0.03703851809731378,0.036537118227758125,0.036013784129749184,0.03547409224468581,0.03492275690646978,0.03436375372032373,0.03380042613419119,0.03323557720863625,0.032671548461714446,0.032110287497645267,0.03155340594709616,0.031002229067314917,0.03045783818066927,0.029921106974653076,0.02939273254686091
12,WASP-124b,0.25453065279334813,0.24696947234477992,0.23963516953895536,0.23253969991193993,0.22568921691357158,0.2190855333992403,0.21272724431795187,0.20661058897502874,0.20073011284397665,0.19507917487225834,0.18965033553299845,0.18443565271983278,0.17942690635461747,0.17461576781383378,0.16999392662774176,0.1655531841009606,0.16128552134289775,0.15718314752918328,0.15323853292537,0.14944443020405943
13,WASP-25b,0.3950362535735294,0.3839291928262611,0.3730890194255868,0.36254542991701644,0.3523176222222728,0.342416759375411,0.33284788658046327,0.3236114231973183,0.31470432390645076,0.30612098210698546,0.29785393221592177,0.28989439487867,0.2822326993223378,0.2748586095225984,0.2677615750014707,0.260930922534215,0.2543560015168694,0.2480262930005435,0.24193149025672553,0.23606155706346182
14,LHS1140c,0.006202524916002675,0.006234872836555408,0.0062501201086854865,0.006250496578148844,0.006238000888777468,0.00621441452397903,0.006181318322017924,0.006140109972545022,0.006092021512740569,0.006038136201957435,0.0059794044048570635,0.005916658285279992,0.005850625229012933,0.005781939989661733,0.005711155599929378,0.005638753119311885,0.005565150304687473,0.005490709296842262,0.005415743416711091,0.005340523162161949
15,TOI-1199b,0.31816916032782677,0.30929544582348717,0.3006270192737128,0.2921890409726707,0.28399805334123146,0.27606398541154664,0.26839171517523125,0.2609822875959402,0.253833864227219,0.2469424633972632,0.24030253676764607,0.2339074178928585,0.22774967052948222,0.2218213583433856,0.21611425293360956,0.21061999341906018,0.2053302079771555,0.20023660549686,0.19533104376933833,0.190605579278327
16,TOI-1273b,0.2986671453497893,0.29037159807409235,0.2822641732766342,0.2743690759014673,0.2667023450701932,0.25927374507314555,0.2520882405032368,0.24514714725854464,0.23844903070489396,0.23199040639733345,0.22576628643348834,0.21977060496370265,0.21399654898769357,0.2084368148364322,0.20308380629145545,0.1979297868388565,0.1929669958658084,0.18818773651009926,0.18358444123403503,0.17914971991052855
17,TOI-5803b,0.010128203284722187,0.00988342621161858,0.009640265443549132,0.009400129432780006,0.009164077980052455,0.008932894091695426,0.008707141394935372,0.008487210009110374,0.008273353198353236,0.008065716664815807,0.007864361965161071,0.007669285231524749,0.00748043213763019,0.007297709859402235,0.00712099662742125,0.006950149347869194,0.0067850096727733724,0.006625408824193013,0.00647117141641023,0.006322118471937897
18,TOI-3819b,0.26162803894000086,0.25411512795749813,0.24680011739216687,0.23969993667501377,0.23282492392909906,0.2261804116014471,0.21976795456863144,0.21358628143186542,0.2076320312563974,0.20190032379605743,0.19638520031539333,0.19107996372147903,0.18597744025633933,0.1810701800255078,0.17635060980060097,0.1718111485683176,0.16744429400190136,0.1632426862491551,0.15919915404516993,0.15530674707775427
19,TOI-4791b,0.28721213339259427,0.27866864321109186,0.2703827337882471,0.2623676871197258,0.2546302667438406,0.24717236298758458,0.23999225636951566,0.23308558758167153,0.22644610168901075,0.22006621834701004,0.2139374677714916,0.20805082299505798,0.20239695192108484,0.19696640731491333,0.1917497687555,0.18673774740924326,0.18192126205375353,0.17729149290124158,0.17283991831852566,0.16855833841458193
20,TOI-4377b,0.5374547459583631,0.5251172273800706,0.5127834178743929,0.5005376601176349,0.4884447302468712,0.4765537390292669,0.4649012720972264,0.45351391659860923,0.44241029398732473,0.43160269568024656,0.4210983994412617,0.41090072903155006,0.4010099073022646,0.39142374297276933,0.3821381833774662,0.3731477590946461,0.3644459412766131,0.3560254284262418,0.3478783761049121,0.3399965804457805
21,Wolf327b,0.13149303282909125,0.13066798785110803,0.12960459696662738,0.12834537019077738,0.12692678052056253,0.125380028880135,0.12373173724688753,0.12200456706100585,0.12021776487003176,0.11838763986473529,0.11652797929445169,0.11465040822384663,0.11276470004881549,0.1108790438488957,0.10900027415964485,0.10713406819072117,0.1052851149485752,0.1034572601787562,0.10165363053897743,0.09987673995822942
22,HD118203b,0.5345578798321232,0.5191702162234565,0.5041919535330525,0.48965702364180175,0.47558597892461607,0.46198922061571496,0.44886949786179253,0.43622384239716033,0.42404506598030794,0.4123229186525253,0.4010449835360293,0.3901973667241231,0.3797652276202265,0.36973318492597523,0.3600856256479966,0.3508069384444884,0.34188168795078877,0.33329474309138213,0.325031369562189,0.3170772944670974
23,TOI-1470b,0.021191133565845625,0.02100069764590499,0.020777355694698567,0.020527589859363024,0.020256899560139117,0.01996993773079517,0.019670631151158996,0.01936228558970042,0.01904767695777437,0.01872912988505171,0.018408585167473294,0.01808765748539095,0.017767684685206647,0.017449769790672868,0.017134816776910543,0.016823561010913087,0.01651659514207924,0.016214391117621435,0.01591731890126428,0.015625662389247084
24,V1298Taub,0.06346562500219827,0.06201073978844427,0.06055604336079139,0.05911152411146112,0.05768485680761662,0.05628186349539865,0.054906884573638626,0.053563077415561954,0.052252656663574475,0.05097708761202302,0.049737241868761856,0.04853352267936235,0.04736596583930273,0.0462343209473263,0.04513811681359971,0.04407671408432496,0.04304934754294064,0.04205516006690021,0.041093229833925056,0.040162592063181346
25,TOI-2109b,6.65497228610822,6.4423868330383955,6.237804993415902,6.041259061213167,5.852669197912891,5.6718759787711654,5.498664832651198,5.332784360205208,5.173960022208822,5.0219043218044215,4.876324329136422,4.73692719051623,4.603424109186126,4.475533167908448,4.3529812753224855,4.235505451127769,4.122853614343923,4.014785000205713,3.911070301714579,3.81149160927246
26,K2-138g,0.0009844823479738742,0.0009591671686467344,0.0009342046897223629,0.0009097082110345462,0.0008857599148113294,0.0008624175793530581,0.0008397198911063755,0.0008176906484637301,0.0007963420893279431,0.0007756775256160922,0.0007556934291709332,0.0007363810830125386,0.0007177278878277789,0.0006997183946971891,0.0006823351202017016,0.0006655591883664926,0.0006493708346994643,0.0006337498003302105,0.000618675638530095,0.0006041279513668304
27,K2-141c,0.10528964735308326,0.10321244667242216,0.10109458848742782,0.0989571875696076,0.09681706832203077,0.09468755298220459,0.09257910838242442,0.09049987577125063,0.08845610441390837,0.08645250626706844,0.0844925460422127,0.08257867843504342,0.08071254217314615,0.07889511877234695,0.0771268624421955,0.07540780639348946,0.07373764983132446,0.07211582912743636,0.07054157602298336,0.06901396519029705
28,TRAPPIST-1b,0.012607163317624678,0.012830979845602617,0.013010666883800325,0.013150479297039748,0.013254435719519807,0.013326287656242445,0.013369505525212997,0.01338727664028152,0.013382511374920488,0.013357854713994543,0.013315701144634779,0.013258211403990174,0.013187330029165844,0.013104802974402783,0.013012194797563296,0.012910905092018893,0.01280218396645436,0.012687146465770354,0.012566785890254804,0.012441986014415839
29,TRAPPIST-1e,0.0016407623921120189,0.0016698910495734406,0.0016932764636588308,0.0017114723848041507,0.001725001819152426,0.0017343530072511878,0.0017399776075111824,0.0017422904336827577,0.0017416702570422378,0.001738461309799856,0.001732975223076279,0.0017254932065428631,0.0017162683324627144,0.0017055278284829095,0.0016934753143738974,0.0016802929405616205,0.0016661434027504462,0.0016511718187351106,0.0016355074618275745,0.0016192653510800632
30,TRAPPIST-1f,0.0012943224282001623,0.0013173006941800084,0.001335748378067074,0.0013501023082603623,0.0013607750603919454,0.0013681517851052453,0.0013725887750686734,0.001374413257882754,0.0013739240288882758,0.0013713926371360676,0.0013670649141680658,0.0013611626934358493,0.001353885612076196,0.0013454129195900279,0.001335905242303853,0.0013255062703599716,0.00131434434696039,0.001302533948897945,0.001290177053977494,0.0012773643954701556
31,TRAPPIST-1g,0.0010741536903867976,0.001093223273562655,0.0011085329423860069,0.0011204452192288916,0.0011293024991762576,0.0011354244174101684,0.0011391066599793968,0.001140620791933764,0.0011402147824894297,0.0011381139892610913,0.0011345224269920862,0.0011296241944938642,0.0011235849699332682,0.0011165535118489135,0.0011086631234716116,0.0011000330527516891,0.0010907698112669938,0.0010809684029105357,0.0010707134587085861,0.001060080277887899
32,GJ3473b,0.023908831954806007,0.023843872162559,0.023727938005130976,0.02356917802676536,0.02337468119583747,0.0231505931081664,0.022902225950752163,0.02263415996995087,0.022350335471763377,0.022054135191104697,0.021748457356287845,0.021435780051673393,0.021118217619137913,0.020797569887894288,0.020475365016105494,0.02015289668929978,0.019831256364685256,0.01951136118671358,0.01919397813369726,0.01887974489162918
33,TOI-2202b,0.050220439340050334,0.049003058010026856,0.047794156411428854,0.04660066306796687,0.04542778402254956,0.044279358572300496,0.043158143380013926,0.042066039362722824,0.04100427290648076,0.03997354063412626,0.038974125080979326,0.03800598713489176,0.037068839902526234,0.03616220771398968,0.03528547322382391,0.03443791496786403,0.0336187372603791,0.03282709393853435,0.0320621071611317,0.0313228822296768
34,TOI-833b,0.055873953320139606,0.05520121858382628,0.054459005027665146,0.053663067790879315,0.05282658923502234,0.05196056851088046,0.05107415744102399,0.05017494807502243,0.04926921761758426,0.04836213628311701,0.047457943226079415,0.04656009517663534,0.04567139185917347,0.04479408173452769,0.04392995110987971,0.043080399214391885,0.04224650144648819,0.04142906265879615,0.04062866205506204,0.03984569102486761
35,HD28109c,0.004326926070021397,0.004196895621506688,0.00407092724407091,0.003949196869963842,0.0038317855586859997,0.0037187038255119017,0.0036099102727999138,0.003505325853381646,0.003404844780406932,0.003308342858750309,0.0032156838312681507,0.0031267241949057053,0.003041316836307799,0.0029593137561857307,0.002880568090194419,0.0028049355869271854,0.002732275667403067,0.0026624521625118578,0.0025953338033308272,0.0025307945225492667
36,TOI-2641b,0.33043909678232475,0.32054119116237656,0.3109490553765722,0.30167671747894453,0.29273087841536183,0.28411278124932715,0.2758196439194038,0.26784575712020164,0.2601833248913971,0.25282310724152685,0.24575491024796395,0.23896795850527128,0.2324511767371476,0.22619340123397227,0.2201835370684954,0.2144106734296784,0.20886416663685362,0.2035336982554359,0.19840931408133375,0.19348144848046833
37,TOI-1685b,0.1526131071338007,0.15194762881084745,0.1509788368490864,0.14975762021576036,0.14832797179935847,0.1467278006582415,0.14498968405159898,0.14314154990866568,0.14120728743992508,0.13920728784508157,0.1371589194781147,0.13507694303817974,0.13297387280444967,0.1308602899163886,0.12874511341215386,0.12663583430337627,0.1245387174652249,0.12245897560690681,0.12040091908961685,0.11836808489339341
38,K2-87b,0.027214849611369645,0.026450120783727934,0.02570371672139031,0.024977691216276354,0.02427337374979607,0.02359153935458959,0.022932540802408086,0.022296411495054826,0.021682945551766978,0.021091760126744512,0.02052234386188618,0.019974094507860744,0.01944634807294593,0.018938401338125653,0.018449529173575445,0.017978997778846956,0.01752607472599455,0.017090036495649774,0.016670174048400866,0.016265796858401026
39,WASP-178b,1.3643975305191587,1.312123774718404,1.2627645019800537,1.2161416849786602,1.1720830020352124,1.1304237579232246,1.091007959425947,1.053688813497211,1.018328835906241,0.9847997021484906,0.9529819329179149,0.9227644785637726,0.8940442472389626,0.8667256074831756,0.840719886091292,0.8159448751159256,0.7923243569092997,0.7697876526345953,0.7482691972503377,0.7277081422945816
40,HIP29442b,0.01684101087742461,0.01641557475271127,0.01599518576799372,0.015581902518470402,0.015177236848084466,0.014782270185227642,0.014397745860527488,0.014024142373171577,0.013661731550613907,0.013310624726977905,0.012970809413007708,0.012642178413450791,0.012324552939304553,0.012017700940135044,0.01172135162759381,0.011435206960875558,0.011158950706701296,0.01089225556145239,0.010634788724207141,0.010386216231083338
41,HD152843c,0.02993189932287181,0.0290056970415858,0.02811129443178192,0.027249410784529877,0.02642017877257124,0.02562330290915782,0.024858179861657382,0.024123989721233835,0.023419765124619213,0.022744443462462665,0.022096906155669477,0.021476008034599117,0.020880599139524874,0.020309540717202493,0.019761716774989536,0.019236042238752766,0.01873146851984604,0.01824698711179857,0.01778163169551042,0.017334479122550178
42,K2-26b,0.003236697042508149,0.003203905466288739,0.003166456409646224,0.0031253126942121364,0.0030812870867108423,0.0030350638295549323,0.0029872174774941366,0.0029382292258975204,0.002888500970150853,0.0028383673523857222,0.0027881060469356006,0.002737946519410036,0.0026880774722176644,0.0026386531654592994,0.0025897987785066644,0.0025416149554580623,0.002494181657584217,0.0024475614280467994,0.002401802158570664,0.002356939434246657
43,TOI-1246d,0.0039044140982042166,0.0038095697086077264,0.0037154098300075577,0.003622470121832821,0.0035311526714973084,0.003441753620101101,0.0033544852190353996,0.0032694934388191,0.003186872029010438,0.00310667374698833,0.003028919327565176,0.0029536046487054564,0.002880706455649981,0.002810186931853783,0.0027419973464944737,0.002676080961775578,0.0026123753463215696,0.0025508142116370514,0.002491328865290011,0.002433849355923376
