Wavelength [um],ESM,TSM,RSM
0.55,0.005971638668166836,21.85087063056587,10.541829502912105
0.7,0.1391666646715244,32.36679693845146,15.615178939517461
0.95,2.4642669451444625,47.82023965829143,23.070605368050234
1.12125,2.3398984212967653,17.57589591348002,8.47939202118821
1.16375,2.8540333731193144,17.23064395080544,8.312827155760376
1.20625,3.4228271188710253,16.87842784379318,8.142902478108914
1.24875,4.043536171487809,16.522791088320574,7.971327527867952
1.29125,4.712696816063862,16.166559297459912,7.799465506154407
1.33375,5.426283315507424,15.811971812276818,7.628396770456633
1.37625,6.1798595616468255,15.460789749732317,7.458970961736385
1.41875,6.968718947988705,15.11438455598425,7.291849726470493
1.46125,7.7880092475915195,14.77381050907285,7.127541695163285
1.50375,8.632840880321783,14.439864048905237,6.966431105763542
1.54625,9.49837816801739,14.113132318323665,6.808801222029561
1.58875,10.379914049456973,13.794032877948945,6.654853493731751
1.63125,11.272929315766014,13.48284620428751,6.504723235181396
1.67375,12.173137788281744,13.179742287516493,6.358492457182315
1.71625,13.076519047863014,12.88480240395739,6.216200371038181
1.75875,13.97934038307804,12.59803694041237,6.077851987803216
1.80125,14.878169592642175,12.319399985937743,5.943425158001143
1.84375,15.769880185255419,12.048801274918853,5.812876333494416
1.88625,16.651650391009273,11.78611595808344,5.686145281454608
1.92875,17.520957250299986,11.531192590849976,5.563158938296077
1.95975,10.035038920755431,6.2770960039583406,3.028349623496264
1.97925,10.250056139209885,6.21520589278953,2.9984910878393265
1.99875,10.4630923947175,6.1541737126018745,2.9690464561536087
2.01825,10.674056075690443,6.093988968530232,2.9400106652505156
2.03775,10.882861744030127,6.034640971109986,2.91137855805803
2.05725,11.089429950309427,5.9761188724948155,2.8831449010937735
2.07675,11.293687045218409,5.918411699313183,2.8553044003164354
2.09625,11.495564988382343,5.861508382451763,2.827851715494616
2.11575,11.695001155543567,5.805397784024002,2.800781473217661
2.13525,11.891938145012872,5.750068721767382,2.77408827866598
2.15475,12.086323584192542,5.695509991086578,2.747766726245648
2.17425,12.278109936885313,5.641710384941426,2.721811409183239
2.19375,12.467254312034157,5.588658711766574,2.6962169281710646
2.21325,12.653718274452293,5.536343811589122,2.670977899143035
2.23275,12.837467658034095,5.484754570496474,2.646088960254597
2.25225,13.018472381884802,5.433879933598703,2.62154477813635
2.27175,13.196706269736838,5.383708916612306,2.597340053482566
2.29125,13.372146872971683,5.334230616183714,2.573469526031707
2.31075,13.544775297517171,5.2854342190609085,2.549927978991223
2.33025,13.714576034850705,5.2373090102144815,2.526710242955506
2.34975,13.881536797285579,5.189844379995948,2.5038111993593843
2.36925,14.045648357692034,5.143029830418431,2.4812257835081977
2.38875,14.206904393772431,5.096854980637714,2.458948987222104
2.40825,14.365301336966976,5.051309571700781,2.4369758611269847
2.42775,14.520838226052101,5.006383470627791,2.415301516623771
2.44725,14.673516565469384,4.962066673887986,2.3939211275653722
2.46675,14.823340188387789,4.918349310320289,2.3728299316657075
2.48625,14.970315124500294,4.8752216435512645,2.3520232316662355
2.50575,15.114449472526887,4.832674073954492,2.33149639628124
