,Planet Name,Reference,Notes,Planet Period [days],Planet Mass [Mjup],Mass Error Upper (Mjup),Mass Error Lower (Mjup),Planet Radius [Rjup],Radius Error Upper (Rjup),Radius Error Lower (Rjup),Star Temperature [K],Teff Error Upper (K),Teff Error Lower (K),Mass star (Msun),Mass star Error Upper (Msun),Mass star Error Lower (Msun),Star Radius [Rs],Radius star Error Upper (Rsun),Radius star Error Lower (Rsun),eccentricity,eccentricity Error Upper,eccentricity Error Lower,Fe/H,Fe/H Error Upper,Fe/H Error Lower,Star Distance [pc],distance Error Upper (pc),distance Error Lower (pc),inclination,inclination Error Upper,inclination Error Lower,Planet Semi-major Axis [au],Planet Semi-major Axis Error Upper [au],Planet Semi-major Axis Error Lower [au],Transit Duration [hrs],Transit Duration Error Upper [days],Transit Duration Error Lower [days],Eclipse Duration [hrs],Eclipse Duration Error Upper (days),Eclipse Duration Error Lower (days),Kmag,Mean Molecular Weight,Planet Albedo,Planet Geometric Albedo,Heat Redistribution Factor
13,TOI-1406b,[15],,10.57,46.0,2.6,2.7,0.86,0.03,0.03,6290.0,100.0,100.0,1.18,0.08,0.09,1.35,0.03,0.03,0.026,0.013,0.01,-0.08,0.09,0.09,20.0,0.0,0.0,87.7,0.2,0.2,0.101,0.0022,0.0026,0.43199999999999994,0.0016,0.0014,0.43199999999999994,0.0,0.0,10.675,2.3,0.2,0.25,0.8
14,NGTS-28Ab,[29],,1.25,67.7,5.4,4.9,0.97,0.05,0.05,3626.0,47.0,44.0,0.56,0.02,0.02,0.59,0.03,0.03,0.041,0.005,0.008,-0.14,0.16,0.17,20.0,0.0,0.0,0.0,0.0,0.0,0.0202,0.0011,0.0011,1.3403999999999998,0.00043,0.00038,1.3403999999999998,0.0,0.0,10.832,2.3,0.2,0.25,0.8
15,WASP-128b,[11],,2.21,37.2,0.8,0.9,0.96,0.02,0.02,5950.0,50.0,50.0,1.16,0.04,0.04,1.15,0.02,0.02,0.007,0.0,0.0,0.01,0.12,0.12,20.0,0.0,0.0,0.0,0.0,0.0,0.0359,0.00038,0.0004,2.7096,0.00048,0.00044,2.7096,0.0,0.0,10.942,2.3,0.2,0.25,0.8
16,GPX-1b,[4],tier 2,1.74,19.7,1.6,1.6,1.47,0.1,0.1,7000.0,200.0,200.0,1.68,0.1,0.1,1.56,0.1,0.1,0.0,0.0,0.0,0.35,0.1,0.1,655.013,17.102,16.269,79.9,0.7,0.6,0.0338,0.0003,0.0003,2.088,0.002,0.002,2.088,0.0,0.0,11.181,2.3,0.2,0.25,0.8
17,CoRoT-3b,[6],tier 1,4.26,21.7,1.0,1.0,1.08,0.05,0.05,6740.0,140.0,140.0,1.37,0.09,0.09,1.56,0.09,0.09,0.0,0.0,0.0,-0.02,0.06,0.06,768.771,30.791,28.545,85.9,0.8,0.8,0.05783,0.00085,0.00085,3.3839999999999995,0.001,0.0008,3.3839999999999995,0.0,0.0,11.618,2.3,0.2,0.25,0.8
18,NGTS-19b,[33],,17.84,69.5,5.7,5.4,1.03,0.06,0.05,4716.0,39.0,28.0,0.81,0.04,0.04,0.9,0.04,0.04,0.377,0.006,0.006,0.11,0.07,0.07,20.0,0.0,0.0,0.0,0.0,0.0,0.1296,0.0074,0.0072,4.2504,0.0032,0.0031,4.2504,0.0,0.0,11.696,2.3,0.2,0.25,0.8
19,HATS-70b,[2],tier 1,1.89,12.9,1.8,1.6,1.38,0.08,0.07,7930.0,630.0,820.0,1.78,0.12,0.12,1.88,0.06,0.07,0.18,0.0,0.0,0.04,0.1,0.11,1458.83,68.6,62.81,86.7,1.6,1.9,0.03632,0.00074,0.00087,3.6239999999999997,0.0049,0.0048,3.6239999999999997,0.0,0.0,12.04,2.3,0.2,0.25,0.8
20,KOI-415b,[23],"""rotating varable""",166.79,62.1,2.7,2.7,0.86,0.03,0.03,5810.0,80.0,80.0,0.94,0.06,0.06,1.25,0.15,0.1,0.698,0.002,0.002,-0.24,0.11,0.11,20.0,0.0,0.0,0.0,0.0,0.0,0.593,0.013,0.013,6.009600000000001,0.0046,0.0029,6.009600000000001,0.0,0.0,12.661,2.3,0.2,0.25,0.8
21,CoRoT-34b,[35],,2.12,71.4,8.9,8.6,1.09,0.17,0.16,7820.0,160.0,160.0,1.66,0.08,0.15,1.85,0.29,0.25,0.0,0.0,0.0,-0.2,0.2,0.2,20.0,0.0,0.0,0.0,0.0,0.0,0.03874,0.00081,0.00081,2.0208,0.005,0.0046,2.0208,0.0,0.0,12.68,2.3,0.2,0.25,0.8
22,KOI-205b,[14],,11.72,39.9,1.0,1.0,0.87,0.02,0.02,5237.0,60.0,60.0,0.93,0.03,0.03,0.84,0.02,0.02,0.031,0.0,0.0,0.14,0.12,0.12,20.0,0.0,0.0,0.0,0.0,0.0,0.0987,0.0013,0.0013,3.0696000000000003,0.0062,0.0062,3.0696000000000003,0.0,0.0,12.705,2.3,0.2,0.25,0.8
23,CoRoT-33b,[20],grazing transit,5.82,59.0,1.8,1.7,1.1,0.53,0.53,5225.0,80.0,80.0,0.86,0.04,0.04,0.94,0.14,0.08,0.07,0.002,0.002,0.44,0.1,0.1,20.0,0.0,0.0,0.0,0.0,0.0,0.0579,0.0,0.0,1.3992,0.0,0.0,1.3992,0.0,0.0,12.71,2.3,0.2,0.25,0.8
24,EPIC201702477b,[30],,40.74,66.9,1.7,1.7,0.83,0.04,0.04,5517.0,70.0,70.0,0.87,0.03,0.03,0.9,0.06,0.06,0.228,0.003,0.003,-0.16,0.05,0.05,20.0,0.0,0.0,0.0,0.0,0.0,0.2265,0.0026,0.0026,4.0392,0.0054,0.0054,4.0392,0.0,0.0,12.766,2.3,0.2,0.25,0.8
25,Kepler-39b,[5],,21.09,20.1,1.3,1.2,1.07,0.03,0.03,6350.0,100.0,100.0,1.29,0.06,0.07,1.4,0.1,0.1,0.112,0.057,0.057,0.1,0.14,0.14,20.0,0.0,0.0,0.0,0.0,0.0,0.164,0.003,0.003,5.95992,0.00083,0.00083,5.95992,0.0,0.0,12.918,2.3,0.2,0.25,0.8
26,TOI-263b,[21][22],Near the faint limit,0.56,61.6,4.0,4.0,0.91,0.07,0.07,3471.0,33.0,33.0,0.44,0.04,0.04,0.44,0.03,0.03,0.017,0.009,0.01,0.0,0.1,0.1,20.0,0.0,0.0,87.0,1.6,1.6,0.0098,0.0007,0.0008,0.9119999999999999,0.0007,0.0007,0.9119999999999999,0.0,0.0,13.246,2.3,0.2,0.25,0.8
27,CoRoT-15b,[26],too faint?,3.06,63.3,4.1,4.1,0.94,0.12,0.12,6350.0,200.0,200.0,1.32,0.12,0.12,1.46,0.31,0.14,0.0,0.0,0.0,0.1,0.2,0.2,20.0,0.0,0.0,0.0,0.0,0.0,0.045,0.014,0.01,3.24,0.004,0.004,3.24,0.0,0.0,13.389,2.3,0.2,0.25,0.8
