,Planet Name,Full Phase Curve SNR 1.1-1.1425um,Full Phase Curve SNR 1.1425-1.185um,Full Phase Curve SNR 1.185-1.2275um,Full Phase Curve SNR 1.2275-1.27um,Full Phase Curve SNR 1.27-1.3125um,Full Phase Curve SNR 1.3125-1.355um,Full Phase Curve SNR 1.355-1.3975um,Full Phase Curve SNR 1.3975-1.44um,Full Phase Curve SNR 1.44-1.4825um,Full Phase Curve SNR 1.4825-1.525um,Full Phase Curve SNR 1.525-1.5675um,Full Phase Curve SNR 1.5675-1.61um,Full Phase Curve SNR 1.61-1.6525um,Full Phase Curve SNR 1.6525-1.695um,Full Phase Curve SNR 1.695-1.7375um,Full Phase Curve SNR 1.7375-1.78um,Full Phase Curve SNR 1.78-1.8225um,Full Phase Curve SNR 1.8225-1.865um,Full Phase Curve SNR 1.865-1.9075um,Full Phase Curve SNR 1.9075-1.95um
0,TOI-5704b,0.0026530006423539612,0.00378799781987149,0.005259465463979946,0.007122048877210717,0.009429813697317616,0.012234824108805156,0.01558585368643344,0.01952727437797443,0.024098151368633924,0.029331555793720196,0.03525409421034872,0.04188564365763949,0.04923927394678847,0.05732133423579124,0.06613167855585554,0.0756640043275407,0.08590627860587288,0.09684122843805183,0.10844687397422773,0.1206970855719149
1,TOI-672b,8.425142176951663e-05,0.0001447730504897824,0.0002388170247861037,0.00037979093565938175,0.0005844116581649089,0.0008729272868563615,0.001269229374977266,0.001800845912394215,0.0024988131065724244,0.003397431032901412,0.004533914100270543,0.005947951753938932,0.0076811978184932045,0.009776708425814754,0.012278348736914468,0.015230187873882313,0.018675899876200136,0.022658186329779607,0.0272182338124313,0.03239521664961909
2,TOI-199b,1.1610191845622567e-11,3.773498465800811e-11,1.1262452099078379e-10,3.1136520582992693e-10,8.033994657361643e-10,1.9475164194838716e-09,4.461006495697835e-09,9.705153470231688e-09,2.0144191055644608e-08,4.0051163623633687e-08,7.655051876020909e-08,1.411021335614904e-07,2.515431098461422e-07,4.3481040146563004e-07,7.304677569044782e-07,1.1951535989685308e-06,1.9080518909197945e-06,2.9774659186456315e-06,4.54854599230526e-06,6.8121875830170475e-06
3,WASP-176b,1.2872273509811873,1.4937887118345339,1.7103476592128255,1.9349947626982988,2.1658487503238635,2.4010980209733295,2.639031576636653,2.8780606511846134,3.116732440393094,3.3537373324473094,3.5879109491274566,3.818232172252265,4.043818173708633,4.26391730787142,4.477900573272852,4.685252212196595,4.885559895376183,5.078504834956372,5.263852081757952,5.441441191329941
4,TOI-1801b,4.5447085692859736e-08,1.0044743096961464e-07,2.094186531902177e-07,4.14319805284463e-07,7.819158218688584e-07,1.4140409741143004e-06,2.460212568439965e-06,4.13253090310025e-06,6.7226367584730784e-06,1.0620337047902839e-05,1.633336764337408e-05,2.4507651884281416e-05,3.59473419851167e-05,5.1633902246218105e-05,7.2743507295571e-05,0.00010066208175149162,0.0001369973933511769,0.00018358772182817772,0.00024250675209330213,0.0003160644741753623
5,TOI-836c,2.4712374268097796e-05,4.37657532688859e-05,7.42463630799379e-05,0.00012119032901412845,0.00019106890550930303,0.00029194755327093425,0.0004336056701863724,0.0006276085371921606,0.0008873261259060248,0.0012278966476561056,0.0016661358036608718,0.0022203953974743954,0.0029103771481351357,0.0037569091262278824,0.004781693219189275,0.006007032458327727,0.007455546981648337,0.00914988695458066,0.011112450021731354,0.013365109910447124
6,TOI-3807b,1.675289089212059,1.9663651812397183,2.275367644626952,2.5997133220941055,2.9367618185319557,3.283887277472758,3.6385360176156842,3.99827091353545,4.360803868456007,4.724017951443353,5.085980827164125,5.444951050343079,5.7993786727882215,6.147901450242765,6.489337761714315,6.822677180214328,7.147069470294098,7.461812639620114,7.766340541486974,8.060210413132918
7,TOI-4087b,0.5748815804901765,0.7006461271446912,0.8395919812418684,0.9910099296729109,1.1540188017693351,1.327605175198089,1.5106611080432037,1.7020186538892121,1.9004804219310152,2.104845841908913,2.313933091023212,2.5265968500180036,2.7417421936789315,2.958335002295869,3.1754093190123807,3.392072085231404,3.607505672021082,3.8209685973704786,4.031794782967635,4.2393916641739775
8,TOI-2818b,0.5073724221088975,0.6284031062367254,0.7643863075267642,0.9149342896410068,1.0794348035534096,1.2570867633689404,1.446936988053564,1.647916158167002,1.858872651509314,2.0786033699990654,2.3058810403268843,2.539477762506831,2.7781847996020126,3.0208287582453286,3.2662844139027327,3.5134844977357718,3.761426793042696,4.009178896899576,4.255880993658233,4.50074696689452
9,TOI-3235b,5.75137781924829e-05,0.00010649846988710597,0.0001883362790394026,0.0003195980699542875,0.0005225689489018231,0.0008262552031830392,0.0012673159342542067,0.0018908643947159473,0.002751090980600431,0.003911670027676938,0.005445924764043131,0.0074367377430700635,0.00997620672985492,0.01316505747798272,0.017111834509684096,0.021931898555240595,0.027746264596030672,0.03468031755064347,0.04286244373837351,0.05242261562833203
