,Planet Name,TSM Estimate 0.6-0.647um,TSM Estimate 0.647-0.694um,TSM Estimate 0.694-0.741um,TSM Estimate 0.741-0.788um,TSM Estimate 0.788-0.835um,TSM Estimate 0.835-0.882um,TSM Estimate 0.882-0.929um,TSM Estimate 0.929-0.976um,TSM Estimate 0.976-1.023um,TSM Estimate 1.023-1.07um,TSM Estimate 1.07-1.117um,TSM Estimate 1.117-1.164um,TSM Estimate 1.164-1.211um,TSM Estimate 1.211-1.258um,TSM Estimate 1.258-1.305um,TSM Estimate 1.305-1.352um,TSM Estimate 1.352-1.399um,TSM Estimate 1.399-1.446um,TSM Estimate 1.446-1.493um,TSM Estimate 1.493-1.54um,TSM Estimate 1.54-1.587um,TSM Estimate 1.587-1.634um,TSM Estimate 1.634-1.681um,TSM Estimate 1.681-1.728um,TSM Estimate 1.728-1.775um,TSM Estimate 1.775-1.822um,TSM Estimate 1.822-1.869um,TSM Estimate 1.869-1.916um,TSM Estimate 1.916-1.963um,TSM Estimate 1.963-2.01um,TSM Estimate 2.01-2.057um,TSM Estimate 2.057-2.104um,TSM Estimate 2.104-2.151um,TSM Estimate 2.151-2.198um,TSM Estimate 2.198-2.245um,TSM Estimate 2.245-2.292um,TSM Estimate 2.292-2.339um,TSM Estimate 2.339-2.386um,TSM Estimate 2.386-2.433um,TSM Estimate 2.433-2.48um,TSM Estimate 2.48-2.527um,TSM Estimate 2.527-2.574um,TSM Estimate 2.574-2.621um,TSM Estimate 2.621-2.668um,TSM Estimate 2.668-2.715um,TSM Estimate 2.715-2.762um,TSM Estimate 2.762-2.809um,TSM Estimate 2.809-2.856um,TSM Estimate 2.856-2.903um,TSM Estimate 2.903-2.95um,TSM Estimate 2.95-2.997um,TSM Estimate 2.997-3.044um,TSM Estimate 3.044-3.091um,TSM Estimate 3.091-3.138um,TSM Estimate 3.138-3.185um,TSM Estimate 3.185-3.232um,TSM Estimate 3.232-3.279um,TSM Estimate 3.279-3.326um,TSM Estimate 3.326-3.373um,TSM Estimate 3.373-3.42um,TSM Estimate 3.42-3.467um,TSM Estimate 3.467-3.514um,TSM Estimate 3.514-3.561um,TSM Estimate 3.561-3.608um,TSM Estimate 3.608-3.655um,TSM Estimate 3.655-3.702um,TSM Estimate 3.702-3.749um,TSM Estimate 3.749-3.796um,TSM Estimate 3.796-3.843um,TSM Estimate 3.843-3.89um,TSM Estimate 3.89-3.937um,TSM Estimate 3.937-3.984um,TSM Estimate 3.984-4.031um,TSM Estimate 4.031-4.078um,TSM Estimate 4.078-4.125um,TSM Estimate 4.125-4.172um,TSM Estimate 4.172-4.219um,TSM Estimate 4.219-4.266um,TSM Estimate 4.266-4.313um,TSM Estimate 4.313-4.36um,TSM Estimate 4.36-4.407um,TSM Estimate 4.407-4.454um,TSM Estimate 4.454-4.501um,TSM Estimate 4.501-4.548um,TSM Estimate 4.548-4.595um,TSM Estimate 4.595-4.642um,TSM Estimate 4.642-4.689um,TSM Estimate 4.689-4.736um,TSM Estimate 4.736-4.783um,TSM Estimate 4.783-4.83um,TSM Estimate 4.83-4.877um,TSM Estimate 4.877-4.924um,TSM Estimate 4.924-4.971um,TSM Estimate 4.971-5.018um,TSM Estimate 5.018-5.065um,TSM Estimate 5.065-5.112um,TSM Estimate 5.112-5.159um,TSM Estimate 5.159-5.206um,TSM Estimate 5.206-5.253um,TSM Estimate 5.253-5.3um
0,TOI-5704b,27.249639110674867,28.145240383210766,28.696489073830183,28.969026127089506,29.01954372809038,28.89564536649813,28.63656982755239,28.274252741855715,27.83445051142657,27.33779402560567,26.800717565351853,26.23624904927938,25.6546676563992,25.06404337717464,24.47067560608789,23.87944751071617,23.29411123477561,22.717516878867045,22.1517960836601,21.598509111424608,21.058762654081768,20.533304197421632,20.02259762082008,19.526883777462263,19.046229047452055,18.58056425317316,18.12971584476498,17.693430879843675,17.271397016068534,16.86325849193332,16.4686288774602,16.087101222091718,15.718256103898508,15.361667985800663,15.01691020575909,14.683558864791879,14.361195826015575,14.049410997189325,13.74780403644535,13.455985594430569,13.173578184712243,12.900216757006909,12.635549033773332,12.379235659338837,12.13095020148906,11.890379037930794,11.657221153917636,11.431187872339965,11.212002533507519,10.999400138532195,10.793126967506955,10.592940181458026,10.398607415238835,10.209906367057112,10.026624389117249,9.848558082877139,9.675512901617887,9.507302762370111,9.343749668712114,9.184683345527603,9.029940886462114,8.879366414540332,8.73281075618544,8.590131128701257,8.451190841143136,8.315859008391289,8.184010278158343,8.055524570600731,7.930286830155019,7.808186789188954,7.689118743034552,7.5729813359585485,7.459677357616116,7.349113549538036,7.241200421201006,7.135852075241735,7.032986041381491,6.93252311864358,6.834387225457867,6.738505257259053,6.644806951203897,6.553224757646125,6.463693718021739,6.3761513488162,6.290537531298531,6.206794406720891,6.124866276700012,6.044699508509376,5.966242445023394,5.889445319071001,5.814260171967281,5.7406407760024525,5.6685425606821065,5.597922542522106,5.528739258210854,5.460952700964357,5.394524259907675,5.329416662324056,5.2655939186243135,5.203021269895717
1,TOI-672b,47.24417237991451,50.67124010669943,53.37355005889872,55.430277954336404,56.925653948116704,57.94149253383717,58.55325457555348,58.82831101748177,58.825514078639294,58.595499262343935,58.181358729218964,57.61946947814912,56.94035113163054,56.16948511223802,55.32806168284032,54.43364182340654,53.50073255562909,52.541280529503794,51.565091626228494,50.580185368872876,49.593092905264854,48.60910674594221,47.632489606774136,46.666648795730865,45.714281692580755,44.777497047931334,43.85791609503398,42.95675682916891,42.07490426163739,41.21296899056373,40.371336039269764,39.550205585145946,38.74962692842037,37.96952682259786,37.20973309926246,36.469994363033756,35.74999640231983,35.0493758535924,34.36773156739685,33.70463405001815,33.0596332930469,32.43226525183688,31.822057191204003,31.228532081226426,30.651212196427245,30.08962204693189,29.543290749581605,29.011753929749638,28.494555230169595,27.99124749099555,27.5013936551719,27.024567444662857,26.560353845931985,26.108349437037308,25.668162583623044,25.239413526811934,24.821734382393007,24.4147690676435,24.018173169549396,23.63161376601298,23.254769209786154,22.887328883310637,22.528992931328897,22.17947197700111,21.838486826327003,21.505768164859088,21.181056250017587,20.864100601743623,20.554659693734305,20.252500647094386,19.957398927889486,19.669138049793887,19.387509282768907,19.112311368511133,18.84335024322208,18.58043876811307,18.323396467925058,18.072049277650557,17.826229297554676,17.585774556517002,17.350528783666935,17.120341188233038,16.895066247484362,16.674563502619602,16.45869736243128,16.247336914549308,16.04035574406261,15.837631759302619,15.639047024562002,15.444487599525187,15.253843385181456,15.067007975987222,14.883878518053304,14.70435557313141,14.528342988174343,14.355747770255988,14.186479966638473,14.02045254977596,13.85758130705756,13.697784735094158
2,TOI-199b,63.95419455543681,64.65759602958627,64.72086084725113,64.29936812057775,63.51733022616327,62.47252601125188,61.24110739849731,59.881910424655054,58.44009258969065,56.95009848737143,55.43802885377735,53.923509466785205,52.421154163993215,50.94170482782402,49.49291731909984,48.08024905124834,46.70739234151804,45.37668812113913,44.089446913266016,42.846197933364884,41.64688244181508,40.4910038155379,39.37774397671617,38.30605363636302,37.27472213104207,36.282431336948484,35.32779714744919,34.40940122923043,33.52581517567321,32.675618713610675,31.857413260323018,31.069831847890843,30.311546213770054,29.581271685776386,28.87777035594614,28.199852932754396,27.54637957858111,26.916259974247293,26.308452801090567,25.721964790454315,25.155849458350303,24.60920561761764,24.08117573972797,23.57094422239639,23.077735606473674,22.60081277552748,22.139475163547637,21.693056989897535,21.260925535634783,20.84247947138784,20.43714724387916,20.04438552575216,19.663677731469154,19.294532600583874,18.936482848560946,18.58908388446264,18.251912594185306,17.924566187454506,17.606661106456237,17.297831993756457,16.997730717012836,16.706025447906068,16.42239979269255,16.146551971783563,15.878194045804044,15.617051185638367,15.362860984050391,15.115372806554708,14.874347179307346,14.63955521188656,14.410778052935225,14.187806376740426,13.970439898920683,13.758486919499276,13.551763891730007,13.350095015141768,13.153311851349763,12.961252961274482,12.773763562487176,12.590695205474805,12.41190546769724,12.237257664375134,12.066620575009498,11.899868184701658,11.736879439396986,11.5775380142275,11.421732094185428,11.26935416640482,11.120300823370531,10.974472576421773,10.831773678954036,10.692111958757517,10.555398658970349,10.42154828715449,10.290478472029926,10.162109827436634,10.036365823117327,9.913172661936729,9.79245916318124,9.674156651602015
3,WASP-176b,49.54857733645722,49.26219298596963,48.607205893238806,47.6938853340782,46.6054046256821,45.403857774479384,44.13521402376569,42.833232239782824,41.52248241676147,40.22064686702314,38.94025938802692,37.690014150265625,36.47574872811696,35.301181831019896,34.1684669231485,33.078607797905946,32.03177062522803,31.027518282460623,30.0649862618266,29.14301458681591,28.260246550095786,27.415202389657168,26.606334009827208,25.832065352287238,25.090821898118428,24.381051938150033,23.70124161387968,23.049925252000232,22.425692152903682,21.827190718356878,21.25313059420713,20.702283344354743,20.17348205025058,19.665620136769604,19.177649653675132,18.708579186868306,18.25747153130615,17.823441224924267,17.405652017853196,17.00331433194088,16.615682750781506,16.242053569083243,15.881762421497331,15.53418200439021,15.19871989899715,14.874816500584119,14.561943055397451,14.25959980507463,13.967314236650562,13.684639435201648,13.411152535416834,13.146453267885846,12.890162595598548,12.641921436001756,12.401389463918928,12.168243990684248,11.942178914948062,11.722903740753763,11.510142658662168,11.30363368589391,11.103127861660596,10.908388494064635,10.719190455157209,10.535319520943933,10.356571753332101,10.18275292120097,10.013677957961923,9.849170453151096,9.689062175760034,9.533192627167603,9.381408621682713,9.233563892846218,9.089518723765105,8.949139599878308,8.812298882660112,8.678874502876257,8.548749672100135,8.4218126112918,8.297956295324308,8.177078212417864,8.059080137518926,7.943867918726336,7.831351275927125,7.721443610866381,7.614061827927201,7.509126164944613,7.406560033427464,7.306289867602909,7.208244981736297,7.112357435219605,7.018561904954007,6.926795564582056,6.836997970158149,6.749110951871279,6.663078511458026,6.57884672497067,6.496363650585492,6.4155792411552275,6.3364452612318205,6.258915208301591
4,TOI-1801b,22.938034866957068,24.470630967554182,25.656558297420577,26.537787291734546,27.157134556432567,27.555117307402227,27.768416493731564,27.82931050863072,27.765663256164355,27.601205484708032,27.355951261606716,27.046657450835323,26.687275204776938,26.28936749740583,25.862481511476016,25.414473116035786,24.951785212513073,24.479683950356414,24.002457687358696,23.523583689693044,23.045867290508998,22.571557765137644,22.102444656866155,21.639937766470172,21.1851335351854,20.7388701193755,20.301773079834582,19.874293287630053,19.456738376986227,19.049298848134526,18.65206973331752,18.265068581583545,17.888250387543188,17.521519981404115,17.164742308545275,16.817750953390274,16.480355201674612,16.15234588512865,15.833500211243,15.523585746597059,15.222363693958636,14.929591579952524,14.645025450686362,14.368421656621681,14.099538294602374,13.838136363823082,13.583980683257241,13.336840610342236,13.096490594269403,12.862710591841592,12.635286369356773,12.414009710199911,12.198678544664103,11.989097015870005,11.785075493420889,11.586430544559445,11.392984871018246,11.204567218427067,11.021012264024765,10.842160487483861,10.667858028859884,10.49795653700986,10.332313011262025,10.170789638638405,10.013253628536045,9.859577046429681,9.709636647875385,9.56331371385531,9.420493888299026,9.281067018448448,9.144926998590114,9.011971617559926,8.882102410321535,8.75522451384143,8.63124652740893,8.510080377496008,8.391641187199307,8.275847150272298,8.162619409721454,8.051881940912232,7.943561439114143,7.83758721139545,7.733891072763374,7.632407246439896,7.533072268153889,7.435824894323504,7.340606014003192,7.247358564465964,7.156027450289147,7.0665594658159465,6.978903220864421,6.8930090695556965,6.808829042139135,6.726316779693133,6.645427471581796,6.56611779555436,6.488345860376163,6.412071150881866,6.337254475348801,6.2638579150901705
5,TOI-836c,43.893795555388074,45.40102060829156,46.347082391903776,46.83718570329865,46.962705707694376,46.80071216084653,46.414971637101736,45.85755431541721,45.17058228635553,44.38789161210794,43.53651042655631,42.637924252521216,41.709133998574046,40.763527345719204,39.81158937443944,38.8614783352487,37.91949018986044,36.990432415945726,36.07792432439246,35.184638134717524,34.31249242966899,33.46280739255955,32.63642939663787,31.833831019334397,31.05519134437263,30.300460442418956,29.569411142503746,28.86168058463066,28.176803547874382,27.51423915259098,26.873392219707473,26.253630318078983,25.654297329557174,25.074724200314698,24.514237417911783,23.9721656500357,23.447844897612566,22.940622448001307,22.449859859968083,21.974935168513042,21.515244462341798,21.070202958194223,20.639245673049636,20.22182777639135,19.817424689391455,19.425531985390002,19.04566513586865,18.677359137815397,18.32016805158798,17.97366447284029,17.63743895754347,17.311099415418283,16.994270484062106,16.686592893571962,16.387722829429542,16.09733129975557,15.815103511686972,15.540738260520154,15.273947334365321,15.014454936327203,14.761997125630911,14.51632127863529,14.2771855702942,14.044358476312588,13.817618296008096,13.596752695690869,13.381558272227828,13.171840136344871,12.967411515131296,12.768093373150665,12.573714051517983,12.384108924276457,12.199120071385495,12.01859596763331,11.842391186781565,11.670366120263335,11.502386709761305,11.338324193015822,11.178054862228093,11.02145983444173,10.868424833313593,10.718839981704704,10.572599604542946,10.429602041438029,10.28974946854985,10.152947729231924,10.01910617299945,9.888137502390821,9.759957627310468,9.634485526466488,9.511643115533861,9.391355121690763,9.273548964198696,9.158154640711883,9.045104619016179,8.9343337339178,8.825779089015267,8.719379963099888,8.615077720948273,8.512815728280891
6,TOI-3807b,50.354719327206034,50.25040519512687,49.74079713834852,48.94111707478954,47.939434136416594,46.80232382402739,45.57968614016818,44.308639789614716,43.01657999865245,41.72353960126373,40.44399426646922,39.188234948179506,37.963408140784914,36.77430323120039,35.62394817306584,34.51406019076618,33.44538689987244,32.41796455652923,31.43131357074627,30.48458645991259,29.57667969169986,28.706318066883725,27.872118190583038,27.072635999738317,26.306402123916985,25.57194795758728,24.867824641713753,24.19261663638364,23.544951173552494,22.923504579569194,22.327006228195046,21.75424070936427,21.204048664146573,20.675326632605195,20.167026181221317,19.678152514735388,19.20776272942475,18.75496382780058,18.31891058600297,17.898803342911965,17.493885762740117,17.103442609505795,16.726797561435756,16.363311085356372,16.012378384978664,15.673427432253739,15.345917087370276,15.029335310231952,14.723197464192994,14.4270447113055,14.14044249721915,13.862979123074828,13.594264401187052,13.333928390953279,13.081620211211945,12.837006925170455,12.599772494006823,12.369616795288023,12.146254702437444,11.929415221605009,11.718840682432122,11.51428597936083,11.315517860302519,11.122314259644199,10.934463672744139,10.75176456922928,10.574024842570312,10.401061293567283,10.232699145525459,10.068771589045692,9.90911935448842,9.753590310299796,9.602039085505025,9.454326714793659,9.31032030472228,9.169892719664773,9.032922286228143,8.899292514944376,8.768891838127626,8.641613362859495,8.51735463814037,8.396017435307847,8.277507540882587,8.161734561062893,8.048611737139947,7.938055771152803,7.829986661152093,7.724327545481501,7.621004555523933,7.519946676399619,7.421085615135638,7.324355675856162,7.229693641575989,7.137038662205306,7.046332148397538,6.957517670899312,6.870540865081849,6.785349340351943,6.701892594163355,6.620121930365306
7,TOI-4087b,58.90869992519486,58.42281271939023,57.52336159412668,56.33864846722273,54.96457333910743,53.47211050299686,51.91334351687631,50.326166417556585,48.737873331862396,47.16786812709903,45.62969675251379,44.132566474601596,42.68247985588726,41.28308082850105,39.936286056686775,38.64275623590857,37.40224798843932,36.213876572183,35.076311865334915,33.987924346283414,32.946893536662465,31.95128822581954,30.999125457797366,30.088413523818854,29.217182907363902,28.383508160042823,27.58552296002265,26.821430058516132,26.089507407949842,25.388111454014307,24.715678337745008,24.07072357444635,23.45184063974006,22.857698788874725,22.287040355889754,21.73867771839668,21.211490067178694,20.704420084171872,20.21647060511633,19.746701322301448,19.294225566906366,18.85820719831071,18.437857618541052,18.032432923070218,17.64123119397434,17.263589937571727,16.898883665822762,16.54652161871624,16.205945623413538,15.876628084937495,15.558070102560183,15.249799705671139,14.9513702027404,14.662358636971103,14.382364342319093,14.111007593722643,13.847928345604483,13.592785052957824,13.345253569604635,13.105026118502568,12.871810329263655,12.645328338337915,12.425315947599172,12.211521837338422,12.003706829938768,11.801643200750519,11.605114032924577,11.41391261318697,11.227841865744994,11.04671382171476,10.870349121643876,10.69857654887676,10.531232591666052,10.368161032089741,10.209212559966224,10.054244410093833,9.903120021255257,9.7557087155441,9.611885396671079,9.471530266000313,9.334528555159519,9.20077027414699,9.070149973932036,8.942566522620249,8.81792289431759,8.696125969885344,8.577086348838316,8.460718171687763,8.346938952076675,8.235669418103411,8.126833362268723,8.020357499517361,7.9161713328849075,7.814207026291136,7.714399284049883,7.616685236697436,7.521004332765838,7.427298236149957,7.335510728743713,7.2455876180398295
8,TOI-2818b,80.61282534109311,80.54005391244256,79.80335331205015,78.5886051199816,77.03847116175164,75.2612082745593,73.33826011924842,71.33044015765383,69.2828140536622,67.22848641720707,65.19150679843003,63.18908610930445,61.23328139976786,59.33227440871975,57.491341271732225,55.71358800078857,54.00050846976814,52.352407864080675,50.76872406186293,49.24827147710789,47.78942591116334,46.39026445397854,45.04867108484081,43.76241606649905,42.5292152974862,41.34677432844225,40.21282064221837,39.12512695701452,38.08152767141392,37.07993008103275,36.11832162192608,35.194774108368,34.30744571141971,33.454581254134105,32.634511267496414,31.845650149248833,31.08649368872607,30.355616159527596,29.651667134247617,28.973368138485142,28.31950923261554,27.688945587480017,27.080594102811816,26.493430103792786,25.92648414075332,25.37883890902032,24.84962629977991,24.338024588140676,23.84325576102951,23.364582984898238,22.901308211257415,22.45276991662372,22.01834097246509,21.597426640049594,21.189462684667262,20.79391360345645,20.410270960973797,20.038051826654403,19.676797308405494,19.326071176731197,18.985458573973705,18.65456480347944,18.333014193739594,18.02044903279397,17.716528568447206,17.420928070088138,17.133337948151695,16.853462927502544,16.58102127124522,16.315744051688313,16.057374465399217,15.805667189486737,15.560387776430142,15.321312084960317,15.088225744655944,14.86092365208168,14.639209496433276,14.422895312799742,14.211801061276987,14.005754230282811,13.804589462542092,13.60814820231043,13.416278362498392,13.228834010454781,13.045675071247897,12.866667047358092,12.691680753774381,12.520592067551322,12.353281690942529,12.189634927291422,12.029541468910923,11.872895196231275,11.719593987548274,11.56953953874446,11.422637192393916,11.278795775704795,11.137927446785934,10.999947548753964,10.864774471233593,10.732329518829008
9,TOI-3235b,34.54310190982513,37.92957851850499,40.77393413800849,43.10472985769627,44.965403635675656,46.40596172670553,47.47768551828459,48.22996245622601,48.70854787258797,48.95475462392655,49.005221094681154,48.8920225223921,48.64297180035692,48.282011742209555,47.82963827887029,47.30331872919197,46.717885211649914,46.08589332832055,45.417942445081565,44.722957564289324,44.0084348423677,43.280653843238454,42.54486003123614,41.80542104784683,41.06596014756541,40.329469891425916,39.5984088751611,38.874783939929024,38.16021999837562,37.45601931855841,36.763211847700596,36.08259792791903,35.4147845558508,34.76021616521398,34.11920076304994,33.49193212380904,32.878508637748595,32.27894931874861,31.693207399269205,31.12118187470166,30.56272730403186,30.017662126979197,29.48577571825788,28.966834366226074,28.460586334969804,27.9667661449937,27.48509818749695,27.015299770112637,26.557083677487856,26.110160317791962,25.674239515808843,25.249032004396362,24.834250658560588,24.42961150997841,24.03483457432926,23.649644519138718,23.273771195861524,22.906950056527542,22.548922472372478,22.1994359693924,21.858244393627157,21.525108017156878,21.199793594235423,20.882074375633422,20.571730088122376,20.26854688503188,19.972317272965107,19.682840019027516,19.399920042289093,19.123368292661716,18.853001619905726,18.588642635080205,18.33011956639756,18.07726611115654,17.8299212851601,17.587929270812808,17.351139264891916,17.119405326832588,16.892586228222275,16.670545304073904,16.453150306352175,16.240273260133392,16.031790322699138,15.827581645806484,15.627531241317644,15.431526850320157,15.239459815836499,15.051224959183028,14.866720460006029,14.685847740005348,14.50851135033195,14.33461886262505,14.164080763647798,13.996810353464967,13.832723647093626,13.67173927955701,13.51377841426256,13.358764654617152,13.206623958796097,13.057284557576617
