,Planet Name,Full Phase Curve SNR 0.6-0.647um,Full Phase Curve SNR 0.647-0.694um,Full Phase Curve SNR 0.694-0.741um,Full Phase Curve SNR 0.741-0.788um,Full Phase Curve SNR 0.788-0.835um,Full Phase Curve SNR 0.835-0.882um,Full Phase Curve SNR 0.882-0.929um,Full Phase Curve SNR 0.929-0.976um,Full Phase Curve SNR 0.976-1.023um,Full Phase Curve SNR 1.023-1.07um,Full Phase Curve SNR 1.07-1.117um,Full Phase Curve SNR 1.117-1.164um,Full Phase Curve SNR 1.164-1.211um,Full Phase Curve SNR 1.211-1.258um,Full Phase Curve SNR 1.258-1.305um,Full Phase Curve SNR 1.305-1.352um,Full Phase Curve SNR 1.352-1.399um,Full Phase Curve SNR 1.399-1.446um,Full Phase Curve SNR 1.446-1.493um,Full Phase Curve SNR 1.493-1.54um,Full Phase Curve SNR 1.54-1.587um,Full Phase Curve SNR 1.587-1.634um,Full Phase Curve SNR 1.634-1.681um,Full Phase Curve SNR 1.681-1.728um,Full Phase Curve SNR 1.728-1.775um,Full Phase Curve SNR 1.775-1.822um,Full Phase Curve SNR 1.822-1.869um,Full Phase Curve SNR 1.869-1.916um,Full Phase Curve SNR 1.916-1.963um,Full Phase Curve SNR 1.963-2.01um,Full Phase Curve SNR 2.01-2.057um,Full Phase Curve SNR 2.057-2.104um,Full Phase Curve SNR 2.104-2.151um,Full Phase Curve SNR 2.151-2.198um,Full Phase Curve SNR 2.198-2.245um,Full Phase Curve SNR 2.245-2.292um,Full Phase Curve SNR 2.292-2.339um,Full Phase Curve SNR 2.339-2.386um,Full Phase Curve SNR 2.386-2.433um,Full Phase Curve SNR 2.433-2.48um,Full Phase Curve SNR 2.48-2.527um,Full Phase Curve SNR 2.527-2.574um,Full Phase Curve SNR 2.574-2.621um,Full Phase Curve SNR 2.621-2.668um,Full Phase Curve SNR 2.668-2.715um,Full Phase Curve SNR 2.715-2.762um,Full Phase Curve SNR 2.762-2.809um,Full Phase Curve SNR 2.809-2.856um,Full Phase Curve SNR 2.856-2.903um,Full Phase Curve SNR 2.903-2.95um,Full Phase Curve SNR 2.95-2.997um,Full Phase Curve SNR 2.997-3.044um,Full Phase Curve SNR 3.044-3.091um,Full Phase Curve SNR 3.091-3.138um,Full Phase Curve SNR 3.138-3.185um,Full Phase Curve SNR 3.185-3.232um,Full Phase Curve SNR 3.232-3.279um,Full Phase Curve SNR 3.279-3.326um,Full Phase Curve SNR 3.326-3.373um,Full Phase Curve SNR 3.373-3.42um,Full Phase Curve SNR 3.42-3.467um,Full Phase Curve SNR 3.467-3.514um,Full Phase Curve SNR 3.514-3.561um,Full Phase Curve SNR 3.561-3.608um,Full Phase Curve SNR 3.608-3.655um,Full Phase Curve SNR 3.655-3.702um,Full Phase Curve SNR 3.702-3.749um,Full Phase Curve SNR 3.749-3.796um,Full Phase Curve SNR 3.796-3.843um,Full Phase Curve SNR 3.843-3.89um,Full Phase Curve SNR 3.89-3.937um,Full Phase Curve SNR 3.937-3.984um,Full Phase Curve SNR 3.984-4.031um,Full Phase Curve SNR 4.031-4.078um,Full Phase Curve SNR 4.078-4.125um,Full Phase Curve SNR 4.125-4.172um,Full Phase Curve SNR 4.172-4.219um,Full Phase Curve SNR 4.219-4.266um,Full Phase Curve SNR 4.266-4.313um,Full Phase Curve SNR 4.313-4.36um,Full Phase Curve SNR 4.36-4.407um,Full Phase Curve SNR 4.407-4.454um,Full Phase Curve SNR 4.454-4.501um,Full Phase Curve SNR 4.501-4.548um,Full Phase Curve SNR 4.548-4.595um,Full Phase Curve SNR 4.595-4.642um,Full Phase Curve SNR 4.642-4.689um,Full Phase Curve SNR 4.689-4.736um,Full Phase Curve SNR 4.736-4.783um,Full Phase Curve SNR 4.783-4.83um,Full Phase Curve SNR 4.83-4.877um,Full Phase Curve SNR 4.877-4.924um,Full Phase Curve SNR 4.924-4.971um,Full Phase Curve SNR 4.971-5.018um,Full Phase Curve SNR 5.018-5.065um,Full Phase Curve SNR 5.065-5.112um,Full Phase Curve SNR 5.112-5.159um,Full Phase Curve SNR 5.159-5.206um,Full Phase Curve SNR 5.206-5.253um,Full Phase Curve SNR 5.253-5.3um
601,TOI-1842b,0.01011362202496483,0.02467136567658504,0.05308803364515754,0.10313857258351827,0.1841870147112972,0.3066268083199392,0.4811864827536454,0.7182141226716753,1.0270340172881394,1.4154367663988783,1.8893313902593043,2.4525611819061015,3.106866605275324,3.851968230536615,4.685738919531937,5.6044352543607445,6.602961721993676,7.6751459956209285,8.814008787581377,10.012016565321412,11.261309588178186,12.553901109415326,13.881846194569569,15.237380506638706,16.613030707993385,18.00169894428854,19.396724317653906,20.791924422445653,22.18161998812664,23.560645515453434,24.924348554233983,26.268579990870137,27.589677418561738,28.884443370900737,30.150119922693378,31.384360907435784,32.585202772648806,33.75103489353093,34.880569991704604,35.972815157728235,37.027043851457805,38.042769150853175,39.01971843492532,39.95780961778983,40.85712899591137,41.7179107274636,42.54051792942041,43.325425352850196,44.07320357843314,44.78450466123964,45.460049145216395,46.100614362710054,46.70702393199845,47.280138365558216,47.82084670314484,48.330059086316986,48.80870019444174,49.257703466188424,49.67800603487326,50.07054431057005,50.43625014650613,50.77604753185332,51.09084975751244,51.38155700579103,51.6490543190258,51.894209906087156,52.11787374938268,52.320876478413496,52.50402847911431,52.66811921116592,52.8139167081887,52.942167238231384,53.05359510423513,53.14890256627802,53.22876986927774,53.29385536158885,53.34479569147357,53.3822060698763,53.406680589205195,53.41879258897271,53.41909506021816,53.40812108156379,53.38638428058883,53.354379314991235,53.312582368672864,53.2614516584811,53.2014279479095,53.132935064531885,53.05638041836665,52.972155518777456,52.88063648784791,52.78218456845849,52.677146625590694,52.56585563960828,52.44863119046487,52.32577993199873,52.1975960556262,52.06436174287755,51.92634760637023,51.783813118911965
602,Kepler-1517b,7.495517284335479,10.757028915362328,14.577061739846254,18.860395169249173,23.497556828705264,28.376198400793363,33.38929757169825,38.44037411942104,43.44626318057503,48.33807611729373,53.06092753075366,57.572898812473305,61.84359071580614,65.85251203590742,69.58746663051136,73.04303728681546,76.21921962709807,79.12022859757556,81.75348043448311,84.1287412261421,86.2574268305423,88.15203612629003,89.82569904990555,91.2918216870439,92.56381222235241,93.65487341141525,94.5778491686255,95.34511471951579,95.9685014657953,96.45924922045747,96.82797978015851,97.08468691984555,97.23873883601031,97.29888984940807,97.2732988261689,97.1695523076844,96.99469077262273,96.75523680517402,96.45722422620946,96.10622747047059,95.7073906734616,95.26545607487769,94.784791458223,94.2694164346555,93.7230274478047,93.14902142921699,92.55051807445075,91.93038074021072,91.29123598533674,90.63549179469128,89.96535453633904,89.28284470993687,88.58981154887296,87.88794654107868,87.1787959340872,86.46377228933898,85.74416514923163,85.02115087822725,84.29580173672622,83.56909424352769,82.84191687961535,82.11507718288426,81.38930828031113,80.66527490095945,79.9435789102695,79.22476440318007,78.50932239091247,77.79769511366483,77.09028000900891,76.38743336350689,75.6894736729243,74.99668473443445,74.30931849232678,73.6275976570621,72.9517181158866,72.28185115178434,71.61814548615429,70.9607291593891,70.30971126236474,69.6651835307742,69.02722181330232,68.3958874237239,67.77122838617123,67.1532805820969,66.5420688067466,65.93760774230604,65.33990285433643,64.74895121755972,64.16474227654983,63.58725854646707,63.01647625854379,62.45236595463494,61.89489303483136,61.34401826179771,60.799698225190426,60.26188576927211,59.73053038657693,59.20557858024036,58.68697419742947,58.17465873610161
603,TOI-1231b,1.3657980799295427e-23,9.759573037542025e-22,4.034970813809684e-20,1.0637118656366385e-18,1.9282079816524562e-17,2.5508459462167903e-16,2.58282659697612e-15,2.0803152216082546e-14,1.3755769181746285e-13,7.664397081808974e-13,3.6773529985799934e-12,1.5472881540385338e-11,5.797988391034981e-11,1.960417670533512e-10,6.048681850318247e-10,1.719536992179713e-09,4.541861162228048e-09,1.1227603031265942e-08,2.6141533598927653e-08,5.7648399235338336e-08,1.2100085464727128e-07,2.42784170057241e-07,4.674727207706001e-07,8.667339669826441e-07,1.552170563360996e-06,2.6922102746901447e-06,4.533828857526992e-06,7.4297188036625914e-06,1.1871396631831923e-05,1.8528577095048756e-05,2.829494169062912e-05,4.2340201506212254e-05,6.216811284094128e-05,8.967986110903696e-05,0.00012724199690263292,0.0001777578992441586,0.00024474156462906413,0.00033239238377137317,0.0004456694758039386,0.0005903641042833604,0.000773168700539043,0.001001741065408652,0.0012847624062033926,0.0016319879865130777,0.0020542893159678764,0.002563686978608448,0.003173373385246402,0.003897724930476021,0.004752303232614923,0.005753845329217707,0.006920242887079653,0.008270510659799049,0.009824744584816388,0.011604070053037182,0.013630581006095143,0.01592727061816918,0.018517954400805108,0.021427186630724872,0.02468017104291398,0.028302666755491784,0.032320890400386194,0.03676141542627181,0.04165106951930447,0.0470168310546604,0.0528857254495959,0.059284722238381826,0.06624063363275204,0.07378001527000971,0.08192906978609246,0.09071355378406255,0.1001586887008383,0.11028907600757085,0.1211286171127265,0.1327004382725951,0.1450268207520057,0.15812913641924456,0.17202778890369105,0.18674216039308286,0.2022905640995389,0.21869020237971865,0.23595713045498304,0.2541062256418526,0.27315116197150313,0.29310439004954925,0.313977121983481,0.33577932118480996,0.35851969683626633,0.38220570280067834,0.4068435407373793,0.43243816718422273,0.45899330435777047,0.4865114544209866,0.5149939169668978,0.5444408094673769,0.5748510904385146,0.6062225850781601,0.6385520131362512,0.6718350187846145,0.7060662022603623,0.7412391530647704
604,Qatar-6b,0.00019914855528381758,0.0007015407795646562,0.00208088727738963,0.005363389526696815,0.01230843106136602,0.025635387197687813,0.04919844321933678,0.08807393025430875,0.14854084437141804,0.2379535226647534,0.3645211689414728,0.5370193965563769,0.7644635794771225,1.0557733845009054,1.4194538884304015,1.8633127572374137,2.394226430643934,3.0179620822647233,3.7390568911609328,4.5607521223834,5.484976698257011,6.5123732317943706,7.642358698745484,8.873211832619454,10.202179733861716,11.625596913017832,13.139010894588619,14.737309484042148,16.41484576685875,18.165557813517317,19.983080876777734,21.860850572025797,23.79219612366836,25.7704232440839,27.788886594764246,29.841052072978876,31.92054938362485,34.02121550705474,36.13712977112129,38.26264128993729,40.392389552230455,42.52131893666975,44.64468790688542,46.75807360070428,48.85737248088746,50.93879766197453,52.998873472540794,55.03442775639071,57.0425823615045,59.020742213096575,60.96658331768766,62.87803999910351,64.7532916250934,66.59074904488986,68.38904092344868,70.14700012724632,71.8636502891581,73.53819265585062,75.169993300097,76.75857076218122,78.30358416881221,79.80482186451978,81.26219057908864,82.67570514492802,84.04547877027126,85.37171386742448,86.65469342986096,87.89477294759169,89.09237284675415,90.2479714366844,91.36209834571164,92.43532842546941,93.46827610249119,94.46159015533162,95.4159488951406,96.33205572767908,97.21063507494328,98.05242863502838,98.85819195938336,99.62869132724126,100.36470089779206,101.06700012143065,101.73637139222151,102.37359792462316,102.97946183835334,103.55474243611418,104.10021465979986,104.61664771162037,105.10480382736465,105.56543718986826,105.9992929714833,106.40710649505486,106.78960250365581,107.14749452997017,107.48148435682012,107.79226156098105,108.08050313296613,108.34687316596784,108.59202260769689,108.81658906930056
605,TOI-559b,0.0014773988327953184,0.004235950059955379,0.010495552675202767,0.02308576822892258,0.0460247703896882,0.08453180893585284,0.14489298393767458,0.23420054179212388,0.3600056702040909,0.5299321384417639,0.7512952598024335,1.0307613980514998,1.3740713778367195,1.7858395163351966,2.2694302429522293,2.82690711073175,3.459044447848184,4.165389589615516,4.944363053070657,5.793384636937398,6.709014785125245,7.687102275142415,8.722931118268452,9.811361309735341,10.946959639812716,12.124118119105937,13.33715866897741,14.580423589890486,15.848351969460214,17.135542657483775,18.436804748442015,19.7471967029979,21.062055336108834,22.377015924108303,23.688024656270958,24.991344594008645,26.283556215655434,27.56155352660348,28.822536610692122,30.064001394563036,31.283727295926823,32.479763331809124,33.65041317535502,34.79421957047623,35.90994844277598,36.99657298265464,38.05325792194197,39.07934417828028,40.07433400116714,41.037876719417625,41.969755161151404,42.86987279358339,43.73824161031899,44.57497077794254,45.380256040912066,46.154369873697796,46.89765236130052,47.610502783377015,48.293371872897076,48.94675471727125,49.57118426796017,50.16722542354208,50.735469650881925,51.2765301092408,51.7910372428351,52.2796348083119,52.7429763048349,53.18172177587758,53.5965349533202,53.98808071603826,54.357022836786754,54.704021992811995,55.02973401720268,55.33480836959171,55.61988680630441,55.88560223153167,56.13257771246675,56.36142564269343,56.57274703934621,56.767130960720536,56.945154032138674,57.1073800688871,57.2543597859854,57.38663058546169,57.50471641261937,57.60912767352655,57.70036120669322,57.77890030253214,57.84521476478402,57.899761008662175,57.94298219096122,57.975308367819736,57.99715667627793,58.00893153614058,58.011024868994674,58.003816331579486,57.98767356098454,57.96295242940363,57.92999730644248,57.889141327183495
