,Planet Name,Full Phase Curve SNR 1.1-1.1566667um,Full Phase Curve SNR 1.1566667-1.2133333um,Full Phase Curve SNR 1.2133333-1.27um,Full Phase Curve SNR 1.27-1.3266667um,Full Phase Curve SNR 1.3266667-1.3833333um,Full Phase Curve SNR 1.3833333-1.44um,Full Phase Curve SNR 1.44-1.4966667um,Full Phase Curve SNR 1.4966667-1.5533333um,Full Phase Curve SNR 1.5533333-1.61um,Full Phase Curve SNR 1.61-1.6666667um,Full Phase Curve SNR 1.6666667-1.7233333um,Full Phase Curve SNR 1.7233333-1.78um,Full Phase Curve SNR 1.78-1.8366667um,Full Phase Curve SNR 1.8366667-1.8933333um,Full Phase Curve SNR 1.8933333-1.95um
0,TOI-5704b,0.003270062799303671,0.0051871444572781375,0.007851250468904109,0.011410808909881696,0.01600783645481635,0.02177177716641797,0.028814299143975333,0.037225687037796044,0.0470726755701035,0.058397128220034775,0.0712164163691134,0.08552470364387582,0.10129410319417578,0.11847743095532934,0.1370110744132311
1,TOI-672b,0.00010774458408211257,0.00021730795990404015,0.000409302373330149,0.0007264877545833148,0.0012243391932808434,0.001971589183708714,0.0030499846709041603,0.004553292616697061,0.006585633422268783,0.009259193819262278,0.012691603590221326,0.017003117210213213,0.022313573489647437,0.028739627223940956,0.036392218671171
2,TOI-199b,1.7175799953829823e-11,7.891129745918897e-11,3.145333128605693e-10,1.107853973691589e-09,3.5015978339616418e-09,1.006120230787613e-08,2.6571075375345688e-08,6.510602996905506e-08,1.4920697967122737e-07,3.220581468023318e-07,6.586854962984675e-07,1.2832386446273251e-06,2.3923342363615916e-06,4.2852825917388045e-06,7.401734765367648e-06
3,WASP-176b,1.5262322153858878,1.8495792868012952,2.191482533568837,2.5467642381534765,2.9104756545428216,3.278055129663576,3.6453959394135818,4.008913664368345,4.365563946107407,4.712794521039489,5.048544441801379,5.371209470883784,5.679553812982274,5.972700780868094,6.250091466569411
4,TOI-1801b,6.13515699211945e-08,1.7137948560745987e-07,4.342036463210171e-07,1.0105870136214085e-06,2.1838845820232444e-06,4.421389709394559e-06,8.450065769239791e-06,1.5344268158732084e-05,2.6621385729193396e-05,4.433963626453694e-05,7.11921825086727e-05,0.00011059147754287818,0.00016673678106828428,0.0002446619438921602,0.0003502600509062749
5,TOI-836c,3.181465173651672e-05,6.671744970775655e-05,0.00013018763011206466,0.00023864266229873,0.00041420836766030287,0.0006852952179450779,0.0010868561297449411,0.0016602992237473814,0.0024530569184103646,0.003517812550927862,0.0049114831635105535,0.006694018976530381,0.00892701781089342,0.011672362512647054,0.014990894289530265
6,TOI-3807b,1.9904311328279292,2.4480460530576176,2.939806232109829,3.458533289846824,3.9970580492600476,4.5485111990451195,5.106485784302498,5.665191023422482,6.21952933054032,6.7650701704700955,7.298081336312884,7.815505428239449,8.31485073260173,8.794190252418485,9.25211098124733
7,TOI-4087b,0.6877802311591015,0.8882741516006274,1.1151081556008442,1.3660257833483447,1.6382645728969185,1.9287430849778986,2.2342077801587554,2.551379070807458,2.8770637564609927,3.2082133279170373,3.5419989272342107,3.8758536401773336,4.20746217356189,4.534793835015156,4.856105330786642
8,TOI-2818b,0.6088046556736544,0.8028976456413927,1.0273014138461458,1.2805432520520745,1.5604411284929218,1.8642854102672133,2.1889961440173136,2.531288305184105,2.8878103780564515,3.2552309733021803,3.630341629566243,4.010126270004966,4.3917737551857865,4.772731802931606,5.15072782902049
9,TOI-3235b,7.468854391595251e-05,0.00016595765562748774,0.0003414108898144619,0.0006569014961122118,0.0011921780017219367,0.002055371083794248,0.0033865731724696977,0.005360156777422582,0.008185588748168089,0.012106532646956466,0.017398410803367355,0.02436456638739478,0.03333098397402651,0.044640339264515994,0.05864554317509568
10,TOI-4463Ab,0.9006659892477786,1.181258196155137,1.5038453543860204,1.8660065145179672,2.2643775360072977,2.694915337842796,3.1531209284671857,3.634270168957521,4.133603357619365,4.6464392141625614,5.168311949633083,5.695060601078524,6.222838289289934,6.748181365802538,7.268032183991896
11,TOI-3785b,7.0409166365497926e-06,1.6133796311028157e-05,3.413245079065438e-05,6.737255579521576e-05,0.00012516662235082044,0.00022048767328050888,0.00037057547929902446,0.0005974083792064826,0.0009279948795909227,0.0013944436068584864,0.0020338155470637164,0.0028877646409413917,0.004001954449927805,0.005425338655022687,0.007209328909948796
12,WASP-124b,0.38830674059684767,0.5112904607106138,0.6532321811866764,0.81315295405427,0.9896351647008709,1.1809384579281608,1.3850992571657126,1.6000346805176637,1.8236290697533128,2.05378741949183,2.2884989257853983,2.525879403657785,2.7641779135181928,3.001809575998549,3.2373676143737686
