,Planet Name,ESM Estimate 1.1-1.1566667um,ESM Estimate 1.1566667-1.2133333um,ESM Estimate 1.2133333-1.27um,ESM Estimate 1.27-1.3266667um,ESM Estimate 1.3266667-1.3833333um,ESM Estimate 1.3833333-1.44um,ESM Estimate 1.44-1.4966667um,ESM Estimate 1.4966667-1.5533333um,ESM Estimate 1.5533333-1.61um,ESM Estimate 1.61-1.6666667um,ESM Estimate 1.6666667-1.7233333um,ESM Estimate 1.7233333-1.78um,ESM Estimate 1.78-1.8366667um,ESM Estimate 1.8366667-1.8933333um,ESM Estimate 1.8933333-1.95um
0,TOI-5704b,0.0010223654148107948,0.0016217294346389723,0.002454646113870913,0.0035675205953115273,0.005004753535876019,0.006806814841186804,0.009008616869096712,0.01163838657108277,0.01471698815561912,0.018257509987009504,0.022265383122932966,0.026738782856421096,0.031668990531941166,0.037041254336202804,0.04283568620027218
1,TOI-672b,3.425401087772755e-05,6.908624953897382e-05,0.00013012485098690192,0.00023096399378244093,0.00038924024257877007,0.0006268049379976233,0.0009696469570519961,0.0014475765640614795,0.002093695574630482,0.002943670241116579,0.0040348972631787374,0.0054056077791348805,0.0070939007797631674,0.009136862998148075,0.01156976440947517
2,TOI-199b,1.0700416743215088e-12,4.916124843273183e-12,1.959523012773377e-11,6.901861480101574e-11,2.181473712505261e-10,6.268066577479346e-10,1.655361500459149e-09,4.056065249000526e-09,9.295502205255677e-09,2.006402261085998e-08,4.103569750492737e-08,7.994497092083979e-08,1.4904093775511312e-07,2.6697044514555815e-07,4.6112348085724516e-07
3,WASP-176b,0.5746702672893695,0.6964197272236466,0.8251561201698069,0.958929886755553,1.0958776819636458,1.2342819123869442,1.3725962784429353,1.5094711432624797,1.6437602184567126,1.774502503474467,1.9009219924365948,2.022414643842092,2.1385151452629083,2.248893398776197,2.353338959476967
4,TOI-1801b,1.179553700016716e-08,3.294965501533249e-08,8.348058871787278e-08,1.9429684564504897e-07,4.198766457718745e-07,8.500624511534333e-07,1.6246212372877014e-06,2.950110046724086e-06,5.118264141696294e-06,8.524799296971538e-06,1.3687506676395616e-05,2.1262469190858106e-05,3.205704227138751e-05,4.703904098003901e-05,6.734147790272159e-05
5,TOI-836c,5.942737133357012e-06,1.2462316705673094e-05,2.4318067982579804e-05,4.4576650487676014e-05,7.737100087808726e-05,0.00012800798112524268,0.00020301653258201314,0.00031013138006858663,0.0004582125418190003,0.0006571008681070424,0.0009174280333909951,0.001250392286946312,0.0016674996374090162,0.002180309333963077,0.002800186055608067
6,TOI-3807b,0.531413267660762,0.6535891300047524,0.7848812301661342,0.923373055494662,1.067150550428342,1.21437971875066,1.363350006007976,1.5125153661569146,1.6605148253275988,1.8061655015092906,1.948470955171362,2.086614909474587,2.2199321167397317,2.3479080996027286,2.4701656079500776
7,TOI-4087b,0.22293249672989976,0.2879192588353895,0.36144371994091756,0.44277448621348575,0.5310161516630847,0.6251699191179381,0.7241812080070388,0.8269869946697311,0.9325522564061354,1.0398888697765403,1.1480799076359145,1.2562933475250257,1.3637787257537264,1.4698778272407573,1.5740255923773596
8,TOI-2818b,0.19756695061347357,0.26055326289938496,0.3333759126232583,0.4155569821598149,0.5063883669336651,0.6049907472736509,0.7103646285352606,0.8214439671546235,0.9371411421143718,1.0563750637324048,1.1781045344420302,1.3013507885599256,1.4252015659049886,1.5488286096593138,1.6714944295120833
9,TOI-3235b,1.927540736602976e-05,4.282988059495244e-05,8.811035314569674e-05,0.00016953127311152268,0.0003076739139789481,0.0005304443339138428,0.0008739971895512981,0.0013833340431281046,0.0021125135044710603,0.0031244195739419433,0.004490132464408775,0.00628793811996383,0.008601965714219093,0.011520652019265512,0.015135075282417086
