,Planet Name,RSM Estimate 1.1-1.1566667um,RSM Estimate 1.1566667-1.2133333um,RSM Estimate 1.2133333-1.27um,RSM Estimate 1.27-1.3266667um,RSM Estimate 1.3266667-1.3833333um,RSM Estimate 1.3833333-1.44um,RSM Estimate 1.44-1.4966667um,RSM Estimate 1.4966667-1.5533333um,RSM Estimate 1.5533333-1.61um,RSM Estimate 1.61-1.6666667um,RSM Estimate 1.6666667-1.7233333um,RSM Estimate 1.7233333-1.78um,RSM Estimate 1.78-1.8366667um,RSM Estimate 1.8366667-1.8933333um,RSM Estimate 1.8933333-1.95um
0,TOI-5704b,0.054176699117767076,0.05274282696169727,0.05128060001606807,0.04981236479672353,0.048354649197628885,0.04691955346959087,0.045515461809326495,0.04414826688092271,0.042821981434327715,0.041538883156077414,0.040300245528197345,0.03910660007348088,0.03795764222754883,0.036852725111769985,0.035790966591565734
1,TOI-672b,0.11201571689434449,0.11046910209384653,0.10865990371282531,0.1066593338092177,0.10452439087814541,0.10230056034267898,0.10002326280948913,0.09772055389962714,0.09541459167684128,0.09312209305712553,0.09085610568722648,0.08862675674084947,0.08644117925090124,0.08430475564565706,0.08222148715899716
2,TOI-199b,0.004626823348333198,0.004472289619780889,0.004320517181444535,0.004172640721028285,0.004029407492632145,0.0038912838678567536,0.003758504594551665,0.003631164759782339,0.003509260996435599,0.0033926955296702567,0.0032813293065258597,0.0031749972448876593,0.0030734955630845103,0.0029766176785982514,0.0028841590748872516
3,WASP-176b,0.6276744552191579,0.6033843201527693,0.5800421969195425,0.5577078215404653,0.5364040600978407,0.5161288141578945,0.49685960187514205,0.4785640861199208,0.46120406965681593,0.4447348569574064,0.4291112747233047,0.4142888401901582,0.4002214433547975,0.38686549114232865,0.3741800688221732
4,TOI-1801b,0.01010274912722505,0.009944748293197638,0.009765543933193158,0.009571296317363004,0.009366894815025102,0.009156208097129087,0.008942218416072888,0.00872726545203879,0.008513177920575401,0.008301314139510506,0.008092719482582413,0.00788819199991394,0.00768827480730055,0.007493365740368592,0.007303749048444063
5,TOI-836c,0.02620264109209448,0.025521402305016,0.024824550938448143,0.02412315987237138,0.02342545515908466,0.0227374908545081,0.022063495695021893,0.02140646880553902,0.02076847875104708,0.020150736065383156,0.01955394978401653,0.018978456652323582,0.018424177099760797,0.017890856275441548,0.017378117331627117
6,TOI-3807b,0.7094863518477131,0.6828603317293419,0.6571597893922548,0.6324769435195822,0.60885804189,0.5863175708302897,0.5648440386454185,0.5444124180971155,0.5249890993708016,0.5065314925930872,0.4889951482092242,0.47233531554389063,0.4565044821690107,0.4414572455486937,0.4271506244578416
7,TOI-4087b,0.4545047076342068,0.4365621551660253,0.41936893733302566,0.4029575429295582,0.38733567151642273,0.3724945094055328,0.35841177222540477,0.3450590858865068,0.3324046853047676,0.32041280865605637,0.3090479187786732,0.29827544506818937,0.28806003534416463,0.2783684756164345,0.2691697511205537
8,TOI-2818b,0.5760953885073126,0.5546878691848636,0.5339947072225816,0.5140969924782472,0.49503742388250044,0.4768320286345805,0.4594750053978745,0.4429489608408916,0.4272290395411314,0.41228268151470515,0.3980754827686647,0.3845725205035883,0.3717363949517933,0.3595312324781545,0.3479229710460397
9,TOI-3235b,0.37982503329159906,0.3776855377723971,0.3742684718024028,0.36984986502451195,0.3646580901909033,0.35888137336285536,0.35267165699989844,0.3461533545387,0.3394281845618179,0.3325766094847227,0.32566408325937385,0.3187437930205799,0.3118564763992653,0.30503499368046827,0.2983058028488686
10,TOI-4463Ab,0.6904056063854888,0.66516590149801,0.6407100682257273,0.6171472873266839,0.5945386973941301,0.5729117800442718,0.5522664421751705,0.5325875378313901,0.5138500244252784,0.49601882587300183,0.4790560080251569,0.46292248192731683,0.44757573387814137,0.43297471474730026,0.4190802452981414
11,TOI-3785b,0.04491739299748557,0.04447063731096204,0.04389627084906275,0.04322500364152625,0.042481820890233064,0.041686985782096085,0.04085657158198402,0.04000352977950616,0.03913827680012518,0.03826887585634572,0.03740176451284168,0.036542069089456196,0.03569358115299689,0.034859277568527434,0.03404148226527182
12,WASP-124b,0.2924508007920485,0.2809244082656639,0.26987683478476265,0.2593295598837691,0.2492880099194793,0.23974690197890952,0.23069221648267033,0.2221059595272501,0.21396790981350153,0.20625523659190742,0.19894522330673883,0.19201575052931485,0.1854441748559149,0.17920921194465977,0.1732909787621672
13,WASP-25b,0.45401229713676317,0.43704568385961606,0.4206587407621224,0.4049125839046258,0.38983855082966784,0.3754473552138739,0.3617328378617575,0.34867997418513186,0.3362680804133125,0.32447058649171207,0.31325961927406837,0.3026070200958401,0.29248278368338493,0.2828581916405594,0.27370602276705225
14,LHS1140c,0.007169068506851689,0.007209915748762195,0.007217979988051624,0.007198921594484396,0.007157620842148336,0.007098256222045052,0.007024332200887168,0.00693881930340131,0.006844229760389716,0.006742632112317161,0.006635768015313571,0.006525103500057079,0.006411822499836574,0.006296919181470968,0.006181228999967834
15,TOI-1199b,0.3656836590183176,0.3521244362728341,0.33901352580583566,0.3264032566562991,0.31432144284626146,0.3027788469619941,0.29177227451241083,0.2812910899735337,0.2713198531380571,0.2618381762275412,0.25282445481348254,0.2442567172271623,0.2361113870788489,0.22836583082005998,0.2209985434487263
16,TOI-1273b,0.3432759915683001,0.33059823267309146,0.318332505679659,0.3065293997899109,0.2952162420583738,0.28440414562481986,0.2740909486781589,0.2642673624202394,0.2549194712310926,0.24602861737707896,0.23757492191052632,0.22953809610700837,0.22189628920342208,0.21462849107583762,0.20771471428322918
17,TOI-5803b,0.011648120247470991,0.011271973296758194,0.010900627474136415,0.010537276041703743,0.010184085059218275,0.009842468806941333,0.00951322004258592,0.009196747742837132,0.008893186094944064,0.008602408623477897,0.008324166091753253,0.00805812806021082,0.007803853072059306,0.007560881691914791,0.007328750581898953
18,TOI-3819b,0.30065642091259565,0.289189172062304,0.2781464109586649,0.26756177718123436,0.2574503701236825,0.24781460727883103,0.2386465433541883,0.22993302449351985,0.22165769146070535,0.21380074022325066,0.2063418700278167,0.19926089150054518,0.19253664889915584,0.18614904320448378,0.1800791356291588
19,TOI-4791b,0.32999894050422257,0.31697574252775734,0.3044958557476014,0.29258299862678205,0.2812428679546951,0.27046915195953214,0.2602457427569049,0.2505520983413029,0.24136520438285972,0.2326591361575745,0.22440812521571582,0.216587099298031,0.2091704139231112,0.2021339732936087,0.19545527528208037
20,TOI-4377b,0.6182372732966549,0.5992375227421245,0.5803340025641113,0.561720502852577,0.5435326885990673,0.5258631752977769,0.508768853019879,0.4922839301886797,0.4764260829865241,0.46119747942175254,0.4465923946349889,0.43259964361864417,0.4192011471226308,0.40637706418610986,0.3941066721458153
21,Wolf327b,0.15168750719282914,0.15029177285593337,0.14845103404619764,0.1462702457617564,0.14383505303378225,0.14121511662969813,0.13846587114566128,0.13563211711679468,0.1327499968426386,0.12984760427303652,0.12694745054766077,0.12406753298070622,0.12122125801131235,0.11841921030439616,0.11566970708403426
22,HD118203b,0.6142932694673869,0.5908086128206901,0.5682009584797527,0.5465373966490603,0.5258474225788458,0.5061348558758764,0.48738253851579943,0.4695628297152957,0.4526416696967856,0.4365780689660792,0.4213301107908551,0.4068561778354451,0.3931127395470314,0.3800584732405151,0.3676544670181421
23,TOI-1470b,0.02443436012016189,0.024123797350138275,0.023752438726290376,0.02333617360447727,0.022887781232101428,0.0224175087303793,0.021933380535622018,0.02144178591019712,0.020947799411314597,0.02045528077043309,0.019967264406683942,0.01948612523317396,0.019013563746711398,0.018550880745119482,0.018099060134159718
24,V1298Taub,0.07300526397994522,0.07076461366249127,0.0685348448655176,0.0663389144019982,0.06419290475959297,0.06210780557811119,0.060090379676835566,0.058144704574678144,0.056272899715602974,0.05447524820003345,0.052751096928529015,0.05109914454941061,0.04951727255285945,0.04800315193887421,0.046554347534918605
25,TOI-2109b,7.643511602524137,7.320294959273107,7.013561043241099,6.723176119109047,6.448714170005307,6.189572380872412,5.945003743162171,5.71422516764344,5.496450193280285,5.290869462220893,5.096712910085514,4.9132556336742725,4.739784042532453,4.575639908943877,4.420217909733462
26,K2-138g,0.0011319226348169829,0.0010931183218894549,0.0010551578391612493,0.0010182920245490933,0.0009826811598659978,0.0009484204187767291,0.0009155513891379467,0.0008840840577797133,0.0008540064624575582,0.0008252853608114677,0.0007978788961000028,0.0007717400745792574,0.0007468134986208303,0.0007230439391903565,0.0007003773825502733
27,K2-141c,0.12118196333339493,0.11796142543009279,0.11467952587161097,0.1113859598022914,0.10811744340861573,0.1049008227872125,0.10175466274581116,0.09869198193942685,0.09572161734461854,0.0928485455261441,0.09007551407082641,0.08740362557677951,0.08483212546302515,0.08235950401688692,0.07998373422138053
28,TRAPPIST-1b,0.014602710390509215,0.01492425261437414,0.015159640575286484,0.01532003941531467,0.015415705157855265,0.015455914388065489,0.015448842303939194,0.015401731509344986,0.015320962693259655,0.015212014444639411,0.01507967146821766,0.014928105807087923,0.014760835872072085,0.014580918939340437,0.014391012841055007
29,TRAPPIST-1e,0.0019004733601059726,0.0019423205524601867,0.0019729551769264993,0.001993830323684432,0.0020062807654388152,0.0020115138056622634,0.0020105934075222587,0.002004462161492898,0.0019939504839212303,0.0019797713871237245,0.001962547577682832,0.0019428220271801577,0.001921052640063444,0.0018976373062970012,0.0018729219301057633
30,TRAPPIST-1f,0.0014991965357127378,0.0015322078723216575,0.001556374126812168,0.0015728415755851635,0.0015826631597957537,0.001586791265950213,0.00158606520594225,0.0015812285462974615,0.0015729363645017142,0.0015617511233693834,0.0015481640476504572,0.0015326034627985933,0.0015154305886951923,0.0014969593025398046,0.0014774624723592046
31,TRAPPIST-1g,0.0012441780010644318,0.0012715739947291482,0.00129162948544633,0.0013052957640221912,0.00131344666266645,0.001316872563634794,0.001316270008954443,0.001312256081903964,0.0013053744290150112,0.0012960918362248462,0.001284815969248374,0.0012719022938928065,0.0012576505852838731,0.001242321329019968,0.0012261409773293478
