,Planet Name,Full Phase Curve SNR 1.95-1.989um,Full Phase Curve SNR 1.989-2.028um,Full Phase Curve SNR 2.028-2.067um,Full Phase Curve SNR 2.067-2.106um,Full Phase Curve SNR 2.106-2.145um,Full Phase Curve SNR 2.145-2.184um,Full Phase Curve SNR 2.184-2.223um,Full Phase Curve SNR 2.223-2.262um,Full Phase Curve SNR 2.262-2.301um,Full Phase Curve SNR 2.301-2.34um,Full Phase Curve SNR 2.34-2.379um,Full Phase Curve SNR 2.379-2.418um,Full Phase Curve SNR 2.418-2.457um,Full Phase Curve SNR 2.457-2.496um,Full Phase Curve SNR 2.496-2.535um,Full Phase Curve SNR 2.535-2.574um,Full Phase Curve SNR 2.574-2.613um,Full Phase Curve SNR 2.613-2.652um,Full Phase Curve SNR 2.652-2.691um,Full Phase Curve SNR 2.691-2.73um,Full Phase Curve SNR 2.73-2.769um,Full Phase Curve SNR 2.769-2.808um,Full Phase Curve SNR 2.808-2.847um,Full Phase Curve SNR 2.847-2.886um,Full Phase Curve SNR 2.886-2.925um,Full Phase Curve SNR 2.925-2.964um,Full Phase Curve SNR 2.964-3.003um,Full Phase Curve SNR 3.003-3.042um,Full Phase Curve SNR 3.042-3.081um,Full Phase Curve SNR 3.081-3.12um,Full Phase Curve SNR 3.12-3.159um,Full Phase Curve SNR 3.159-3.198um,Full Phase Curve SNR 3.198-3.237um,Full Phase Curve SNR 3.237-3.276um,Full Phase Curve SNR 3.276-3.315um,Full Phase Curve SNR 3.315-3.354um,Full Phase Curve SNR 3.354-3.393um,Full Phase Curve SNR 3.393-3.432um,Full Phase Curve SNR 3.432-3.471um,Full Phase Curve SNR 3.471-3.51um,Full Phase Curve SNR 3.51-3.549um,Full Phase Curve SNR 3.549-3.588um,Full Phase Curve SNR 3.588-3.627um,Full Phase Curve SNR 3.627-3.666um,Full Phase Curve SNR 3.666-3.705um,Full Phase Curve SNR 3.705-3.744um,Full Phase Curve SNR 3.744-3.783um,Full Phase Curve SNR 3.783-3.822um,Full Phase Curve SNR 3.822-3.861um,Full Phase Curve SNR 3.861-3.9um
434,HAT-P-23b,10.3218639768912,10.468533871882606,10.603586018547658,10.727489445316966,10.840714989981299,10.943731621853448,11.037003401958646,11.1209869984193,11.19612968273774,11.262867740753768,11.321625239549595,11.372813098482698,11.41682841881182,11.454054032053891,11.484858232312389,11.509594662360499,11.528602327302877,11.542205713210343,11.550714991267343,11.554426290736224,11.553622026454638,11.548571268699918,11.539530145085676,11.526742265750423,11.51043916448747,11.49084074964953,11.46815575969874,11.442582219158732,11.414307891480217,11.383510725990448,11.35035929664764,11.31501323079772,11.277623626532108,11.238333457585465,11.197277965001332,11.154585035029589,11.110375562928311,11.064763802504393,11.017857701365251,10.969759221974318,10.920564648685064,10.870364881009294,10.819245713433414,10.76728810213647,10.714568419005097,10.661158693360266,10.60712684183162,10.552536886822784,10.497449164018317,10.441920519385738
435,TOI-2158b,1.5454889274089962,1.6433358026152893,1.74178614856621,1.8405909639479607,1.9395142756978137,2.0383336894976263,2.1368407238932843,2.2348409572891708,2.3321540150512643,2.428613421755282,2.5240663413356583,2.6183732256117547,2.71140738944345,2.8030545286401085,2.8932121947469542,2.981789238973185,3.0687052358198894,3.1538898954138226,3.237282472154124,3.3188311760290063,3.3984925918474995,3.4762311106548793,3.552018376741996,3.625832752913153,3.6976588060356788,3.7674868143387443,3.8353122974605083,3.9011355698448247,3.9649613177535135,4.026798199885616,4.0866584713662215,4.144557630683931,4.200514089008941,4.254548861208833,4.306685277792683,4.356948716948248,4.405366355795746,4.451966939952098,4.496780570485809,4.539838507343214,4.581172988330265,4.62081706275146,4.658804438828337,4.695169344043183,4.729946397585617,4.763170494109218,4.794876698040477,4.825100147715593,4.853875968656839,4.881239195336465
436,WASP-44b,1.9707516168683135,2.0667510428149076,2.16167507367602,2.2553361885328553,2.3475662152124825,2.438215529105626,2.527152163658875,2.614260860257755,2.6994420808606097,2.7826110028383004,2.863696512008655,2.9426402068160047,3.0193954239631493,3.093926293524344,3.166206829624326,3.236220061120128,3.303957205340801,3.3694168867911403,3.432604401780302,3.493531029168464,3.552213386806658,3.6086728327606354,3.6629349100318236,3.715028833204848,3.764987015248044,3.8128446325491825,3.858639226183172,3.902410337363935,3.944199175021439,3.9840483134655256,4.022001418136714,4.058102997501858,4.0923981792217035,4.124932508795816,4.155751768975673,4.184901818323229,4.212428447385134,4.238377251041334,4.2627935156761945,4.285722119910866,4.307207447717066,4.327293312817372,4.346022893355594,4.363438675893867,4.379582407866763,4.394495057687991,4.408216781769835,4.420786897773452,4.4322438634645875,4.442625260601643
437,WASP-55b,2.680959736197583,2.8304525565751906,2.9795520484254983,3.1279136778436043,3.27521901101894,3.421175481703748,3.5655159105387977,3.7079978237463385,3.84840261325726,3.9865345751426386,4.122219858341612,4.255305351177214,4.385657529046995,4.513161282971398,4.6377187453801305,4.759248126589903,4.877682572860369,4.992969054679142,5.105067291994838,5.213948721461117,5.319595509342593,5.421999612546693,5.521161889247441,5.617091259741486,5.709803917503716,5.799322589857283,5.885675847239642,5.96889745970434,6.049025799034984,6.126103284658801,6.200175871409883,6.271292577106198,6.339505047856575,6.404867158998561,6.467434649580377,6.527264788329281,6.584416069101409,6.638947933866238,6.690920521349253,6.740394439538154,6.7874305603343625,6.832089834720549,6.874433126901074,6.91452106595521,6.952413913632649,6.988171447001264,7.021852854740893,7.053516645953295,7.083220570435678,7.111021549438484
438,WASP-156b,0.262317641669581,0.2858862260268811,0.3102797985226885,0.33544151098755326,0.36131290398137983,0.38783446401915794,0.41494613353012477,0.44258777266922894,0.4706995731294003,0.49922242492870267,0.5280982377902024,0.5572702192187402,0.5866831117292602,0.6162833919166967,0.6460194341976064,0.6758416421148993,0.7057025500951883,0.7355568984963297,0.765361684692288,0.7950761928234304,0.8246620047003147,0.8540829941961745,0.8833053073015195,0.9122973298492315,0.9410296447542409,0.9694749804491554,0.9976081520408282,1.0254059965626126,1.0528473035541,1.079912742066734,1.1065847850682367,1.1328476321030267,1.1586871309588878,1.1840906989921918,1.209047244674906,1.2335470898450516,1.2575818930698583,1.2811445744645187,1.304229242250441,1.326831121285241,1.3489464837490324,1.3705725821311938,1.3917075846256612,1.4123505130104677,1.4325011830606145,1.452160147518871,1.4713286416291504,1.4900085312191533,1.5082022633045162,1.5259128191745117
439,WASP-49b,4.932579351675092,5.152804812151943,5.369406063444931,5.582011413873183,5.790295791332859,5.993978043734456,6.1928181511263,6.386614404853101,6.575200598601707,6.758443267067418,6.936239000118308,7.108511853648104,7.275210872659818,7.436307737396231,7.591794539428301,7.741681691409199,7.885995971614334,8.024778702323104,8.158084059479293,8.285977509826381,8.40853437078287,8.52583848766254,8.637981022390699,8.74505934759309,8.847176039808065,8.944437965546932,9.036955454003918,9.124841550357445,9.208211343792335,9.28718136460893,9.36186904503837,9.432392238659755,9.498868793598735,9.561416174974934,9.620151132354701,9.675189408243394,9.726645483932714,9.774632359278897,9.819261363241269,9.86064199225859,9.898881773761403,9.934086152340262,9.966358396292753,9.99579952245704,10.022508237423134,10.04658089337324,10.068111456958828,10.087191489760611,10.10391013901072,10.118354137378498
440,TrES-4b,8.240519681456881,8.435911240411482,8.621429836276855,8.797221205510223,8.96346161807832,9.120352654864805,9.268116551880077,9.40699207041547,9.53723085152704,9.659094213611626,9.77285035301454,9.878771909365527,9.977133859463644,10.068211705874656,10.152279928867973,10.229610672798355,10.300472640484656,10.365130171501011,10.423842482547931,10.476863050194257,10.524439118256037,10.566811313918352,10.604213358387986,10.636871859407346,10.665006174372376,10.688828334062071,10.708543018145372,10.724347574667929,10.736432076647281,10.74497940974593,10.750165385732213,10.7521588771056,10.751121968853603,10.747210123832172,10.740572358728887,10.731351427975161,10.719684013344281,10.705700917287704,10.689527258343942,10.671282667209324,10.651081482268367,10.629032943578807,10.605241384472702,10.579806420075535,10.552823132178503,10.524382250004257,10.494570326505233,10.463469909913142,10.43115971033111,10.397714761222907
441,HD89345b,0.5205581569527167,0.5606576265911104,0.6016128498597952,0.6433172195516398,0.6856655972361102,0.7285549862341175,0.771885103561502,0.8155588574213007,0.8594827373993298,0.903567124814068,0.9477265307448095,0.9918797691626994,1.0359500723579074,1.0798651555278778,1.123557236997044,1.166963020099586,1.2100236422944577,1.2526845966103775,1.2948956300499577,1.3366106231257011,1.3777874542617015,1.4183878523804505,1.458377240604258,1.4977245736391298,1.536402171076896,1.574385548545628,1.611653248362657,1.6481866710948774,1.683969909206171,1.7189895837727882,1.753234685069324,1.7866964176714801,1.8193680505840473,1.8512447727822225,1.8823235544502948,1.9126030141106618,1.942083291759995,1.9707659280625498,1.9986537495947865,2.0257507600900726,2.0520620375918273,2.077593637393017,2.102352500614373,2.126346368252552,2.1495837005152145,2.172073601247539,2.193825747247315,2.2148503222599736,2.2351579554427365,2.2547596640868512
442,GJ1252b,0.1629934219086418,0.17407423497406171,0.18528636596112666,0.19660095581521678,0.20799022342778015,0.21942757624303072,0.2308876948158173,0.24234659408001216,0.2537816640073195,0.2651716922144643,0.2764968709249404,0.2877387905212981,0.2988804217433722,0.30990608840354233,0.320801432307605,0.3315533718923226,0.34215005592136344,0.35258081342175374,0.36283610089437107,0.372907447695103,0.3827874003579367,0.39246946651797376,0.40194805899000396,0.4112184404668508,0.4202766692207483,0.4291195461189267,0.43774456320184635,0.44614985401754526,0.4543341458576777,0.46229671399997546,0.4700373380264821,0.4775562602570769,0.4848541463125392,0.4919320478003121,0.49879136709876415,0.5054338242012864,0.5118614255704009,0.5180764349427824,0.5240813460190832,0.5298788569676021,0.5354718466667453,0.5408633526091623,0.5460565503891796,0.5510547346945384,0.5558613017241688,0.5604797329545086,0.5649135801785721,0.5691664517437263,0.5732419999164792,0.5771439093051384
