,Planet Name,RSM Estimate 1.95-1.989um,RSM Estimate 1.989-2.028um,RSM Estimate 2.028-2.067um,RSM Estimate 2.067-2.106um,RSM Estimate 2.106-2.145um,RSM Estimate 2.145-2.184um,RSM Estimate 2.184-2.223um,RSM Estimate 2.223-2.262um,RSM Estimate 2.262-2.301um,RSM Estimate 2.301-2.34um,RSM Estimate 2.34-2.379um,RSM Estimate 2.379-2.418um,RSM Estimate 2.418-2.457um,RSM Estimate 2.457-2.496um,RSM Estimate 2.496-2.535um,RSM Estimate 2.535-2.574um,RSM Estimate 2.574-2.613um,RSM Estimate 2.613-2.652um,RSM Estimate 2.652-2.691um,RSM Estimate 2.691-2.73um,RSM Estimate 2.73-2.769um,RSM Estimate 2.769-2.808um,RSM Estimate 2.808-2.847um,RSM Estimate 2.847-2.886um,RSM Estimate 2.886-2.925um,RSM Estimate 2.925-2.964um,RSM Estimate 2.964-3.003um,RSM Estimate 3.003-3.042um,RSM Estimate 3.042-3.081um,RSM Estimate 3.081-3.12um,RSM Estimate 3.12-3.159um,RSM Estimate 3.159-3.198um,RSM Estimate 3.198-3.237um,RSM Estimate 3.237-3.276um,RSM Estimate 3.276-3.315um,RSM Estimate 3.315-3.354um,RSM Estimate 3.354-3.393um,RSM Estimate 3.393-3.432um,RSM Estimate 3.432-3.471um,RSM Estimate 3.471-3.51um,RSM Estimate 3.51-3.549um,RSM Estimate 3.549-3.588um,RSM Estimate 3.588-3.627um,RSM Estimate 3.627-3.666um,RSM Estimate 3.666-3.705um,RSM Estimate 3.705-3.744um,RSM Estimate 3.744-3.783um,RSM Estimate 3.783-3.822um,RSM Estimate 3.822-3.861um,RSM Estimate 3.861-3.9um
0,TOI-5704b,0.023657522851440477,0.023195175159542367,0.022745584731351617,0.022308423390622733,0.02188335616246263,0.021470044564780025,0.021068149298868587,0.020677332437135924,0.020297259190101398,0.019927599321542297,0.01956802826957604,0.01921822802222048,0.018877887788221033,0.018546704497427884,0.018224383159568744,0.017910637105676936,0.01760518813259091,0.017307766567703407,0.017018111268411743,0.016735969568426937,0.016461097181154082,0.01619325806873248,0.015932224283934957,0.015677775790959324,0.015429700270169482,0.015187792910996157,0.014951856196513279,0.01472169968260942,0.014497139774163018,0.014277999500214283,0.014064108289760156,0.013855301749498313,0.013651421444589248,0.013452314683289189,0.013257834306127418,0.01306783848014291,0.012882190498575766,0.012700758586294898,0.012523415711154088,0.01235003940140198,0.01218051156919864,0.012014718340248996,0.01185254988952095,0.011693900282976507,0.011538667325224981,0.011386752412979583,0.011238060394186056,0.011092499432675377,0.010949980878185274,0.010810419141590075
1,TOI-672b,0.0545303804532533,0.053603284261600236,0.052694656329393234,0.051804599444317374,0.05093312827128328,0.05008018339753701,0.049245643412442634,0.04842933529476766,0.04763104334173634,0.0468505168411296,0.04608747665940007,0.045341620894592614,0.04461262972211796,0.043900169543626376,0.04320389653401224,0.04252345966847416,0.04185850330033009,0.041208669350628724,0.04057359916229399,0.03995293506440176,0.039346321686014735,0.038753407053723134,0.03817384350244247,0.03760728842506915,0.03705340488320615,0.03651186209818608,0.035982335839091564,0.035464508722260125,0.03495807043482869,0.03446271789323606,0.0339781553461453,0.033504094430004704,0.033040254184379225,0.032586361033239114,0.03214214873757866,0.031707358324009886,0.03128173799337603,0.030865043012872833,0.030457035594694887,0.030057484763833516,0.029666166217267958,0.02928286217650072,0.02890736123511458,0.028539458202778548,0.028178953946943273,0.027825655233272205,0.02747937456570883,0.027139930026935308,0.026807145119865268,0.026480848610714192
2,TOI-199b,0.0019028822182389406,0.0018630335219234158,0.0018244301291033909,0.0017870274306791862,0.0017507819255105463,0.0017156513213310567,0.0016815946046487278,0.0016485720856215698,0.0016165454228225836,0.0015854776319281143,0.0015553330816378982,0.0015260774795408227,0.0014976778501502497,0.0014701025069284157,0.0014433210197877166,0.001417304179281662,0.0013920239584722534,0.0013674534732737284,0.001343566941918473,0.0013203396440640285,0.0012977478799546835,0.0012757689299656041,0.0012543810147856698,0.0012335632564366662,0.0012132956402792995,0.0011935589781160302,0.0011743348724694601,0.001155605682088763,0.00113735448871491,0.0011195650651191088,0.0011022218444146682,0.001085309890631836,0.0010688148705365818,0.0010527230266676056,0.0010370211515610135,0.0010216965631278776,0.0010067370811478807,0.000992131004839907,0.0009778670914693094,0.0009639345359516826,0.0009503229514119845,0.0009370223506587943,0.0009240231285340041,0.0009113160450985917,0.0008988922096167069,0.0008867430653009413,0.0008748603747831636,0.0008632362062762893,0.0008518629203938335,0.0008407331575955335
3,WASP-176b,0.24652158430970628,0.24109410106597623,0.235850339223394,0.2307826000861308,0.2258835099192304,0.2211460141217517,0.21656336952155433,0.21212913530923266,0.2078371630220514,0.2036815859030553,0.19965680789128926,0.19575749244364263,0.19197855134412772,0.1883151336203898,0.18476261465853758,0.18131658558417826,0.17797284295909852,0.17472737882828,0.17157637114022253,0.16851617455431853,0.16554331164166566,0.16265446448013968,0.15984646664007784,0.1571162955535825,0.15446106525805298,0.15187801950258284,0.1493645252046765,0.14691806624386963,0.14453623757824988,0.14221673966972267,0.13995737320376128,0.13775603408953638,0.13561070872656283,0.13351946952434116,0.13148047066190854,0.12949194407461465,0.1275521956560183,0.1256596016632449,0.1238126053146675,0.12200971356937629,0.1202494940783093,0.11853057229750867,0.11685162875445682,0.1152113964588723,0.11360865844988795,0.1120422454719209,0.11051103377201273,0.10901394301179117,0.1075499342876158,0.1061180082528551
4,TOI-1801b,0.004841595544627971,0.004757501230475398,0.0046751835886555465,0.0045946413540818055,0.004515866271326664,0.004438844272922181,0.0043635564884805765,0.004289980108587909,0.0042180891239716085,0.004147854957501101,0.0040792470040652215,0.004012233091229222,0.003946779871743271,0.0038828531574081364,0.003820418202468819,0.003759439943560546,0.003699883202252209,0.003641712855392215,0.003584893977741133,0.0035293919607577843,0.0034751726108725556,0.0034222022301272,0.0033704476816656015,0.0033198764422213947,0.0032704566434588185,0.0032221571037685274,0.0031749473519051712,0.0031287976436657956,0.003083678972644493,0.0030395630759606396,0.0029964224357352776,0.0029542302769858513,0.0029129605625183635,0.002872587985317066,0.0028330879588640005,0.0027944366057601165,0.002756610744970054,0.0027195878779666506,0.002683346174012364,0.00264786445478291,0.0026131221785067153,0.002579099423770204,0.0025457768731167217,0.002513135796546542,0.0024811580350104787,0.0024498259839739415,0.0024191225771166805,0.00238903127022186,0.0023595360252992594,0.0023306212949796134
5,TOI-836c,0.011488215531595423,0.01126477784168364,0.01104744749242099,0.010836072256729815,0.010630495974596935,0.010430560211716332,0.010236105620301575,0.010046973050270311,0.009863004451232504,0.009684043599230764,0.0095099366767463,0.009340532729948918,0.009175684023363214,0.009015246308926281,0.008859079023737448,0.00870704542854296,0.008559012697104271,0.008414851965001427,0.008274438345076645,0.008137650915589401,0.008004372686191976,0.007874490546029869,0.007747895197582927,0.007624481079283895,0.007504146279466187,0.007386792443771127,0.0072723246777989725,0.007160651446490356,0.007051684471469696,0.006945338627373858,0.0068415318380057565,0.006740184973001599,0.00664122174557127,0.006544568611762225,0.006450154671606732,0.0063579115724319455,0.006267773414551462,0.006179676659499077,0.006093560040919683,0.006009364478197906,0.005927032992867831,0.005846510627824798,0.005767744369338276,0.005690683071844179,0.005615277385484418,0.005541479686346995,0.005469244009352665,0.005398525983725364,0.005329282770979149,0.005261473005351183
6,TOI-3807b,0.2815090232087483,0.2753782542904029,0.26945157415982873,0.26372068563779794,0.2581776153487016,0.25281471206731826,0.24762464234351178,0.2426003840673098,0.23773521850568957,0.23302272123648493,0.2284567523187667,0.2240314459697115,0.21974119996168365,0.21558066490759215,0.21154473356586467,0.20762853026647266,0.20382740053541373,0.20013690097564135,0.19655278944680907,0.193071015573711,0.18968771160320008,0.1863991836215242,0.1832019031376261,0.18009249903299782,0.17706774987495277,0.17412457658705532,0.17126003546833543,0.16847131155125378,0.16575571228711983,0.1631106615469767,0.16053369392538633,0.15802244933432297,0.15557466787430616,0.15318818496997283,0.15086092675751134,0.14859090571158984,0.1463762164998522,0.1442150320533702,0.14210559984186083,0.14004623834301266,0.1380353336955927,0.136071336526557,0.13415275894283965,0.13227817167888167,0.1304462013914929,0.1286555280940044,0.1269048827221335,0.12519304482434512,0.12351884036990798,0.12188113966823033
7,TOI-4087b,0.17730021191895062,0.17336860010465474,0.1695715265585093,0.16590324518070185,0.16235826370689296,0.15893133737452136,0.1556174614876603,0.1524118632213634,0.14930999293387212,0.1463075151970119,0.1434002997083906,0.140584412211813,0.13785610552247554,0.13521181072958774,0.13264812863013875,0.1301618214323259,0.1277498047551856,0.12540913994147468,0.12313702669339517,0.12093079603496132,0.11878790360025013,0.11670592324341558,0.11468254096368774,0.11271554913666339,0.11080284104189389,0.1089424056757313,0.10713232283787112,0.10537075847969062,0.10365596030231206,0.10198625359243288,0.10036003728408471,0.09877578023476678,0.09723201770472784,0.09572734802854763,0.09426042946860398,0.0928299772404048,0.0914347607002749,0.09007360068629089,0.08874536700380649,0.08744897604740995,0.08618338855150637,0.0849476074621963,0.08374067592352033,0.08256167537148723,0.08140972372973079,0.08028397370095194,0.07918361114867031,0.07810785356410357,0.07705594861331344,0.07602717276005524
8,TOI-2818b,0.22931766449400617,0.2243407216338815,0.2195285700046955,0.21487457664538542,0.21037236037130558,0.2060157916891149,0.20179899034968615,0.19771632109641632,0.19376238805721524,0.18993202814018786,0.18622030372119794,0.18262249485352217,0.17913409118265403,0.17575078371099315,0.17246845652626602,0.16928317858231093,0.16619119560054985,0.1631889221440088,0.1602729339024632,0.15743996021662643,0.15468687686064456,0.15201069909540374,0.14940857499961926,0.14687777908135707,0.14441570616935093,0.14201986558071644,0.13968787555974937,0.13741745798097305,0.13520643330842375,0.13305271580246752,0.13095430896485777,0.12890930121245375,0.12691586176986935,0.12497223677129651,0.12307674556185948,0.12122777718896298,0.11942378707440196,0.11766329385820697,0.11594487640549851,0.11426717096801968,0.1126288684922478,0.11102871206640527,0.10946549449902893,0.10793805602204674,0.10644528211172313,0.1049861014211094,0.10355948381799701,0.10216443852265014,0.10080001233991656,0.09946528798061877
9,TOI-3235b,0.19826846316283872,0.19522303701802546,0.19222033991243936,0.18926253619345018,0.18635133330810746,0.1834880431638039,0.18067363569928246,0.17790878565905016,0.175193913436454,0.17252922073926075,0.16991472173423847,0.16735027024273372,0.1648355834856089,0.16237026281179154,0.15995381178912127,0.1575856519876968,0.15526513674386536,0.1529915631563823,0.1507641825344173,0.1485822094893958,0.1464448298384693,0.14435120746648683,0.14230049027494857,0.1402918153304487,0.13832431331127196,0.13639711233851307,0.1345093412675587,0.1326601325064719,0.13084862441963285,0.12907396336796825,0.12733530543081373,0.12563181784902702,0.12396268022418115,0.12232708550446608,0.12072424078426801,0.11915336794110651,0.11761370413084463,0.11610450215952713,0.1146250307480007,0.1131745747036089,0.11175243501144395,0.11035792885621436,0.10899038958445315,0.10764916661557508,0.10633362530933083,0.10504314679624455,0.10377712777685699,0.10253498029485525,0.10131613148856788,0.10012002332476555
10,TOI-4463Ab,0.2762624849933526,0.2703004515571291,0.264534082752058,0.2589556340618473,0.25355764089634614,0.24833292094071135,0.24327457337939545,0.2383759757005556,0.23363077865068826,0.22903289979917196,0.22457651608257187,0.22025605562584943,0.21606618907832528,0.21200182065391415,0.2080580790260535,0.2042303081957384,0.20051405842518163,0.1969050773085474,0.1933993010341209,0.18999284587849244,0.18668199996208332,0.18346321528648254,0.18033310006676,0.17728841136617055,0.17432604803621699,0.1714430439612881,0.1686365616044107,0.16590388584849086,0.1632424181257133,0.16064967082667816,0.158123261979922,0.15566091019192665,0.15326042983735955,0.15091972648910476,0.14863679257764098,0.1464097032693286,0.14423661255342665,0.14211574952781317,0.1400454148736553,0.1380239775096783,0.13604987141689126,0.13412159262507314,0.13223769635267502,0.13039679429209722,0.1285975520327503,0.12683868661460357,0.12511896420532392,0.12343719789441245,0.12179224559810617,0.12018300806915257
11,TOI-3785b,0.022599827102079098,0.022233110846792917,0.02187272012406121,0.021518796431276715,0.02117143703105259,0.02083070137789577,0.020496616688318477,0.020169182768593693,0.019848376198887244,0.01953415395915181,0.01922645657062051,0.01892521081680268,0.01863033209930001,0.018341726476345754,0.01805929242558983,0.017782922367124587,0.01751250397798291,0.017247921325219705,0.016989055841124867,0.01673578716103739,0.01648799384155451,0.016245553974629283,0.01600834571103809,0.015776247704961156,0.015549139489920497,0.015326901794994782,0.015109416809101767,0.01489656840014673,0.014688242294965641,0.014484326225249934,0.014284710043977997,0.014089285816310353,0.01389794788840614,0.013710592937182853,0.013527120003663483,0.01334743051221669,0.013171428277713391,0.012999019502362135,0.012830112763762433,0.012664618995528341,0.012502451461651961,0.012343525725635164,0.012187759615285544,0.012035073183951587,0.011885388668878892,0.011738630447274483,0.01159472499059272,0.011453600817484283,0.011315188445792329,0.011179420343928815
12,WASP-124b,0.1141475180519777,0.1116178005856005,0.10917457249012039,0.10681414549145866,0.10453299366532923,0.10232774947398485,0.10019519908047692,0.09813227716160816,0.09613606139381649,0.0942037667486643,0.09233273970436671,0.09052045245570003,0.08876449718528924,0.08706258044376887,0.08541251767403364,0.08381222790492683,0.08225972863193634,0.08075313089629681,0.07929063456904313,0.07787052384278709,0.0764911629310142,0.07515099197249964,0.07384852313670114,0.07258233692472701,0.07135107865961803,0.07015345515898913,0.06898823158272227,0.06785422844816909,0.0667503188051981,0.06567542556348302,0.06462851896449431,0.06360861419083104,0.0626147691057317,0.06164608211583972,0.060701690150572155,0.059780766751688134,0.058882520266977,0.058006192142241494,0.0571510553060367,0.05631641264194302,0.05550159554337498,0.05470596254623227,0.05392889803495416,0.053169811017759624,0.05242813396712883,0.051703321721780895,0.05099485044663721,0.050302216647448036,0.04962493623696504,0.04896254364973304
